,reads.1.RPKM,reads.2.RPKM,reads.3.RPKM,reads.4.RPKM,reads.5.RPKM,reads.6.RPKM,reads.7.RPKM,reads.8.RPKM,reads.9.RPKM,reads.10.RPKM
NM_005082,2.14816,6.96838,3.03713,4.2161,2.13415,4.72885,3.5138,3.15653,3.09837,2.31214
NM_004645,1.51232,1.2823,1.60057,1.63428,2.42024,1.66029,1.76175,1.71686,1.98245,2.33658
NM_021626,13.3199,5.93725,7.00411,30.716,5.42724,10.4045,15.9334,11.5197,25.099,7.68179
NR_002818,1.30545,2.52456,4.12701,1.93613,1.62396,2.60872,2.58346,3.20613,1.84818,2.88961
NM_003488,29.6841,18.4358,36.2463,12.2945,16.5256,21.4398,24.1267,30.2517,15.0716,24.4874
NM_138962,9.12548,3.59625,9.63097,3.46532,6.73549,5.58321,7.56482,8.36944,4.98487,8.48696
NM_170721,0.356013,0.406548,0.280731,0.315307,1.45486,0.533829,0.244985,0.314211,0.822739,0.824726
NM_016070,18.5172,10.7244,10.4773,5.73465,10.8897,10.3373,10.8486,11.5265,7.99663,11.1595
NM_017949,6.3439,3.4808,12.0218,5.93218,7.67496,6.65215,7.22328,9.70168,7.29931,8.68333
NM_007146,4.84911,3.52758,9.18089,4.51433,5.66983,5.0995,6.2204,6.87243,5.08605,7.29297
NM_001078166,2.11388,2.4235,2.41846,2.01156,2.86403,2.32282,2.23425,2.1263,2.40807,2.61187
NM_006924,4.35058,4.98736,4.67982,4.0089,5.70252,4.78048,4.4463,4.37558,4.62574,5.37547
NR_034041,1.84948,2.26671,2.59135,3.15814,1.27428,2.60456,2.34192,2.22784,1.98121,1.71564
NM_080677,86.7883,47.003,58.3728,43.6579,134.429,61.8983,62.0252,67.8603,70.3877,102.562
NM_001165927,0.0177836,0.0519572,0.360431,0.105096,0.248559,0.0588606,0.0356009,0.109427,0.181134,0.165017
NM_017777,0.699807,1.1522,0.662981,1.25165,1.01029,1.19088,1.17871,0.93608,1.105,0.874181
NM_000250,0.168198,0.319618,0.243875,0.311264,0.287482,0.29028,0.245588,0.168116,0.29379,0.273371
NM_004758,0.45878,0.237794,0.483277,1.04992,2.60427,0.841798,0.675995,0.773764,1.55411,1.63798
NM_024418,0.564202,0.381837,0.451031,0.876532,2.27424,0.713849,0.746462,0.614002,1.10206,1.5012
NR_029683,1.13011,0.562437,1.68978,9.20196,0.559138,2.8229,5.10495,2.25912,5.14266,2.24492
NM_003168,17.498,26.8157,19.7133,18.4483,26.2664,22.3655,19.3215,19.8325,19.3307,22.4624
NM_017763,0.744352,1.02009,0.451646,1.19682,1.04613,0.905409,0.87715,0.474429,1.04726,0.750032
NM_004687,2.09997,3.62646,1.63934,2.65243,4.398,2.76391,2.29426,2.31812,2.81439,3.24173
NM_001198713,4.21513,4.72581,5.9146,4.98832,31.7892,8.40217,5.89874,6.84601,11.9315,21.949
NM_004574,10.4449,13.2586,12.6777,11.9457,108.275,22.5841,13.4417,23.2638,39.8824,69.9668
NM_080415,0.477612,0.453575,0.82821,0.469921,4.56412,1.4149,0.789332,0.788633,1.71777,3.26818
NM_080416,9.29464,7.28077,9.99864,9.14512,60.5583,15.7625,13.197,13.3981,22.0655,42.2751
NR_037155,0.869479,0.854612,0.421946,1.40866,4.17431,1.34623,0.836801,0.817256,1.69863,2.91505
NR_037156,5.24417,6.84498,5.25888,5.47304,42.5362,9.31378,6.0137,9.25965,17.0919,25.3602
NM_002876,1.42958,0.665286,1.09412,1.15291,1.22749,0.766324,1.02496,0.972978,1.37015,1.36995
NM_058216,3.48233,2.40327,2.85935,1.41998,4.82227,2.86509,2.56843,2.65598,2.43176,3.63416
NM_014906,0.192288,0.209123,0.220606,0.238352,1.73828,0.452627,0.298663,0.368312,0.623085,1.20424
NM_001005207,0.812888,0.571644,0.542441,0.800782,1.60163,0.929886,0.647576,0.259456,0.465363,1.27399
NM_015294,1.98777,2.07816,2.52313,2.00494,11.5395,2.73293,2.31614,3.45882,4.93376,7.85355
NM_001100595,2.04925,1.32912,1.04042,1.04814,1.76427,0.812671,1.35691,0.835215,1.37649,1.06028
NM_182620,1.90541,0.877996,0.576149,1.19171,3.22908,1.35292,1.23426,1.31462,1.88618,2.58768
NM_018304,0.189864,0.0907128,0.17412,0.695691,0.255512,0.288352,0.373558,0.280863,0.614397,0.264012
NM_018149,1.24931,1.04876,1.18533,1.34817,2.15969,1.17307,1.17855,1.05312,1.59822,1.77906
NM_001165993,0.12148,0.210424,0.309802,0.0338623,2.46282,0.564697,0.29209,0.53436,0.895612,1.77531
NM_182569,0.293273,0.228392,0.294275,0.560536,1.59013,0.426104,0.427368,0.426085,0.828927,0.944646
NM_001005404,2.48053,3.32012,3.81201,2.93596,5.66224,3.57686,3.24458,3.69082,3.68662,4.53554
NM_001166301,0.753211,0.927787,1.90003,1.91238,2.1197,1.34943,1.29605,1.96246,1.73685,1.93699
NM_024612,1.66709,1.01215,1.48032,1.19631,1.54248,1.16002,1.55779,1.04204,1.5855,1.63368
NM_004859,7.43557,10.8364,7.81199,9.72121,21.1258,11.0896,8.78765,9.46043,12.1918,15.6019
NM_016077,6.03714,11.8344,6.32502,6.20743,6.82738,8.12485,6.74049,6.28051,6.16732,7.22004
NM_030938,8.16312,13.0545,7.5286,15.6045,11.7697,12.2683,10.941,9.76387,14.6576,10.556
NM_001193609,0.253573,0.0465231,0.059745,0.0141375,0.0567737,0.079082,0.110769,0.0663195,0.112528,0.309561
NM_001193610,0.00677281,0.121309,0.0224034,0.117856,0.186834,0.130844,0.0997338,0.100805,0.0694898,0.0540525
NM_001193611,0.162819,0.162403,0.0807525,0.0105026,0.0236094,0.0725402,0.140823,0.0323589,0.0626979,0.0876547
NM_001193612,0.11297,0.0207266,0.246774,0.421633,0.237178,0.260629,0.049349,0.455889,0.297217,0.137913
NM_016261,0.0644274,0.183754,0.142543,0.120322,0.0450816,0.209741,0.146307,0.0850063,0.274713,0.0786524
NM_003161,1.83031,1.62861,2.8289,1.67475,2.31425,1.95809,2.03219,2.51315,2.16872,2.45145
NM_016125,1.02416,2.20874,1.53136,1.09205,0.699755,1.60804,1.17495,0.974916,0.690449,0.871912
NR_002924,0.130628,0.216705,0.390639,0.354548,0.301608,0.174025,0.437093,0.435215,0.264193,0.21624
NM_022070,0.862011,0.845585,1.48194,1.32242,1.65653,1.22328,1.15375,1.46096,1.60444,1.67513
NR_030732,0.39581,0.0787955,0.157821,2.33661,0.0783334,0.632766,0.715186,0.712112,2.40156,0.157253
NR_027408,5.89068,1.72949,2.61915,1.38029,3.60644,2.6253,3.53092,2.92273,2.09992,3.87249
NM_000717,4.55813,1.22966,1.91088,8.4549,2.4449,3.2774,4.44729,3.44887,7.02176,2.6656
NM_032582,1.92412,1.97093,3.49427,2.49965,5.42116,2.95018,2.79539,3.46174,3.28303,4.58666
NR_002999,0,1.882,0.753901,2.30934,0,1.1335,1.51839,0.377967,1.52961,1.12678
NM_006380,1.54289,1.63409,2.11379,2.37491,5.19693,2.28581,2.0142,2.19546,3.16659,3.63863
NM_003620,1.28636,0.952622,1.20021,1.91679,1.38491,1.3367,1.64252,1.37831,1.82116,1.32877
NM_001099432,1.36862,1.8343,3.14734,2.28506,4.40469,2.471,2.3139,2.96384,3.09837,3.85147
NM_017679,1.75899,2.3575,4.0452,2.93675,5.33968,3.17592,2.97382,3.80936,3.65541,4.95016
NM_005994,3.88332,2.57689,4.10296,17.2164,2.79205,6.08894,7.81097,5.80035,13.8842,3.77037
NM_203425,0.160652,0.0639634,0.128114,0.261624,0.0635883,0.128414,0.161267,0.0642298,0.227442,0.0319131
NM_018488,0.855815,0.257537,1.09117,7.59651,0.354498,1.7102,2.65719,1.9893,5.35364,1.22562
NM_199290,22.9837,38.7643,44.485,32.5557,32.6617,38.7206,33.1335,38.16,34.0885,35.574
NM_032043,0.0120401,0.0239687,0.0120018,0.0490185,0.0238281,0.018045,0.0302154,0.0180513,0.0547895,0.0119586
NM_020748,0.00586527,0.0134191,0.01342,0.0262009,0.0597955,0.0373947,0.0128236,0.0038938,0.0392121,0.0669595
NR_026641,0.720388,0.535117,0.384819,0.575877,0.898149,0.609976,0.460257,0.530542,0.753198,0.688865
NM_005121,1.71929,1.79082,2.53329,2.49102,2.92846,2.21068,2.32003,2.29598,2.64119,2.83678
NM_181725,1.89301,1.84539,1.887,1.68838,2.24011,1.87192,1.78271,1.81406,2.07217,2.2291
NM_001112707,0.593859,0.279113,0.666592,0.204418,0.983872,0.3422,0.386222,0.557045,0.535948,0.863492
NM_006852,1.07968,0.967331,1.47146,1.3539,0.992175,1.22617,1.4624,1.36799,1.35635,1.2973
NM_006039,5.38274,1.75049,4.30071,18.4853,2.78111,5.60814,8.76085,6.22616,15.1082,3.68937
NM_152598,0.0203532,0,0.031605,0.209759,0.0201401,0.0067787,0.0635223,0.0786342,0.256497,0.0472274
NM_025185,0.786754,0.603996,0.800943,2.03175,4.5179,1.42584,1.19305,1.36779,2.73805,2.98441
NM_001017916,0.668062,0.878208,0.317325,1.60834,0.874373,0.826608,1.26394,0.401331,1.2797,1.05762
NM_001017917,0.893843,2.02068,0.941952,2.39673,2.59552,1.88082,2.17155,1.19133,2.09793,1.95716
NM_001915,1.52928,2.7392,1.89117,5.35806,3.34082,2.90604,1.89808,2.71394,5.12706,2.33914
NM_000789,2.18407,0.889251,2.10631,11.1624,1.35603,3.36535,5.21713,3.51836,8.91442,1.96067
NM_001178057,0.839742,0.675628,1.3568,4.78938,0.414303,1.15979,1.80246,1.23111,3.90864,1.10668
NM_152830,0.746784,0.394694,0.937616,3.50785,0.234463,0.788312,1.29938,0.880585,2.8633,0.647397
NM_005828,6.38185,5.79792,6.80883,10.9441,11.8264,7.9687,7.83508,7.8942,11.0063,9.82688
NM_016360,10.1398,19.6194,10.8415,6.09692,9.00712,13.5084,10.1786,9.39901,5.21151,8.84139
NM_002401,4.98335,2.46189,3.41782,5.62983,2.4155,3.14662,4.62594,4.06933,4.94616,2.97886
NM_203351,3.37695,1.66818,2.84542,4.71373,1.81543,2.48944,3.31751,2.93928,4.06841,2.19836
NM_030576,1.71782,1.21904,2.06145,10.9196,1.98915,3.20146,4.49687,2.93035,8.68055,2.40675
NM_001003786,0.298079,0.215628,0.223268,0.334177,0.530681,0.226488,0.332732,0.320685,0.32,0.749729
NM_001003787,0.18483,0.145079,0.302116,0.345583,0.589845,0.25991,0.787792,0.269067,0.362699,0.48739
NM_001003788,0.237263,0.186236,0.387821,0.44362,0.757168,0.333643,0.512602,0.345394,0.465593,0.625653
NM_001165969,0.214055,0.21528,0.0871381,0.166792,0.561143,0.328899,0.166142,0.147317,0.368522,0.2846
NM_001165970,0.41988,0.353176,0.332444,0.414912,0.50023,0.584203,0.335441,0.429836,0.65861,0.332964
NM_153335,0.711499,0.930635,0.990031,1.94586,1.27773,1.04708,0.677728,1.12531,1.48836,1.21396
NM_020198,14.1627,18.1903,21.5134,13.7711,18.9657,18.2309,16.7861,19.5163,15.3543,19.6936
NM_007372,4.48741,4.59577,6.49253,5.26216,7.0475,5.61563,5.21061,5.75829,5.95521,6.80963
NM_203499,6.42393,6.26274,9.29545,7.20893,10.09,7.72075,7.13899,8.24424,8.52617,9.74944
NM_017647,6.20826,6.8199,11.1671,7.79625,6.97198,8.23496,8.18078,9.19477,7.87285,8.60057
NM_002805,31.6227,49.8881,76.6712,31.1933,54.6085,50.7578,44.4761,60.5302,37.7549,62.7653
NM_001199163,4.23176,9.53628,9.14778,8.8563,8.79158,9.82122,9.25083,9.15766,8.62828,9.27048
NM_001098426,5.62585,12.6305,5.99718,12.3012,4.0918,9.57543,8.71158,6.59874,9.29639,4.63593
NM_000626,0.717227,0.330296,0.395055,0.427793,0.0828216,0.170548,0.500316,0.326554,0.504622,0.324502
NM_001039933,0.683937,0.314966,0.37672,0.407937,0.0789776,0.162632,0.477095,0.311398,0.481201,0.309442
NM_021602,0.622487,0.68845,0.315863,1.57717,0.24609,1.31654,1.09173,0.445735,1.15059,0.442935
NM_000334,1.49274,3.93086,20.9827,3.00022,4.36278,7.91055,7.70092,13.8436,4.71328,11.2481
NM_001164257,0.136727,0.0457014,0.114465,0.606908,0.136917,0.177767,0.213543,0.201232,0.441145,0.155013
NM_001191029,0.219973,0.0735264,0.184154,0.79063,0.220278,0.286001,0.343556,0.323749,0.709716,0.249392
NM_001191030,0.156588,0.0523402,0.131092,0.695083,0.156807,0.20359,0.244562,0.230462,0.505216,0.177531
NM_000873,0.821701,0.356849,1.63828,3.65104,0.651124,2.01931,1.1173,2.28498,2.67495,1.49543
NM_001099786,0.488942,0.310468,0.136316,0.609028,0.301015,0.313608,0.403764,0.176321,0.450147,0.135928
NM_001099787,1.73722,1.10312,0.484339,1.79403,0.673615,1.11427,1.43461,0.626485,1.59942,0.482967
NM_001099788,1.31915,0.782136,0.853549,2.47362,1.08309,0.86037,1.35118,1.10404,1.65826,0.851112
NM_001099789,5.31709,3.15253,3.44039,8.23037,2.71282,3.46792,5.44621,4.45003,6.68395,3.43059
NM_001433,1.10471,1.78379,1.89652,3.76048,0.89881,1.92549,2.30413,1.86483,3.20244,1.25573
NR_004380,47.3161,97.2523,36.7527,116.333,18.2419,82.8874,68.4701,55.8919,95.0749,31.1273
NM_018469,7.48501,10.3824,9.29045,5.90794,14.3068,9.93949,7.70757,8.55291,8.36027,12.365
NM_000442,6.76731,3.65919,6.2066,16.7872,3.95453,6.84989,9.28666,7.87849,13.9212,5.40574
NM_001085423,0.62326,0.155093,0.310641,2.06169,0.231276,0.544895,0.938469,0.778697,1.65445,0.464283
NM_007215,1.2953,1.2279,1.59861,1.85201,1.31226,1.57154,1.33121,1.4488,1.59055,1.37843
NM_004396,35.3102,28.8463,21.6012,39.3071,37.7099,28.904,32.4785,26.6789,39.5953,31.4083
NM_138363,1.06034,1.16461,1.02053,1.87936,1.06733,1.38825,1.15616,1.22428,1.70083,1.30738
NM_022739,1.16986,0.708793,1.05207,2.8344,1.5351,1.37217,1.8381,1.48704,2.59749,1.70503
NR_026899,1.41087,1.58656,1.51327,3.33485,1.87531,1.6759,2.16594,1.75836,2.79445,1.64317
NR_027487,0.784454,0.514229,0.931294,3.29478,0.536,1.27068,1.41456,1.2067,2.52748,0.997022
NR_024386,1.20741,1.15548,1.69383,2.79117,1.25806,1.73142,1.84083,1.84425,2.39761,1.37023
NM_199340,0.364467,0.190027,0.475763,0.865577,0.575325,0.50289,0.496527,0.425005,0.842434,0.603335
NR_026903,1.71387,1.16572,1.38098,1.25016,3.92891,1.28433,1.37635,1.72732,1.77647,2.92225
NM_006572,2.74191,2.10118,4.58122,4.13859,3.69983,3.12098,3.35449,4.11865,4.30089,3.96899
NM_001081955,0.09052,0.0901009,0.140925,0.47297,0.409791,0.161533,0.331812,0.201998,0.561986,0.360652
NM_003835,0.0842786,0.0838885,0.131208,0.440359,0.381535,0.150396,0.308934,0.18807,0.523238,0.335786
NM_004655,1.90505,1.30655,4.9212,2.58927,2.31041,2.50699,2.8452,3.7502,3.17163,3.57665
NM_001199165,1.2989,0.240363,0.375237,0.875866,0.604698,0.640366,0.655476,0.532226,0.700448,0.438029
NM_145036,0.293903,0.323337,0.402842,0.384178,0.17497,0.192195,0.395254,0.490489,0.364586,0.227996
NM_000042,146.496,1335.79,243.426,192.144,132.285,704.181,309.194,231.359,42.8412,121.885
NM_002737,2.18612,2.76742,3.84429,2.86407,12.2805,4.18375,3.06103,4.555,5.53241,8.80223
NM_014405,0.501629,0.527838,0.642904,1.60464,3.9143,0.945136,0.820066,1.00277,2.26097,2.64776
NM_000727,5.70669,21.9414,105.778,15.7548,23.2153,37.7146,37.5912,71.6905,21.537,57.3848
NM_014877,1.16234,1.05789,1.5555,2.32993,1.60743,1.49877,1.60211,1.71602,2.35442,1.60992
NM_002816,3.43006,4.38269,4.80669,3.76149,3.90348,4.26998,4.61002,4.32477,3.34019,4.19327
NM_174871,5.0551,6.11434,7.75069,4.86554,5.20342,6.69565,4.35028,5.99231,5.70271,5.75336
NM_012417,0.509088,0.675156,0.775907,0.965491,1.50951,0.995805,1.25319,0.421051,1.44927,0.859018
NM_181671,2.38807,2.19489,1.89474,3.93117,5.22169,2.43905,2.39925,3.19233,3.56133,4.56324
NM_015462,2.86464,3.62902,3.47458,2.28362,2.6959,3.12244,3.03648,3.30375,2.37015,2.96464
NR_003706,1.11726,0.741394,1.11372,8.33928,0,1.48844,2.61693,3.35017,6.40235,1.10971
NM_004459,1.19221,0.925308,0.969787,1.94021,1.39584,1.0966,1.13316,1.24526,1.76595,1.49196
NM_182641,1.40333,0.805131,1.38749,2.17202,1.78416,1.33429,1.48105,1.22771,2.26885,1.58404
NM_181655,0.716581,2.10452,0.888271,0.90698,1.16145,1.62541,0.777557,1.16081,0.283158,1.29322
NM_181656,0.417625,0.309243,0.446233,0.455632,0.779817,0.56457,0.429421,0.170573,0.79165,0.510862
NM_002266,4.79182,4.74492,4.20737,5.15519,7.24762,5.08549,3.83816,4.11946,5.1972,5.81979
NR_027418,2.25749,1.77489,2.34664,2.99061,3.05091,2.34336,2.51302,2.3398,3.03346,2.84421
NR_027283,0.239365,0.0893463,0.119303,0.213177,0.0592149,0.149478,0.240282,0.149531,0.151285,0.0594365
NM_001033569,0.657856,0.696244,0.837058,0.0776358,2.82103,0.889143,0.837638,1.01366,0.983513,2.18902
NM_001033570,0.644506,0.736452,0.816999,0.0730167,2.84046,0.843119,0.886011,1.07219,0.963549,2.31539
NM_001033571,0.77498,0.913773,1.14632,0.102547,4.19316,1.32159,0.807601,1.2808,1.25078,3.06599
NM_001033572,0.759417,0.967625,1.11971,0.0964879,4.2268,1.25458,0.855192,1.35631,1.22603,3.24658
NM_001033574,5.58496,2.64257,4.15217,5.35574,4.52578,2.6855,4.51059,4.31752,5.36124,4.44442
NM_016627,2.99093,1.68134,3.12515,1.84071,2.48938,1.75459,2.51928,2.55219,2.25501,2.40573
NM_014960,0.674392,0.441625,1.52141,1.06574,0.825385,0.815685,0.783864,1.41908,0.987068,1.04
NM_001174166,0.0478208,0.0778898,0.398204,0.478533,0.219393,0.393957,0.243748,0.510655,0.516753,0.297937
NM_004694,0.0918559,0.149614,0.407871,0.276778,0.42142,0.170384,0.147795,0.165541,0.3362,0.57229
NM_017983,19.2141,15.2086,36.7272,14.3033,12.7428,19.7086,21.6217,29.8799,14.4176,22.3579
NR_030365,1.00326,0.998612,2.50018,2.04227,1.48913,1.50363,0.503549,1.50416,1.52181,1.49471
NM_212471,52.6092,28.688,55.2258,25.4722,53.8266,38.046,45.1908,49.7538,36.1704,57.286
NM_002734,3.51816,2.64839,3.3289,5.468,7.77701,3.45066,3.18323,3.26526,5.79241,4.77703
NM_212472,2.96649,2.23335,2.80722,4.81659,6.55746,3.0771,2.68489,2.91521,5.07412,4.02857
NM_017565,1.80777,6.5185,2.09966,5.25354,1.17321,5.16059,3.2362,2.31031,3.41397,1.43014
NR_027751,0.395639,3.668,0.75224,1.89417,0.235165,1.86881,1.3283,0.929023,1.16045,0.498375
NM_007168,3.54946,1.72802,1.80765,1.71451,3.3082,2.05233,2.36386,2.22485,2.15536,2.73158
NM_080283,1.89586,0.846467,1.11213,0.587627,0.501814,0.763943,1.14343,1.00595,0.639057,0.906644
NM_080284,1.75437,3.88056,1.24915,1.51165,0.92771,2.34648,1.64928,1.29891,0.966838,0.857424
NM_080282,0.125456,0.108205,0.147065,0.134356,0.0845199,0.14794,0.117539,0.131939,0.188453,0.123398
NM_018672,0.301393,0.521938,0.533455,0.533443,0.202457,0.495797,0.465855,0.639588,0.466521,0.209264
NM_172232,0.373573,1.82122,1.84169,0.277768,0.960802,1.52319,0.896843,1.12133,0.335613,1.34569
NM_002758,0.394539,0.968691,4.92919,0.910226,1.97808,1.81336,1.95385,3.31252,1.30332,3.29171
NM_018658,0.0321045,0.0674625,0.0640052,0.0290459,0.0334881,0.0224716,0.0465508,0.00822523,0.02758,0.030401
NM_170741,0.0483149,0.101526,0.0963231,0.0437119,0.0503971,0.0338181,0.0700554,0.0123783,0.0415058,0.0457513
NM_170742,0.0310024,0.0651464,0.0618078,0.0280487,0.596442,0.275132,0.0449526,0.126685,0.179753,0.399663
NR_036534,0.825366,0.240452,0.983281,0.286855,1.29481,0.643649,0.646655,0.865208,0.712503,1.1197
NM_000891,2.60128,0.817653,1.92884,0.975444,1.64378,1.22203,1.84161,1.88843,1.36603,1.74059
NM_000346,4.41112,2.01499,2.429,3.15426,10.4734,3.09643,3.06072,3.24741,5.20628,7.12423
NR_036488,0.0653428,0.238481,0.151983,0.354706,1.07765,0.500542,0.240508,0.261245,0.572672,0.627375
NM_001159770,1.09066,2.44879,1.24249,3.21348,2.20718,2.27785,2.09912,1.72946,2.92736,1.80818
NM_139177,1.26911,2.84935,1.44583,3.73916,2.56831,2.65047,2.44257,2.01242,3.40621,2.10403
NM_001050,0.497567,0.610825,0.661316,0.590839,2.37973,0.878299,0.549419,0.795721,1.17404,1.64734
NM_018714,4.35035,4.44069,7.7269,5.69866,8.55189,5.66968,6.23399,6.93513,6.63104,8.23724
NM_001098832,2.12914,1.51265,2.32848,2.96134,1.98587,2.20383,2.00232,2.39971,3.22187,2.28225
NM_032837,1.36475,1.49619,2.33084,1.85135,2.21649,2.14228,2.22791,2.06508,1.92039,2.26707
NM_001100621,1.00674,1.00681,1.74311,0.922883,1.61254,0.986006,1.38332,1.39204,1.13607,1.70558
NM_001100622,1.11601,0.0924106,0.207019,0.19317,0.379559,0.19669,0.180313,0.337234,0.364679,0.0249837
NM_017941,0.837762,0.892596,1.12479,0.82176,0.882733,0.69796,0.926819,0.762016,1.06421,0.933656
NM_012121,13.3798,9.70435,8.8652,9.24554,15.279,10.2323,11.3304,11.2659,11.1416,13.9191
NM_001144952,0.32553,0.15973,0.205667,0.830661,1.01174,0.46269,0.446441,0.421609,0.927296,0.737734
NM_000999,95.9098,112.336,286.545,133.075,143.129,185.983,157.065,211.531,156.683,197.585
NM_001035258,162.657,243.992,447.888,196.561,220.963,248.031,268.756,349.778,186.942,310.972
NR_026914,0.553911,0.610419,1.04515,1.2081,2.54481,0.948767,0.913481,0.850237,1.54038,1.92557
NM_032646,5.2215,3.50564,5.25152,6.10126,29.9153,7.75655,5.95249,7.77848,12.6034,20.3098
NM_052869,0.439297,0.1231,0.463854,0.444587,2.11295,0.497725,0.55266,0.251099,0.894849,1.08063
NM_001172810,0.0510261,0.0126975,0.0635802,0.415483,0.050492,0.15295,0.204886,0.0892524,0.296699,0.0886916
NM_023036,0.0361298,0.00899064,0.0450189,0.29419,0.0357517,0.108299,0.145073,0.0631966,0.210083,0.0627995
NM_153209,0.175425,0.483544,0.363188,0.837819,1.70919,0.714597,0.460562,0.404632,1.11897,1.20627
NM_001080466,0.0878896,0.145805,0.0876106,0.0596373,1.18859,0.14636,0.176452,0.292823,0.385137,0.756558
NM_022036,2.68124,5.40276,9.19504,3.71182,4.03528,5.38343,5.46,6.96851,2.9532,6.23451
NM_018653,3.0947,19.6263,15.7438,8.96139,3.77267,14.0045,10.2884,12.5123,7.45768,7.94116
NM_007261,1.76964,1.94277,1.60837,6.19817,1.93138,2.52223,2.79524,1.97688,5.23703,1.96446
NM_174892,0.214296,0.0426609,0.149531,0.85065,0.0424107,0.171294,0.451746,0.128516,0.628447,0.106423
NM_006678,0.939768,0.387069,0.710664,2.20988,0.416866,0.841845,1.39878,0.842142,2.22837,0.482799
NM_181449,0.599677,0.374798,0.333641,2.00143,0.2208,0.418029,0.923959,0.529691,1.5231,0.373994
NM_175738,0.213539,0.125294,0.229418,0.44119,1.38867,0.21349,0.122153,0.498629,0.350822,0.821661
NM_139018,0.782529,0.528543,1.19793,9.24479,0.691374,2.03846,3.7593,2.26265,7.00891,1.1381
NM_001163989,0.22691,0.305989,0.066512,0.594779,0.0904455,0.139382,0.100985,0.312277,0.439144,0.0714293
NM_001006638,0.135864,0.485987,0.198469,0.535218,0.269883,0.572104,0.421719,0.317274,0.662443,0.21314
NM_001163990,0.319507,1.14286,0.466734,0.915396,0.634682,0.849141,0.991754,0.428777,1.14311,0.501236
NM_004252,13.8416,71.9324,18.3641,24.3499,33.3927,44.5835,25.0185,20.6203,20.8366,24.1804
NM_015654,2.59563,4.95844,3.00555,5.31045,3.13923,4.63678,3.81623,3.90466,4.45423,3.07285
NM_017728,1.87363,4.84271,2.99242,3.84565,3.16515,4.01305,3.23166,2.8453,3.31834,3.0639
NM_000835,0.438102,0.263939,0.310294,0.457643,2.95475,0.783315,0.486071,0.691404,0.862738,2.21004
NM_004110,0.494108,1.27639,1.75907,1.24531,0.814892,1.25774,1.00381,1.48161,1.13019,1.06332
NM_024417,0.597666,1.54391,2.12774,1.50631,0.985685,1.52135,1.21419,1.79212,1.36707,1.28619
NM_178128,0.143742,0.643842,0.26269,0.219455,0.900834,0.406927,0.288584,0.119727,0.363394,0.452102
NM_030630,2.20645,1.78627,2.14079,5.31498,7.81639,3.39508,3.32234,3.02872,5.80126,5.42036
NM_014603,4.10475,1.89745,2.41342,4.6311,8.85332,3.32276,3.54779,3.57427,6.07861,6.17767
NM_001545,8.94828,13.8613,10.1464,5.97696,6.19823,10.8407,8.58955,8.99984,5.42934,8.38781
NM_001003785,94.2089,87.143,76.4952,29.5439,76.6696,74.638,75.2915,55.7817,35.0253,76.258
NM_006356,103.219,59.1195,58.9652,35.4953,55.6953,53.4812,54.9683,73.5946,44.157,56.9919
NM_015353,5.18449,4.35333,9.47472,5.35806,13.97,6.84045,6.45872,8.37088,7.97172,11.8437
NM_004695,1.4301,1.49973,2.9784,5.06855,0.985536,2.52609,2.94805,3.11406,3.56379,2.13064
NM_024585,1.66652,3.24352,2.14522,4.21925,2.52541,3.2472,2.58391,2.0888,3.32649,1.96581
NM_014595,6.10855,6.86792,9.89083,10.62,4.84013,8.21866,9.16055,8.9615,9.8653,7.96
NM_001002032,2.98237,5.2741,6.42871,7.36537,7.92467,5.79337,5.82042,5.73489,7.13407,7.42805
NM_001002033,0.740978,1.31036,1.59723,1.82995,1.96895,1.43938,1.4461,1.42485,1.77248,1.84552
NM_016185,2.3194,4.10169,4.99965,5.7281,6.16307,4.50548,4.52652,4.46,5.54821,5.77684
NM_001005849,0.283895,0.258167,0.0863923,0.31617,0.0240674,0.133001,0.110764,0.150534,0.137749,0.0284422
NM_006937,17.0749,18.212,21.1114,18.762,26.2166,20.5648,19.2006,21.5696,21.3701,24.7534
NM_024844,2.16974,3.87475,3.05344,3.52913,2.77851,3.0606,3.03219,3.12547,3.18366,2.97906
NM_001172703,0.714076,1.00779,2.00035,1.33644,2.23061,1.39696,1.30721,1.63693,1.56633,2.31011
NM_001172704,0.091151,0.0501548,0.0533121,0.184314,0.0227936,0.10507,0.045183,0.094473,0.114851,0.0144204
NM_014001,1.76129,1.94108,3.97712,2.85847,4.10473,2.66636,2.89019,3.58845,2.85604,3.78848
NM_138619,1.26252,1.35605,2.55063,1.79658,2.90291,1.93379,2.02352,2.33052,2.05905,2.61134
NR_033345,0.537829,0.577664,1.92577,1.45314,1.75003,1.6831,1.04015,1.50942,1.57676,1.6181
NM_015971,25.2059,26.1085,21.6291,15.1066,22.3006,22.5301,19.8126,23.0089,16.5165,21.6026
NM_020679,4.16283,7.56008,14.8453,8.04214,7.66442,10.0588,8.28521,11.2966,8.06382,11.072
NR_036520,0.14753,0.0593403,0.204255,0.467962,0.189487,0.102634,0.129422,0.176022,0.308069,0.185965
NM_001126121,1.07416,0.614031,1.04088,2.10526,0.304313,0.73246,0.982651,1.0191,1.15925,1.46025
NM_001126122,0.413171,0.204568,0.371949,0.60719,0.929158,0.370727,0.340639,0.436001,0.525138,0.300493
NM_021734,0.502964,0.670197,0.479183,0.241427,0.816532,0.808107,0.761856,1.11903,0.565535,0.412565
