gene_name	p_value	avg_logFC	pct.1	pct.2	p value adjusted	cluster	gene
EAPP	2.00E-06	0.293526244	0.165	0.166	0.027465595	3	EAPP
DNAJB1.3	2.17E-06	0.356430351	0.342	0.283	0.0298176	3	DNAJB1
SERPINB1.3	2.45E-06	-0.331230875	0.246	0.378	0.033658788	3	SERPINB1
MARCKSL1.2	2.57E-06	-0.352389549	0.107	0.193	0.03519499	3	MARCKSL1
SOCS3.2	2.61E-06	-0.351668993	0.093	0.186	0.035743745	3	SOCS3
CMPK1.1	2.78E-06	0.331379912	0.417	0.365	0.03818028	3	CMPK1
IER2.1	2.82E-06	0.269553887	0.635	0.631	0.038631046	3	IER2
CPPED1.3	3.03E-06	-0.289261737	0.035	0.112	0.04161274	3	CPPED1
BANK1.3	3.19E-06	-0.389935973	0.026	0.104	0.043815282	3	BANK1
DGKZ.1	3.54E-06	0.265285165	0.157	0.09	0.048610666	3	DGKZ
SURF4	3.96E-06	0.302913887	0.157	0.089	0.054259719	3	SURF4
POLE4.2	4.01E-06	-0.308641269	0.101	0.203	0.055041597	3	POLE4
CYB5B.1	4.04E-06	0.292557221	0.101	0.094	0.055345238	3	CYB5B
ADK.1	4.07E-06	-0.293754271	0.041	0.126	0.055757618	3	ADK
SCO2.3	4.14E-06	-0.256738806	0.058	0.143	0.05670941	3	SCO2
RAB24.2	4.14E-06	-0.26583984	0.029	0.104	0.056832545	3	RAB24
ARL4A.1	4.19E-06	-0.299174956	0.075	0.164	0.057430646	3	ARL4A
GIMAP1.1	4.32E-06	0.250365962	0.359	0.321	0.059256281	3	GIMAP1
TUBA1A	4.88E-06	-0.286128615	0.342	0.476	0.066884743	3	TUBA1A
SIT1.2	4.90E-06	0.334371976	0.229	0.131	0.067186677	3	SIT1
NEAT1.3	4.90E-06	-0.310218713	0.539	0.651	0.067266545	3	NEAT1
RAB7L1	6.04E-06	0.298281425	0.142	0.077	0.082877548	3	RAB7L1
RPA2.1	6.18E-06	0.263609771	0.249	0.17	0.084713605	3	RPA2
LSM6	6.65E-06	-0.252975848	0.113	0.171	0.0912044	3	LSM6
MANF	6.87E-06	0.258215672	0.157	0.122	0.094196598	3	MANF
ALKBH7.2	6.95E-06	-0.266514628	0.171	0.243	0.095357196	3	ALKBH7
SRP9.1	8.03E-06	0.400352748	0.342	0.326	0.110162299	3	SRP9
STMN1	8.07E-06	0.423445636	0.116	0.065	0.110678425	3	STMN1
TSC22D4	8.29E-06	0.251509119	0.191	0.17	0.11373976	3	TSC22D4
SDF2L1.1	1.09E-05	0.257866391	0.188	0.136	0.149890847	3	SDF2L1
HNRNPR.1	1.17E-05	0.256256834	0.258	0.198	0.160875244	3	HNRNPR
PBXIP1.2	1.37E-05	0.294422826	0.212	0.152	0.188244542	3	PBXIP1
EMB	1.38E-05	0.335043496	0.122	0.1	0.188974422	3	EMB
STX10.2	1.48E-05	-0.270085651	0.072	0.157	0.20259285	3	STX10
SDHC	1.51E-05	0.262729214	0.272	0.205	0.206624688	3	SDHC
ACAP1.2	1.66E-05	0.284778139	0.333	0.297	0.22771582	3	ACAP1
RAB27A	2.01E-05	0.316967203	0.139	0.066	0.275387043	3	RAB27A
MRPS10	2.09E-05	0.259426384	0.107	0.051	0.286244994	3	MRPS10
RGS2.3	2.29E-05	-0.283743777	0.203	0.287	0.314243299	3	RGS2
SPSB3	2.48E-05	0.254122408	0.183	0.11	0.340262762	3	SPSB3
ODF2L.1	2.53E-05	0.271562661	0.188	0.112	0.346819248	3	ODF2L
COPS8	2.64E-05	0.253134494	0.113	0.082	0.362225816	3	COPS8
DPM1	2.83E-05	0.257020169	0.119	0.099	0.387477086	3	DPM1
STAT4	3.39E-05	0.270033376	0.116	0.064	0.464335866	3	STAT4
FKBP11.2	3.43E-05	0.309086552	0.209	0.122	0.470028624	3	FKBP11
PTGER2.1	3.66E-05	0.30912845	0.206	0.127	0.502530378	3	PTGER2
ORMDL3.1	3.73E-05	0.292315663	0.171	0.094	0.510943135	3	ORMDL3
MT-ND5	4.01E-05	0.385182267	0.542	0.514	0.550103018	3	MT-ND5
CD320	4.05E-05	0.286164396	0.116	0.052	0.555185844	3	CD320
LTB.3	4.59E-05	-0.255437125	0.609	0.715	0.630011512	3	LTB
FYB.2	4.78E-05	-0.309130112	0.267	0.381	0.655889439	3	FYB
SNHG7.2	4.80E-05	-0.325595161	0.177	0.276	0.657809152	3	SNHG7
SUSD3.3	5.11E-05	-0.282308993	0.067	0.151	0.70064571	3	SUSD3
CLEC2B	5.70E-05	0.337478683	0.128	0.087	0.781332929	3	CLEC2B
CFLAR	6.58E-05	0.255285942	0.243	0.19	0.902828038	3	CFLAR
BIRC3.3	8.28E-05	-0.349696699	0.064	0.139	1	3	BIRC3
GPR183.1	8.81E-05	0.251809578	0.101	0.123	1	3	GPR183
SLC2A3.2	0.000106515	-0.300826682	0.186	0.259	1	3	SLC2A3
YBX3.3	0.000133127	-0.271428587	0.043	0.111	1	3	YBX3
MESDC2	0.000156388	0.290402696	0.151	0.11	1	3	MESDC2
CKLF.2	0.000172944	0.259115341	0.278	0.204	1	3	CKLF
VCAN.3	0.000177283	-0.260608577	0.041	0.104	1	3	VCAN
IRF3	0.00020091	0.251074382	0.154	0.103	1	3	IRF3
P4HB.1	0.00020892	0.250143397	0.296	0.226	1	3	P4HB
SKAP1.2	0.000212573	0.273361916	0.197	0.132	1	3	SKAP1
RNF167.1	0.000216674	0.267343823	0.243	0.16	1	3	RNF167
BATF	0.000268343	0.257567135	0.125	0.074	1	3	BATF
IFRD1.1	0.000290831	0.250280122	0.183	0.139	1	3	IFRD1
PRMT2.1	0.000331302	0.351435354	0.255	0.211	1	3	PRMT2
C9orf16	0.000344222	0.29089323	0.403	0.354	1	3	C9orf16
OCIAD2.2	0.000366088	0.285265646	0.287	0.215	1	3	OCIAD2
CITED2.1	0.000371092	0.268609347	0.258	0.221	1	3	CITED2
CCL3.3	0.000372783	-0.395194891	0.125	0.14	1	3	CCL3
PPP2CA	0.000386794	0.252146196	0.151	0.147	1	3	PPP2CA
TRABD2A.2	0.000391921	-0.253028735	0.041	0.103	1	3	TRABD2A
POLR2I	0.000434884	0.26569906	0.159	0.141	1	3	POLR2I
XBP1.2	0.00045837	0.255300169	0.348	0.274	1	3	XBP1
AHNAK.3	0.000468315	0.252047218	0.272	0.274	1	3	AHNAK
JUND.2	0.00051822	-0.30537152	0.09	0.163	1	3	JUND
FUS.1	0.000574593	0.459656488	0.29	0.274	1	3	FUS
CEBPD.3	0.000589959	-0.334129587	0.145	0.234	1	3	CEBPD
SPOCK2.3	0.000654862	0.257117611	0.272	0.201	1	3	SPOCK2
S1PR4.1	0.000687254	0.292416759	0.296	0.257	1	3	S1PR4
PRPF31	0.000891642	0.269511124	0.122	0.102	1	3	PRPF31
SPCS2.2	0.001110029	0.265273765	0.357	0.293	1	3	SPCS2
STX11.3	0.001473249	-0.254994831	0.072	0.141	1	3	STX11
DERL1	0.001609848	0.319896488	0.139	0.1	1	3	DERL1
GBP2.1	0.001780349	0.263675788	0.232	0.189	1	3	GBP2
ITSN2	0.00261382	0.257075014	0.139	0.09	1	3	ITSN2
LDLRAP1.3	0.004264852	-0.283200811	0.078	0.132	1	3	LDLRAP1
RPL7L1	0.005052835	0.265037661	0.119	0.106	1	3	RPL7L1
LST1.4	1.24E-169	2.155559099	1	0.314	1.70E-165	4	LST1
FTL.4	1.32E-156	1.422092482	1	0.987	1.81E-152	4	FTL
FTH1.4	4.51E-152	1.451854398	1	0.987	6.18E-148	4	FTH1
AIF1.4	2.63E-149	1.835888653	0.994	0.333	3.60E-145	4	AIF1
COTL1.4	2.87E-149	1.586567168	1	0.601	3.94E-145	4	COTL1
IFITM2.2	4.14E-144	1.485834876	1	0.684	5.67E-140	4	IFITM2
FCER1G.4	2.59E-143	1.913799792	0.994	0.316	3.56E-139	4	FCER1G
FCGR3A.3	6.79E-141	2.275920871	0.963	0.134	9.31E-137	4	FCGR3A
IFITM3.4	7.07E-118	1.893528499	0.969	0.175	9.70E-114	4	IFITM3
SAT1.4	1.55E-116	1.540534092	0.994	0.561	2.13E-112	4	SAT1
CST3.4	5.78E-114	1.324855352	1	0.359	7.92E-110	4	CST3
RP11-290F20.3.4	3.57E-109	1.632521626	0.814	0.069	4.89E-105	4	RP11-290F20.3
MS4A7.4	4.26E-106	1.769855109	0.789	0.074	5.85E-102	4	MS4A7
TYROBP.4	8.67E-106	1.217439384	1	0.358	1.19E-101	4	TYROBP
PSAP.4	5.62E-103	1.346771779	0.994	0.473	7.70E-99	4	PSAP
SERPINA1.4	6.40E-101	1.592731685	0.95	0.199	8.78E-97	4	SERPINA1
S100A11.4	6.19E-95	1.341962429	0.988	0.496	8.49E-91	4	S100A11
TIMP1.4	7.33E-95	1.605742654	0.919	0.288	1.00E-90	4	TIMP1
CTSS.4	1.43E-94	1.401478899	1	0.487	1.97E-90	4	CTSS
OAZ1.4	4.13E-92	0.935658439	1	0.901	5.66E-88	4	OAZ1
RHOC.3	6.34E-92	1.572255201	0.839	0.144	8.70E-88	4	RHOC
CD68.4	1.19E-90	1.355812039	0.919	0.175	1.63E-86	4	CD68
HES4	4.03E-90	1.23378558	0.584	0.02	5.53E-86	4	HES4
S100A4.3	8.47E-86	1.03663055	1	0.8	1.16E-81	4	S100A4
CFD.4	1.02E-85	1.426725063	0.925	0.184	1.39E-81	4	CFD
SPI1.4	5.94E-82	1.428763938	0.87	0.17	8.14E-78	4	SPI1
CEBPB.4	3.14E-81	1.490217378	0.907	0.286	4.31E-77	4	CEBPB
RPL13.2	6.00E-80	-0.782117771	1	0.997	8.23E-76	4	RPL13
RPL3.2	7.68E-79	-0.87060689	0.994	0.995	1.05E-74	4	RPL3
HCK.3	9.22E-78	1.342580519	0.77	0.109	1.27E-73	4	HCK
STXBP2.4	1.07E-76	1.380742072	0.87	0.202	1.47E-72	4	STXBP2
LGALS1.4	2.19E-76	1.046319563	0.988	0.442	3.01E-72	4	LGALS1
PILRA.4	1.33E-75	1.304755446	0.702	0.078	1.82E-71	4	PILRA
CDKN1C	1.94E-75	1.045634904	0.472	0.012	2.67E-71	4	CDKN1C
IFI30.4	2.08E-75	1.406215734	0.795	0.123	2.85E-71	4	IFI30
LRRC25.4	6.05E-74	1.27053862	0.665	0.065	8.30E-70	4	LRRC25
S100A9.4	2.03E-73	-0.657834272	0.87	0.323	2.78E-69	4	S100A9
TYMP.4	2.38E-72	1.064109781	0.969	0.308	3.26E-68	4	TYMP
ACTB.3	1.47E-71	0.711950827	0.994	0.991	2.01E-67	4	ACTB
RPL13A.3	2.62E-70	-0.734407267	1	0.999	3.60E-66	4	RPL13A
RPS3.2	3.28E-69	-0.80921042	0.994	0.994	4.50E-65	4	RPS3
LILRA3.2	2.05E-67	1.187100153	0.522	0.031	2.81E-63	4	LILRA3
S100A6.3	1.50E-66	0.879582042	0.988	0.768	2.06E-62	4	S100A6
NPC2.4	5.98E-66	1.058291559	0.963	0.38	8.20E-62	4	NPC2
RPS18.2	9.61E-65	-0.754878571	0.994	0.996	1.32E-60	4	RPS18
LILRB2.4	1.92E-64	1.038705214	0.621	0.066	2.63E-60	4	LILRB2
LILRA5.4	1.62E-63	1.168866116	0.658	0.084	2.22E-59	4	LILRA5
RPSA.3	6.51E-62	-0.968405357	0.938	0.954	8.93E-58	4	RPSA
MAFB.4	8.63E-62	0.758409644	0.553	0.067	1.18E-57	4	MAFB
BID.4	1.09E-61	1.179946153	0.776	0.167	1.50E-57	4	BID
CFP.4	1.51E-61	1.061239005	0.801	0.17	2.06E-57	4	CFP
CKB	1.10E-60	0.923486866	0.36	0.006	1.51E-56	4	CKB
ABI3.2	1.80E-60	1.238108134	0.739	0.141	2.46E-56	4	ABI3
HMOX1.2	5.06E-60	1.134385856	0.509	0.04	6.94E-56	4	HMOX1
FGR.4	5.27E-60	1.058665105	0.795	0.176	7.22E-56	4	FGR
CSF1R.2	9.37E-59	1.078154146	0.522	0.042	1.29E-54	4	CSF1R
ARPC3.3	1.03E-58	0.815387153	0.988	0.8	1.41E-54	4	ARPC3
CTSL	5.94E-58	0.925262853	0.466	0.028	8.14E-54	4	CTSL
C5AR1.4	7.02E-58	0.9401203	0.578	0.067	9.62E-54	4	C5AR1
WARS.4	7.99E-58	1.176981202	0.652	0.102	1.10E-53	4	WARS
BRI3.4	2.24E-57	1.065343431	0.776	0.167	3.08E-53	4	BRI3
RPS27.3	3.14E-57	-0.742383485	1	0.993	4.31E-53	4	RPS27
MS4A4A	9.82E-57	0.871645505	0.379	0.011	1.35E-52	4	MS4A4A
LTB.4	1.10E-56	-1.436574909	0.652	0.705	1.50E-52	4	LTB
PTPRCAP.3	5.59E-56	-1.856222242	0.161	0.67	7.67E-52	4	PTPRCAP
LILRB1	2.24E-55	0.901237734	0.472	0.034	3.08E-51	4	LILRB1
RPLP0.2	1.32E-54	-0.851697917	0.944	0.948	1.81E-50	4	RPLP0
SIGLEC10	8.16E-54	0.970347115	0.46	0.032	1.12E-49	4	SIGLEC10
YBX1.2	7.60E-53	0.719874514	0.988	0.801	1.04E-48	4	YBX1
RPS6.2	6.94E-52	-0.68266753	1	0.995	9.52E-48	4	RPS6
RPL31.2	2.25E-51	-0.795916977	0.963	0.972	3.09E-47	4	RPL31
HLA-DPA1.4	2.87E-51	0.877692274	0.969	0.46	3.93E-47	4	HLA-DPA1
TESC.2	5.84E-51	0.956143306	0.509	0.052	8.01E-47	4	TESC
LYN.4	8.40E-51	1.004359821	0.665	0.121	1.15E-46	4	LYN
C19orf38.4	9.33E-51	0.887381751	0.553	0.074	1.28E-46	4	C19orf38
TMSB4X.2	1.72E-50	0.44711393	1	1	2.36E-46	4	TMSB4X
SLC31A2.2	3.60E-50	1.01113773	0.509	0.061	4.94E-46	4	SLC31A2
RPL23A.2	4.38E-50	-0.730921103	0.981	0.99	6.00E-46	4	RPL23A
FAM26F.4	4.57E-50	1.051018731	0.764	0.192	6.27E-46	4	FAM26F
LDHB.3	9.82E-50	-1.399110128	0.373	0.689	1.35E-45	4	LDHB
RPS27A.2	8.85E-49	-0.964272638	0.95	0.973	1.21E-44	4	RPS27A
PYCARD.4	1.18E-48	1.072858756	0.894	0.335	1.62E-44	4	PYCARD
NEAT1.4	1.73E-48	0.899128046	0.969	0.616	2.37E-44	4	NEAT1
RPLP2.2	2.15E-48	-0.669631975	0.994	0.991	2.95E-44	4	RPLP2
HLA-DRA.4	4.39E-48	0.271072268	0.963	0.53	6.02E-44	4	HLA-DRA
CDA.4	4.74E-48	0.750157196	0.609	0.116	6.50E-44	4	CDA
FGL2.4	1.09E-47	0.750051909	0.578	0.096	1.50E-43	4	FGL2
FKBP1A.4	1.91E-47	0.971464655	0.919	0.432	2.61E-43	4	FKBP1A
LY6E.4	5.93E-47	0.854608691	0.963	0.644	8.13E-43	4	LY6E
RPS29.2	6.90E-47	-0.812376257	0.894	0.925	9.46E-43	4	RPS29
RPL5.2	1.82E-46	-0.697637791	0.981	0.968	2.49E-42	4	RPL5
RPL32.1	2.22E-46	-0.605483012	0.994	0.996	3.04E-42	4	RPL32
PFN1.3	2.60E-46	0.578208377	0.994	0.939	3.56E-42	4	PFN1
RPS8.3	3.60E-46	-0.666879977	1	0.986	4.94E-42	4	RPS8
IL32.4	3.85E-46	-2.035614165	0.137	0.58	5.28E-42	4	IL32
HLA-DRB1.4	6.77E-46	0.689483409	0.95	0.425	9.29E-42	4	HLA-DRB1
CD3D.4	8.96E-46	-1.919392561	0.056	0.55	1.23E-41	4	CD3D
ANXA5.4	1.07E-45	1.013803471	0.801	0.272	1.47E-41	4	ANXA5
TNFRSF1B.3	1.22E-45	0.679584317	0.584	0.112	1.67E-41	4	TNFRSF1B
APOBEC3A.4	1.25E-45	1.030144506	0.578	0.095	1.71E-41	4	APOBEC3A
MYL6.3	5.80E-45	0.665949204	1	0.84	7.95E-41	4	MYL6
FCGRT.4	6.98E-45	0.403080001	0.658	0.204	9.57E-41	4	FCGRT
CSTB.3	7.62E-45	0.995250521	0.832	0.336	1.04E-40	4	CSTB
RPS25.2	1.00E-44	-0.739780524	0.975	0.979	1.38E-40	4	RPS25
FAM110A	1.78E-44	0.986063645	0.447	0.053	2.44E-40	4	FAM110A
NAAA.3	1.92E-44	0.835738594	0.658	0.148	2.63E-40	4	NAAA
TKT.4	2.14E-44	0.906378933	0.87	0.316	2.93E-40	4	TKT
RPL9.2	3.44E-44	-0.763724248	0.975	0.976	4.71E-40	4	RPL9
PRELID1.3	7.22E-44	0.92976181	0.913	0.436	9.91E-40	4	PRELID1
SRGN.3	1.58E-43	0.795289126	0.975	0.572	2.16E-39	4	SRGN
CYBA.2	2.13E-43	0.651310885	0.994	0.833	2.93E-39	4	CYBA
CARD16.3	2.76E-43	0.844804518	0.801	0.253	3.78E-39	4	CARD16
SLC7A7.4	2.77E-42	0.882742776	0.578	0.107	3.80E-38	4	SLC7A7
CXCL16	3.89E-42	0.826937804	0.385	0.029	5.33E-38	4	CXCL16
ASAH1.4	4.80E-42	1.069860549	0.708	0.214	6.58E-38	4	ASAH1
NINJ1.3	7.36E-42	0.925030421	0.609	0.125	1.01E-37	4	NINJ1
NPM1.2	1.13E-41	-0.8099408	0.77	0.824	1.55E-37	4	NPM1
TPPP3	1.30E-41	0.793535103	0.36	0.023	1.78E-37	4	TPPP3
RPS12.2	1.94E-41	-0.634657026	0.988	0.993	2.66E-37	4	RPS12
UNC119	2.42E-41	0.703140157	0.491	0.077	3.31E-37	4	UNC119
RPS5.3	3.09E-41	-0.7015062	0.988	0.975	4.24E-37	4	RPS5
RPS15A.2	3.90E-41	-0.671524288	0.988	0.985	5.34E-37	4	RPS15A
VASP.2	3.97E-41	0.825398735	0.776	0.24	5.45E-37	4	VASP
C10orf54.3	6.02E-41	0.854474907	0.857	0.339	8.25E-37	4	C10orf54
RHOG.3	7.30E-41	0.781422401	0.882	0.357	1.00E-36	4	RHOG
RPL17.2	9.11E-41	-0.612188888	0.975	0.957	1.25E-36	4	RPL17
RGS2.4	1.12E-40	0.931219139	0.77	0.245	1.53E-36	4	RGS2
PLAUR.4	1.34E-40	0.75052406	0.528	0.094	1.83E-36	4	PLAUR
CAMK1.1	1.36E-40	0.834947519	0.404	0.037	1.86E-36	4	CAMK1
HLA-DRB5.4	1.78E-40	0.589555842	0.832	0.316	2.44E-36	4	HLA-DRB5
RPL10A.3	1.97E-40	-0.659700285	0.988	0.983	2.70E-36	4	RPL10A
RPS20.2	3.34E-40	-0.677449706	0.981	0.951	4.58E-36	4	RPS20
RPS7.1	4.44E-40	-0.570542306	1	0.989	6.09E-36	4	RPS7
TPT1.2	8.47E-40	-0.695072589	0.981	0.984	1.16E-35	4	TPT1
FCGR2A.2	9.13E-40	0.615512716	0.429	0.062	1.25E-35	4	FCGR2A
AP2A1	1.39E-39	0.634584434	0.398	0.049	1.91E-35	4	AP2A1
CPPED1.4	1.90E-39	0.776597528	0.491	0.077	2.61E-35	4	CPPED1
CASP1.3	2.79E-39	0.922738455	0.745	0.24	3.83E-35	4	CASP1
ANXA2.3	4.67E-39	0.831795362	0.894	0.404	6.40E-35	4	ANXA2
BATF3	4.68E-39	0.694679684	0.286	0.01	6.42E-35	4	BATF3
RPL19.2	4.81E-39	-0.534036352	0.994	0.994	6.60E-35	4	RPL19
RPL15.1	5.44E-39	-0.496929424	0.994	0.994	7.46E-35	4	RPL15
CD300LF.1	6.95E-39	0.655693223	0.379	0.039	9.54E-35	4	CD300LF
TNFSF13B.4	7.23E-39	0.5455151	0.553	0.136	9.92E-35	4	TNFSF13B
MAPKAPK3.2	1.14E-38	0.736478908	0.503	0.093	1.57E-34	4	MAPKAPK3
ARPC2.3	1.78E-38	0.64371843	0.981	0.785	2.44E-34	4	ARPC2
RPS3A.2	2.30E-38	-0.79562761	0.988	0.979	3.15E-34	4	RPS3A
RPS4X.2	3.04E-38	-0.581237708	0.981	0.993	4.17E-34	4	RPS4X
CHCHD10	3.87E-38	0.643669466	0.665	0.195	5.31E-34	4	CHCHD10
AP1S2.4	5.23E-38	0.456623522	0.733	0.268	7.17E-34	4	AP1S2
RPS14.2	5.45E-38	-0.540900112	1	0.995	7.48E-34	4	RPS14
RPL35A.2	1.35E-37	-0.578890553	0.994	0.982	1.85E-33	4	RPL35A
ARPC1B.4	6.50E-37	0.6341991	0.988	0.726	8.92E-33	4	ARPC1B
DRAP1.1	7.00E-37	0.808021279	0.882	0.435	9.61E-33	4	DRAP1
CTSC.3	3.83E-36	0.910308704	0.714	0.238	5.25E-32	4	CTSC
RPSAP58.2	6.23E-36	-0.788432453	0.615	0.736	8.54E-32	4	RPSAP58
GABARAP.4	6.32E-36	0.707378472	0.925	0.458	8.67E-32	4	GABARAP
HLA-DPB1.4	7.54E-36	0.312933354	0.932	0.487	1.03E-31	4	HLA-DPB1
RHOB.4	9.01E-36	0.735394301	0.516	0.104	1.24E-31	4	RHOB
CTD-2006K23.1	1.67E-35	0.754249478	0.286	0.015	2.29E-31	4	CTD-2006K23.1
LYST.2	1.70E-35	0.70763122	0.503	0.099	2.33E-31	4	LYST
MT2A.3	1.78E-35	0.974901298	0.758	0.286	2.44E-31	4	MT2A
HSBP1.3	2.03E-35	0.886808022	0.584	0.133	2.78E-31	4	HSBP1
STX11.4	2.40E-35	0.647300881	0.509	0.108	3.30E-31	4	STX11
HN1.1	2.46E-35	0.900880513	0.671	0.214	3.37E-31	4	HN1
RPL30.2	2.53E-35	-0.657766665	0.969	0.984	3.46E-31	4	RPL30
CALM2.1	2.80E-35	0.781188002	0.894	0.513	3.84E-31	4	CALM2
SLC11A1.3	3.46E-35	0.685455956	0.429	0.068	4.75E-31	4	SLC11A1
TNFSF10.4	3.87E-35	0.986176956	0.646	0.186	5.31E-31	4	TNFSF10
RPS28.2	5.67E-35	-0.600342498	0.975	0.972	7.78E-31	4	RPS28
RPL6	7.79E-35	-0.477603447	1	0.993	1.07E-30	4	RPL6
CTSB.4	9.50E-35	0.625115173	0.615	0.172	1.30E-30	4	CTSB
RPLP1.1	1.04E-34	-0.512934657	1	0.997	1.42E-30	4	RPLP1
EEF1B2.3	1.07E-34	-0.663878286	0.907	0.881	1.47E-30	4	EEF1B2
NCF2.4	1.67E-34	0.593844493	0.571	0.148	2.28E-30	4	NCF2
GPBAR1.2	1.69E-34	0.752982693	0.379	0.045	2.32E-30	4	GPBAR1
BLVRA.4	1.96E-34	0.633034931	0.596	0.157	2.69E-30	4	BLVRA
RPS2.1	1.99E-34	-0.455587381	1	0.996	2.73E-30	4	RPS2
RPS10.2	2.20E-34	-0.57027621	0.981	0.968	3.02E-30	4	RPS10
RPS21.3	3.70E-34	-0.638831365	0.857	0.861	5.07E-30	4	RPS21
JUN.2	3.99E-34	-1.129720561	0.571	0.748	5.47E-30	4	JUN
LYL1.4	4.14E-34	0.596620606	0.46	0.094	5.68E-30	4	LYL1
RPL11.1	4.85E-34	-0.471498242	0.994	0.996	6.65E-30	4	RPL11
MPEG1.3	5.40E-34	0.629515004	0.453	0.086	7.40E-30	4	MPEG1
FCN1.4	1.16E-33	0.856196573	0.739	0.266	1.59E-29	4	FCN1
TBXAS1.4	1.19E-33	0.793414964	0.484	0.091	1.63E-29	4	TBXAS1
POU2F2.4	3.38E-33	0.837777381	0.54	0.133	4.64E-29	4	POU2F2
RNH1.4	5.69E-33	0.733247887	0.72	0.277	7.80E-29	4	RNH1
HINT1.2	6.46E-33	-0.817749119	0.547	0.644	8.86E-29	4	HINT1
RPS26.2	6.90E-33	-0.549513823	0.938	0.909	9.47E-29	4	RPS26
CUX1	8.89E-33	0.691929218	0.366	0.045	1.22E-28	4	CUX1
S100A8.4	8.94E-33	-1.119022666	0.497	0.261	1.23E-28	4	S100A8
TCIRG1.1	9.33E-33	0.667371294	0.435	0.077	1.28E-28	4	TCIRG1
OAS1.2	1.43E-32	0.729679658	0.615	0.167	1.96E-28	4	OAS1
CYBB.3	1.45E-32	0.574285596	0.429	0.086	1.99E-28	4	CYBB
ADRBK1.2	1.78E-32	0.646789965	0.429	0.076	2.45E-28	4	ADRBK1
AP2S1.4	1.98E-32	0.786759823	0.783	0.323	2.72E-28	4	AP2S1
TPI1.3	2.91E-32	0.703374304	0.907	0.478	4.00E-28	4	TPI1
EMP3.3	3.36E-32	0.642650731	0.988	0.715	4.61E-28	4	EMP3
ISG15.4	3.73E-32	0.7768482	0.876	0.418	5.12E-28	4	ISG15
CPVL.4	4.39E-32	0.516234808	0.429	0.095	6.03E-28	4	CPVL
LGALS3.4	4.46E-32	0.769015188	0.677	0.217	6.12E-28	4	LGALS3
ARRB2.3	4.57E-32	0.728349414	0.696	0.227	6.27E-28	4	ARRB2
CD300C.1	8.58E-32	0.469574845	0.292	0.033	1.18E-27	4	CD300C
ATP6V0B.4	1.14E-31	0.561083858	0.776	0.308	1.57E-27	4	ATP6V0B
RBX1.1	1.38E-31	0.559128865	0.714	0.262	1.89E-27	4	RBX1
TCF7L2	1.61E-31	0.559399072	0.267	0.017	2.20E-27	4	TCF7L2
FAM49A	2.04E-31	0.554524268	0.311	0.033	2.80E-27	4	FAM49A
PTP4A3	2.14E-31	0.608637918	0.311	0.029	2.93E-27	4	PTP4A3
OAZ2.3	2.53E-31	0.749494854	0.553	0.136	3.47E-27	4	OAZ2
CXCR4.2	3.09E-31	-1.20945335	0.366	0.612	4.23E-27	4	CXCR4
C1orf162.4	3.11E-31	0.775383909	0.826	0.355	4.26E-27	4	C1orf162
BTG1.2	3.45E-31	-0.788516909	0.845	0.878	4.73E-27	4	BTG1
ATP1B3.1	4.86E-31	0.741474516	0.534	0.14	6.67E-27	4	ATP1B3
RNF130.4	5.08E-31	0.511312606	0.534	0.155	6.96E-27	4	RNF130
ADA.1	5.56E-31	0.75443046	0.466	0.089	7.62E-27	4	ADA
MT-CO1.2	7.47E-31	0.349393063	0.988	0.995	1.02E-26	4	MT-CO1
RPS13.2	8.15E-31	-0.632923841	0.969	0.963	1.12E-26	4	RPS13
MYO1G.1	8.51E-31	0.693737869	0.565	0.212	1.17E-26	4	MYO1G
EMR2	8.99E-31	0.652661599	0.292	0.022	1.23E-26	4	EMR2
PLEK.2	1.23E-30	0.278198797	0.447	0.151	1.69E-26	4	PLEK
RPS16.2	1.63E-30	-0.530916737	0.994	0.984	2.23E-26	4	RPS16
GLTSCR2.2	2.49E-30	-0.680474681	0.826	0.829	3.42E-26	4	GLTSCR2
SLC16A3.2	2.49E-30	0.673694209	0.373	0.052	3.42E-26	4	SLC16A3
CD3E.4	3.21E-30	-1.39350642	0.118	0.504	4.41E-26	4	CD3E
ATG3.2	8.16E-30	0.630320754	0.609	0.185	1.12E-25	4	ATG3
RPL10.1	8.64E-30	-0.377315607	1	0.998	1.19E-25	4	RPL10
CD300E.2	8.79E-30	0.583616301	0.329	0.045	1.21E-25	4	CD300E
ATP6V0D1.2	1.41E-29	0.626985799	0.516	0.151	1.93E-25	4	ATP6V0D1
PTPN6.2	1.47E-29	0.775314411	0.714	0.264	2.02E-25	4	PTPN6
SOD2.4	1.70E-29	0.83612784	0.596	0.176	2.33E-25	4	SOD2
RNASET2.1	1.78E-29	0.706764654	0.876	0.47	2.44E-25	4	RNASET2
MBD2	2.41E-29	0.428961325	0.236	0.019	3.31E-25	4	MBD2
RPL37A.1	2.59E-29	-0.552718032	0.944	0.953	3.56E-25	4	RPL37A
RPS15.1	2.99E-29	-0.464475419	0.988	0.992	4.10E-25	4	RPS15
SH3BGRL.1	3.40E-29	0.744872905	0.807	0.416	4.67E-25	4	SH3BGRL
LGALS9.3	4.07E-29	0.760715663	0.547	0.149	5.58E-25	4	LGALS9
ITGAL.2	7.78E-29	0.409853613	0.36	0.085	1.07E-24	4	ITGAL
