,cell1,cell2,cell3,cell4,cell5
PLIN2,0.561949775,0.469873457,0.177378383,0.602130015,0.870251253
DENND4C,0.063776005,0.075951622,0.044372598,0.152186791,0.033774944
RP11-513M16.7,0.007819373,0,0.007541035,0,0
RP11-513M16.8,0.003023001,0,0.004034272,0.012752093,0
RPS6,127.7241463,59.42401417,106.1254309,97.31849373,51.08141268
MLLT3,0.228914502,0.064158007,0.023900051,0.157995106,0.041278855
FOCAD,0.015976315,0.020980899,0,0,0
PTPLAD2,0.339313621,0.589307843,0.192549222,0.336933242,0.601327905
KLHL9,0.119308995,0.008013431,0.05503601,0.067011858,0.106342119
MTAP,0.15518533,0.064737681,0.123032276,0.139796372,0.046766066
CDKN2A,0.03911397,0.015050326,0.068154361,0.784128963,0
CDKN2B,0.008463623,0.016686806,0,0,0.058244047
TUSC1,0.005427754,0,0,0,0
CAAP1,0.111778227,0.075050743,0.095018451,0.061742674,0.101474096
PLAA,0.085683283,0.087109313,0.050518127,0.116707015,0.204387163
IFT74,0.103640552,0.069537414,0.061116559,0.032183943,0.067471932
MOB3B,0.003291687,0.021101318,0.073738656,0,0.013945173
C9orf72,0.071751942,0.216257024,0.147231269,0.038088533,0.154414729
ACO1,0.029245283,0.017401457,0.02839536,0.049275609,0.044763834
DDX58,0.172690238,0.101663965,0.074884171,0.172486453,0.142653419
TOPORS,0.185105365,0.089225911,0.223233368,0.178751315,0.0880815
TOPORS-AS1,0.468414939,0.126649472,0.309719135,0.377828458,0.09592002
NDUFB6,0.585273408,0.603753137,0.498301971,0.597302789,1.478229811
GVQW1,0.011696971,0,0,0,0
APTX,0.119075524,0.159836065,0.170302414,0.29848507,0.151907158
DNAJA1,1.563845197,1.611402024,1.214159479,1.617053334,1.901501183
SMU1,0.232236899,0.095189885,0.249889732,0.195526336,0.142407925
B4GALT1,0.142099457,0.206436173,0.230385435,0.228445353,0.075982476
RP11-326F20.5,0,0.053417158,0.015542842,0.012547839,0.032221706
BAG1,0.638754693,1.306624811,0.830811296,0.788076173,0.996637861
CHMP5,0.842737735,1.149258254,1.069516453,1.08132083,1.425682082
NFX1,0.152714284,0.125414509,0.275141652,0.196430676,0.135431959
AQP3,2.184244386,0.041872058,0.199015803,0.986881787,0.028739986
NOL6,0.034858271,0.048979956,0.020474433,0.027911982,0
ANKRD18B,0.013821712,0,0,0,0
UBE2R2,0.161035398,0.699508058,0.231023665,0.145657139,0.709908059
UBAP2,0.036177529,0.039636993,0.036177552,0.206191084,0.064448959
DCAF12,0.068121425,0.185562935,0.019018711,0.127828358,0.246195597
UBAP1,0.201355601,0.139446501,0.101844589,0.199480517,0.171019042
NUDT2,0.414354247,0.449430587,0.318462536,0.345773285,0.427987882
C9orf24,0.005663574,0,0,0.011687705,0
FAM219A,0.028734926,0.021863945,0.031812087,0.029158441,0.02661174
ENHO,0.012486924,0.049213176,0,0.076600178,0.041446462
RPP25L,0.29601159,0.486221556,0.463977368,0.508041897,0.425044563
DCTN3,1.038935606,1.345567859,0.812906589,1.086545127,1.853206142
SIGMAR1,0.243936865,0.107880084,0.079611451,0.195259816,0.160311424
GALT,0.590307157,0.122253141,0.26866461,0.171168719,0.246493986
IL11RA,0.121212659,0.023334951,0.032264612,0.010900905,0
CCL27,0.018684867,0,0,0,0
RP11-195F19.5,0.037101277,0.024781691,0.012154449,0,0
RP11-195F19.9,0,0.043536423,0,0.01659159,0
DNAJB5,0.009088887,0.013676837,0,0.014639145,0
VCP,0.546048352,0.490680078,0.787204169,0.998418361,0.613640938
FANCG,0.024386056,0.034257025,0.025724879,0.057138029,0.026495631
PIGO,0.064158573,0.052355142,0.11084746,0.057668439,0.054653929
STOML2,0.658374794,0.492674107,0.563299773,1.249741944,0.484145967
FAM214B,0.01932915,0.264279438,0.033402446,0.095857951,0.205479726
TESK1,0.022026901,0.047460269,0.078105898,0.051688374,0.106437396
CD72,0.035104294,0.025115077,2.069910221,0.094140267,0
SIT1,1.169776099,0.023889177,0.597023032,1.344978004,0.075880794
CCDC107,0.943897387,0.480618844,1.13826796,1.334734132,0.435314187
ARHGEF39,0.01029343,0.017194538,0,0.025334407,0.012601299
TPM2,0.006124133,0.022509341,0.044034047,0,0
TLN1,0.302825471,1.013822417,0.544107224,0.638486521,0.817666158
CREB3,0.174948277,0.230258898,0.237477131,0.26467194,0.136316175
GBA2,0.039875308,0.039504229,0.082815562,0.149869178,0.079974421
RGP1,0.106937222,0.035938317,0.231797414,0.182861167,0.05209118
RP11-112J3.16,0.025342184,0,0,0.046167745,0
NPR2,0.01519059,0,0,0.006097078,0
SPAG8,0.006113268,0,0.013269692,0.009225177,0
HINT2,0.570787167,0.598957865,0.828242718,0.773651509,0.419703778
TMEM8B,0.009506943,0.060210463,0.025057193,0.02961696,0
RECK,0.103290012,0.043733186,0.062197168,0.083335847,0.107520738
GLIPR2,0.751646915,2.620534744,0.231297241,1.027562412,0.966630085
CLTA,1.054093413,3.112463208,1.241975691,1.047924213,2.723196166
GNE,0.00606752,0.027435324,0.07028345,0.014550957,0
RNF38,0.132253933,0.07181452,0.122047209,0.156364878,0.055061168
PAX5,0.022990043,0.031120086,0.474004074,0,0
RP11-297B17.3,0,0,0.086081213,0,0
RP11-220I1.1,0.327164493,0.158010623,0.613522594,0.228740644,0.163930753
ZCCHC7,0.252537282,0.117162382,0.994913085,0.203459498,0.181052112
GRHPR,0.490987481,0.724374438,0.696497026,0.658053864,0.353766086
ZBTB5,0.013699897,0.00497552,0.006460324,0.010695759,0.036689049
POLR1E,0.199470868,0.032961907,0.070286459,0.15442513,0.02266027
FBXO10,0.004511781,0,0.043910442,0,0
TOMM5,0.303230276,0.178558796,0.211898863,0.350027473,0.283160876
TRMT10B,0.130560833,0.182293395,0.185841393,0.213657482,0.087639783
EXOSC3,0.178370826,0.234519942,0.236511276,0.217358232,0.254282653
DCAF10,0.175942492,0.129039597,0.135668941,0.177377565,0.055127301
SLC25A51,0.062875955,0.021909847,0.052039299,0.1198247,0
ALDH1B1,0.051819739,0,0.01228548,0.054219151,0.014984753
ANKRD18A,0.020849615,0,0,0,0.052737679
FAM201A,0.053073678,0,0,0.024941252,0
RP11-262H14.1,0.002045891,0.096442898,0,0,0.056331437
RP11-262H14.3,0.101723632,0.067882074,0.050095823,0.087300271,0.076923742
RP11-262H14.4,0.02214858,0.042998586,0.040641238,0.03952047,0.044566173
RP11-764K9.1,0,0.011493346,0,0,0.017215023
CBWD6,0.040863504,0.074980944,0.039301534,0.006097078,0.016545498
CBWD5,0.06743893,0.092487656,0.027268773,0.034513872,0.01318442
AL591479.1,0.019692176,0.015677974,0.040801928,0.015352493,0
CBWD3,0.012650683,0.019781832,0,0.014016203,0
RP11-274B18.2,0.003986816,0.190626892,0.008274769,0,0.096277995
PIP5K1B,0.006921488,0.04959094,0.131900213,0,0.022463581
FAM122A,0.212098114,0.183931966,0.27480029,0.183718374,0.168348141
FXN,0.350157197,0.218931245,0.140775417,0.164938404,1.090125532
TJP2,0.017246405,0.007015501,0,0.024014505,0.08619097
PTAR1,0.148251838,0.095625288,0.026661071,0.107885186,0.173731785
SMC5,0.139761882,0.13498786,0.112448173,0.145608289,0.248656801
KLF9,0.153996012,0.057840789,0.068353119,0.053183752,0.111950374
TMEM2,0.139609271,0.04273022,0.196376778,0.128506762,0.192124141
ABHD17B,0.263715718,0.029759002,0.158528708,0.135152702,0.0415154
C9orf85,0.153593458,0.141124519,0.097730487,0.220991579,0.122844048
RP11-63P12.6,0.012973707,0.10057055,0.072516865,0,0.290624959
ZFAND5,0.700557816,1.354957216,0.395821038,0.508435423,2.069505358
ALDH1A1,0.006956129,0.254837627,0.010200511,0,0
ANXA1,6.236813795,7.090654099,1.047474756,9.062193118,6.010961857
C9orf40,0.006157336,0.007179163,0.052152,0.03824108,0
RP11-197P3.4,0.003121672,0,0.02761219,0,0
C9orf41,0.105196395,0.072479513,0.053976978,0.130520086,0.061958078
NMRK1,0.695589432,0.201480771,0.209730421,0.495787666,0.141930483
OSTF1,1.332750013,2.168794212,1.274868592,1.887873106,2.550592933
PCSK5,0.065039181,0.042213028,0.021277094,0.006097078,0.014087503
RFK,0.178230776,0.151806952,0.081316242,0.124393484,0.294784676
GCNT1,0.021261281,0.033537329,0.15536728,0.089528235,0.122730443
VPS13A-AS1,0.003854393,0.011416698,0.011102895,0.013614611,0
VPS13A,0.219002063,0.044505798,0.193426912,0.262379469,0.102729419
GNAQ,0.104437274,0.130395201,0.044975739,0.049654921,0.07658285
CEP78,0.10537613,0.017324513,0.093361607,0.255958677,0.065335559
PSAT1,0.030393707,0,0,0.070493644,0
TLE4,0.428292426,0.447267301,0.376192717,1.002578388,0.774071244
TLE1,0.008814385,0.019599924,0.556767735,0.169105313,0.03627502
FRMD3,0.001693563,0.012992159,0,0,0.02517083
IDNK,0.16803787,0.080285597,0.10067901,0.194694721,0.368856605
UBQLN1,0.311648948,0.182631164,0.419841613,0.385769316,0.370458523
RP11-522I20.3,0.041004922,0.011090022,0,0.007526748,0.011960678
GKAP1,0.03995416,0.016350957,0.089192347,0,0.014071545
KIF27,0.017772582,0.023510327,0.036732735,0.008699132,0.012706997
C9orf64,0.047869734,0.1127469,0.06247525,0.1308618,0.067086633
HNRNPK,3.204216412,1.80633147,4.111576903,4.253947992,2.532412598
RP11-575L7.8,0.023409474,0.022260911,0,0,0
RMI1,0.014641617,0.020910329,0,0.012752093,0.012032507
AGTPBP1,0.139608556,0.136293575,0.090987757,0.103410476,0.167177703
NAA35,0.162617562,0.048049349,0.205785312,0.074004871,0.056834668
GOLM1,0.015569502,0.090975815,0,0,0.110943112
ISCA1,0.340942418,0.192411634,0.368132757,0.454513894,0.185947512
ZCCHC6,0.05172895,0.110087795,0.137606536,0.068950666,0.273163154
DAPK1,0.033229145,0.11015935,0.068906365,0,0.134982258
CTSL,0.124631082,0.302541636,0.024213893,0.044337701,1.856937294
CDK20,0.01429836,0,0,0.032082099,0.019718032
SPIN1,0.072312709,0.05757376,0.609452003,0.122789299,0.018214604
C9orf47,0,0.020031628,0,0,0
S1PR3,0.007647821,0.053934003,0,0,0
CKS2,0.135103158,0.116473971,0.230408028,0.167096263,0.248986612
SECISBP2,0.447995407,0.248716596,0.350070299,0.384794175,0.243045079
SEMA4D,0.431799119,0.300057017,0.176527713,0.371374287,0.366351142
GADD45G,0.088794006,0.048227852,0.016041683,0.020304891,0
SYK,0.065786239,0.894876328,0.607063527,0.12034347,0.620627562
RP11-305L7.1,0,0,0,0.071940232,0
RP11-305L7.3,0,0,0,0.024521914,0
RP11-305L7.7,0.004467772,0.011748524,0,0,0
AUH,0.127313175,0.059640843,0.130110765,0.185808886,0.062786801
NFIL3,0.006705181,0.096609809,0,0.009359221,0.060459278
SPTLC1,0.05872914,0.075100869,0.072747809,0.075870922,0.045116219
IARS,0.158187802,0.070468272,0.175865262,0.222306958,0.081495724
NOL8,0.15897125,0.106523445,0.194621511,0.20728873,0.088020902
CENPP,0.020546867,0.024916391,0.016086973,0.011371592,0.088491661
IPPK,0.080415984,0.022529137,0.018416308,0.028614176,0.031925502
BICD2,0.07235763,0.101609423,0.204316756,0.045206429,0.041727131
ZNF484,0.012132966,0.009376333,0.005492583,0.022539275,0.03884036
FGD3,0.462398519,0.222716598,0.413459782,0.602177375,0.37555999
SUSD3,1.278736928,0.267535781,0.348587743,0.328069082,0.069713084
C9orf89,0.4149121,0.998145723,0.259262837,0.38185324,0.592898335
NINJ1,0.455148708,1.630281727,0.107550639,0.425517266,3.101706848
FAM120AOS,0.220698647,0.162999356,0.197989358,0.369750969,0.194297729
FAM120A,0.124863622,0.203667689,0.086113487,0.396260782,0.237203626
PHF2,0.039201489,0.018774163,0.034338601,0.011754058,0.074385391
PTPDC1,0.021566571,0.022480985,0.032713086,0.013582712,0.012642337
ZNF169,0.028280044,0.041579394,0.12442412,0.013139396,0.021893479
HIATL1,0.06832362,0.087814279,0.084252454,0.078832722,0.119174364
FBP1,0.106133793,0.770632765,0.14093512,0.105902737,0.780221066
C9orf3,0.028526483,0.054699976,0.048604575,0.025528732,0.031698123
FANCC,0.003641515,0.020985569,0.022468477,0,0
PTCH1,0.021590665,0.014298429,0,0.061911471,0
ERCC6L2,0.103450409,0.03518525,0.063449167,0.04728773,0.042800005
LINC00092,0,0.005417382,0.010646498,0.064971384,0
SLC35D2,0.053421697,0.054129636,0.016235569,0.058310878,0.037933614
ZNF367,0.014153285,0,0,0.034868543,0
HABP4,0.065898028,0.020942103,0.056778268,0.043479815,0
CDC14B,0.022799356,0.005417382,0.045803904,0.068411616,0
AAED1,0.134834532,0.44870758,0.199396734,0.25333608,0.331872082
ZNF510,0.022792021,0.023915116,0.017728705,0.044568079,0
ZNF782,0.021478558,0.018558557,0.038610551,0.017925484,0.034914436
HIATL2,0.011836905,0.036099776,0.016178324,0.034525964,0.023306492
RP11-498P14.5,0.019696213,0,0.027251711,0.027064963,0
CCDC180,0.020484877,0.010048023,0.012728327,0.013724199,0
TDRD7,0.044582217,0.042961813,0.189199907,0.047088086,0.114334944
TMOD1,0.00588684,0.009657404,0,0.01480363,0
TSTD2,0.045492387,0.008050979,0.085665506,0.044688425,0
NCBP1,0.071838428,0.07039524,0.11144036,0.014639145,0.068919697
XPA,0.429129879,0.319086311,0.540509311,0.3387198,0.143991569
C9orf156,0.129553861,0.08052856,0.094920633,0.216499868,0.112495426
HEMGN,0.040915538,0.006421226,0,0,0
ANP32B,2.954717048,2.687424933,2.182654846,2.222578581,3.053384782
NANS,0.318053753,1.074083019,0.236907696,0.465133641,1.206427751
TRIM14,0.249121481,0.344880116,0.130018471,0.242284076,0.344143554
CORO2A,0.05363975,0.024233242,0.011037382,0,0.096857955
TBC1D2,0.029607757,0.117376884,0,0.03018568,0.112218717
ANKS6,0.01111095,0.009192402,0,0.029315053,0
GALNT12,0.005123444,0.007810059,0.02211432,0,0
TGFBR1,0.013631281,0.021172949,0.051885707,0.026910929,0.019087831
ALG2,0.124511894,0.119957535,0.136881524,0.069763769,0.081282519
SEC61B,1.599443857,2.229556092,1.440992622,2.662611335,1.656151769
NR4A3,0.02264241,0.063527808,0,0.062734805,0.014071545
RP11-60I3.5,0.02080221,0,0,0.021904385,0
STX17,0.208778127,0.070650201,0.097275122,0.245883505,0.098932454
ERP44,0.565780844,1.485230816,1.081931632,0.894056054,1.459706966
INVS,0.017999565,0,0.059282371,0.116870427,0
TEX10,0.054094113,0.013151652,0.100561052,0.061800683,0.01217401
MSANTD3,0.035537637,0.013221695,0.027511553,0.01325961,0.019718032
MRPL50,0.191750779,0.164318821,0.307707213,0.1892897,0.130527159
ZNF189,0.02607166,0.005867546,0.037999477,0.011502185,0.01523842
RNF20,0.12537249,0.105590992,0.111462495,0.193396374,0.171276067
SMC2,0.301064524,0.080996607,0.136466314,0.060829924,0.015393259
NIPSNAP3A,0.134481136,0.524833768,0.230121417,0.188489558,0.713212967
NIPSNAP3B,0.015882744,0.007438152,0.022469874,0,0
ABCA1,0.008783631,0,0.021125328,0,0
SLC44A1,0.105330168,0.137779173,0.040321728,0.054750073,0.055733182
FSD1L,0.007001786,0.026942152,0.018368813,0,0.012032507
FKTN,0.026627888,0,0,0.040162662,0
TMEM38B,0.128495129,0.069255032,0.308330181,0.180867959,0.096082396
RP11-308N19.1,0,0,0.01695835,0.028227726,0
RAD23B,0.482123169,0.395610293,0.521278466,0.435865028,0.545169804
KLF4,0.113278525,2.204210804,0.184670738,0.082171506,1.870426431
IKBKAP,0.090537813,0.058219447,0.047283899,0.014356368,0.040796449
FAM206A,0.069350215,0.024793466,0.014219833,0.018580453,0.051787976
CTNNAL1,0.011788598,0,0.016086973,0.055224769,0
TMEM245,0.149650461,0.021762156,0.146806209,0.197592969,0.035743884
TXN,1.064970645,1.121311785,0.421029169,1.369959,0.721925097
KIAA0368,0.051306827,0.129662272,0.111771649,0.056861583,0.110973901
ZNF483,0.014904981,0.006229171,0,0.027559187,0
DNAJC25,0.0547613,0.035371107,0.00961202,0.064973918,0.047072707
GNG10,0.044933881,0.191392361,0.058836773,0.042826423,0.138131298
UGCG,0.07917964,0.040136141,0.319693142,0.06166837,0.050967608
SUSD1,0.022578595,0.066844241,0.04689244,0.019952483,0.091978886
PTBP3,0.189105836,0.197986069,0.196531691,0.137936041,0.283605209
HSDL2,0.103179831,0.153105844,0.086466293,0.080365082,0.095792057
C9orf147,0.008630092,0,0,0,0
KIAA1958,0.016219505,0.038667265,0.018031664,0.018652193,0.015665019
INIP,0.170457779,0.134016812,0.583556049,0.178633786,0.155666228
SNX30,0.031426064,0.061981744,0.040033229,0.098316936,0.052623382
SLC46A2,0,0.155916057,0,0,0.071708676
ZNF883,0.009635663,0.015742148,0,0.011825992,0.016674309
ZFP37,0.002979534,0,0,0.032042778,0
SLC31A2,0.064895739,1.17645343,0.034631529,0.087693678,2.557475492
FKBP15,0.097524637,0.464368214,0.136861018,0.178084923,0.481658289
SLC31A1,0.013318963,0.133079681,0,0.025950054,0.071683302
CDC26,0.005336128,0.019259291,0.026186776,0.022138301,0.037973831
PRPF4,0.153982097,0.102151826,0.049915331,0.118431604,0.054791805
BSPRY,0.004321361,0,0.00961202,0,0
HDHD3,0.23494494,0.09267314,0.23536246,0.190121832,0.043217208
ALAD,0.082936933,0.081445222,0.091000905,0.142019445,0.218830234
POLE3,0.347259042,0.197539138,0.298161209,0.395827151,0.250028978
RGS3,0.067483826,0.122359306,0.016621954,0.255670928,0.088836978
ZNF618,0.009758443,0.026752805,0.014439954,0.012281995,0
AKNA,0.659760813,0.610353685,0.67472367,0.697198283,0.594147288
DFNB31,0.022299567,0.006838659,0.080326661,0.047683036,0
ATP6V1G1,4.375761529,4.755636292,5.891383039,4.146674241,4.68870827
C9orf91,0.026776395,0.098422375,0.088084463,0,0.056926451
TNFSF8,0.066961916,0.05319846,0,0.095051215,0.013585258
ASTN2,0.021793926,0.008875832,0.029913172,0.008959971,0
TRIM32,0.024275429,0,0,0.048993144,0.01318442
TLR4,0.020480571,0.196392833,0.058943094,0.059364793,0.139872713
CDK5RAP2,0.089781408,0.11676073,0.110035577,0.069035459,0.012492317
MEGF9,0.052836806,0.352467605,0.093106148,0.039206447,0.153314986
FBXW2,0.207872554,0.219708449,0.219374097,0.361423021,0.112376832
PSMD5,0.105164487,0.049613418,0.152944017,0.177754779,0.062844388
PSMD5-AS1,0.732271189,0.20904916,0.500704743,0.574341899,0.138318335
PHF19,0.115425265,0.262144955,0.042207872,0.132255941,0.750999645
TRAF1,0.172526161,0.038990282,0,0.192925671,0.116415632
C5,0.003099437,0.011205737,0.014528316,0,0
CNTRL,0.279448745,0.197444533,0.305109804,0.357621606,0.22382943
RAB14,0.499046793,0.228193704,0.477842294,0.593720222,0.439541285
GSN,0.04265272,0.511691737,0.045249566,0.081704046,0.126957268
STOM,0.344710034,0.172389616,0.069320153,0.868242462,0.204869851
TTLL11,0.013230867,0.005935106,0.021182177,0.038917711,0.031127963
NDUFA8,0.670565268,0.706667,0.521771466,0.505691378,0.746592952
RBM18,0.225836957,0.244737335,0.173973007,0.155303387,0.194922289
MRRF,0.124396172,0.135173663,0.107091761,0.088064339,0.052405895
PTGS1,0.003379891,0.084643892,0.08636605,0.028141269,0.056129057
PDCL,0.135952196,0.067755506,0.156890939,0.236779269,0.116839191
RC3H2,0.110276342,0.064940037,0.081505767,0.10160355,0.082783586
ZBTB6,0.023653652,0,0.013979406,0.044995135,0
ZBTB26,0.004597581,0,0.032429503,0.012037171,0
RABGAP1,0.064104603,0.061784999,0.168500102,0.088272538,0.083790493
STRBP,0.103285155,0,0.848973631,0.067877267,0.028309086
DENND1A,0.05533137,0.291370924,0.068038431,0.013253547,0.095114743
NEK6,0.003008372,0.177786106,0.049462436,0.03593289,0.195358743
PSMB7,1.397006912,2.351191952,1.282325974,1.62614897,2.004467084
MIR181A2HG,0,0,0,0.012580515,0
RPL35,33.09151657,21.05711999,33.50289279,26.85047566,17.57530441
ARPC5L,0.694129972,0.37023891,0.849144322,2.091782785,0.418531483
GOLGA1,0.024768146,0.026354634,0.071580786,0.129651594,0.135506905
SCAI,0.248309818,0.033138343,0.125583798,0.041859219,0.037673058
PPP6C,0.754084247,0.669276166,0.577407672,1.114133599,0.432539799
RABEPK,0.170712098,0.078975674,0.074491245,0.11797094,0.255758696
HSPA5,1.017499818,0.358274024,0.732274642,1.924105513,0.817907719
GAPVD1,0.14148099,0.159335434,0.186000703,0.131848439,0.191816816
MAPKAP1,0.182016196,0.260656514,0.191558848,0.226179771,0.367636262
PBX3,0.040558933,0.051640012,0.046555994,0.014925596,0.048765736
MVB12B,0.036665027,0.046280527,0,0.128338633,0.01531356
ZBTB43,0.102177185,0.22359309,0.007872348,0.079984733,0.180276164
RALGPS1,0.012231737,0.004618852,0.092025258,0.051155462,0
SLC2A8,0.009404094,0.032916747,0.033500755,0.096715348,0.103999291
ZNF79,0.019978207,0.008007206,0.036761327,0.014091156,0
RPL12,54.82203625,44.63217228,60.20638081,40.84078681,36.37048698
LRSAM1,0.029052457,0.007438152,0.086203535,0.04401554,0.020884937
FAM129B,0.021843507,0.059823118,0,0,0.015171422
STXBP1,0.010364077,0.008785069,0,0.0138886,0
PTRH1,0.134695652,0.161934807,0.022762197,0.356306749,0.148567857
TTC16,0.050779624,0.011504025,0,0.161159288,0
TOR2A,0.183333621,0.364931456,0.284150114,0.391268369,0.441812805
SH2D3C,0.123879273,0.174819612,0.135413999,0.14503623,0.65388879
CDK9,0.185693667,0.130602952,0.264127511,0.288298678,0.134616546
FPGS,0.127944185,0.101448684,0.154634902,0.240588993,0.113241333
ENG,0.021715443,0.068546251,0.016411307,0.014565582,0.102033637
AK1,0.032195606,0,0.020659919,0.028505734,0
ST6GALNAC6,0.161542812,0.0770791,0.129420765,0.321346073,0.015119718
ST6GALNAC4,0.072968358,0.035527858,0.278698091,0.099574779,0.042695884
RP11-203J24.8,0.00345092,0.01536637,0,0,0
DPM2,0.265919134,0.395825657,0.345786429,0.334142576,0.19163584
FAM102A,0.602054533,0.086875727,0.19296462,0.379126517,0.08411947
NAIF1,0.054608849,0.054287346,0.092131475,0.066498957,0.049489411
SLC25A25,0.100822127,0.064105342,0.11946297,0.116606726,0.151685535
PTGES2,0.340693741,0.327732502,0.301786647,0.251876525,0.268492331
LCN2,0,0,0,0,0
C9orf16,1.958613344,2.218438282,1.791403361,3.222224929,2.294777178
CIZ1,0.159784374,0.164420645,0.064210778,0.172558821,0.143489591
GOLGA2,0.07811908,0.14348224,0.11970405,0.133030811,0.123245708
SWI5,0.173425179,0.268761821,0.310971809,0.218807044,0.162138669
TRUB2,0.14612848,0.077944535,0.111629409,0.283939701,0.043868484
RP11-339B21.13,0.003717736,0,0,0.026298905,0
COQ4,0.218315108,0.292699376,0.320071287,0.355019436,0.189059081
SLC27A4,0.015449335,0.027917777,0.013122998,0,0
URM1,0.622284581,0.51188824,0.420695255,0.854794177,0.663066677
RP11-339B21.11,0.013452731,0.026144962,0,0.008350766,0
CERCAM,0.004486196,0,0,0.011782727,0
ODF2,0.121826318,0.046035492,0.088864995,0.149837863,0.186463378
GLE1,0.116704797,0.071236572,0.108914663,0.198845195,0.067404016
RP11-216B9.6,0.003612794,0,0.009913023,0,0
SPTAN1,0.330852435,0.142288666,0.191399209,0.390959311,0.062512284
WDR34,0.022065777,0,0.325095811,0.056548018,0.035212075
HMGA1P4,0.028249405,0.027557325,0.102063312,0.009106348,0
SET,0.519659341,0.690666676,0.982032141,0.617827056,0.842399419
PKN3,0.003793906,0,0,0,0.014397729
ZDHHC12,0.508662391,0.513621816,0.319409137,0.580091039,0.69327163
RP11-545E17.3,0.069209281,0.062760662,0.048796665,0.126882059,0.028158335
ZER1,0.022125694,0.042693082,0.005492583,0.028878732,0.061791401
TBC1D13,0.049771347,0.033392207,0.066589931,0.029186519,0.014381061
ENDOG,0.044304208,0.111565589,0.013496529,0.07657797,0.043245759
C9orf114,0.169328068,0.100195248,0.075722661,0.299230306,0.028043283
CCBL1,0.04818122,0.019787482,0.016887984,0.130552131,0.017437339
LRRC8A,0.068798623,0.080219538,0.051640796,0.12220604,0.013796491
PHYHD1,0.010148483,0,0,0,0
DOLK,0.029925086,0.01500743,0.008456524,0,0
NUP188,0.039670853,0.025753815,0.047025665,0.007386725,0.053914873
SH3GLB2,0.07147701,0.062870355,0.10082764,0.079218641,0.034186677
FAM73B,0.052419194,0.052547255,0.04185438,0.078396079,0.029541822
DOLPP1,0.04680953,0.005891016,0,0.06343912,0.05466053
CRAT,0.061989988,0.112803744,0.031579335,0,0.094764118
PPP2R4,0.173432123,0.148944751,0.168251607,0.202211404,0.132624897
IER5L,0.00628853,0.03036665,0.03009988,0,0.042014388
RP11-247A12.2,0.02113347,0,0,0,0
RP11-65J3.1,0,0.286840108,0,0,0.207353329
RP11-492E3.2,0.004186758,0,0.005492583,0,0
NTMT1,0.35037646,0.262599727,0.135796238,0.403040789,0.413655842
ASB6,0.077669697,0.028260713,0.088807309,0.15995991,0.019087831
TOR1B,0.032233745,0.14788246,0.059631732,0.069184704,0.093935763
TOR1A,0.297357566,0.198258157,1.012423496,0.549166324,0.320586164
C9orf78,1.863387719,0.890714668,1.170250878,1.932775763,1.626016442
USP20,0.167044429,0.029007144,0.06861075,0.11278764,0.265053578
FNBP1,1.19503293,0.9859322,1.02212696,1.110230757,0.539304171
GPR107,0.022729708,0.107829111,0.020006878,0.069718951,0.076883739
FUBP3,0.208295598,0.109692448,0.309803719,0.26086845,0.068851388
EXOSC2,0.106495835,0.094574916,0.139401336,0.090339353,0.051582186
ABL1,0.067456158,0.078886805,0.029386128,0.011977482,0.032239422
FIBCD1,0,0,0,0,0.122530649
NUP214,0.145997046,3.525346682,0.200075459,0.178270244,1.596486889
RP11-544A12.4,0,0.024400659,0,0.015865083,0
RP11-544A12.8,0.079431754,0.063505174,0.170510155,0.115736212,0.045630723
FAM78A,0.233612959,0.083105855,0.178116285,0.257742265,0.079559912
PRRC2B,0.191539528,0.138645035,0.26376061,0.435068893,0.197237235
POMT1,0.100399145,0.157277362,0.42624155,0.089239483,0
UCK1,0.272438115,0.15992692,0.119784926,0.088500295,0.164863167
RAPGEF1,0.0850236,0.138308777,0.136419975,0.162410899,0.231149044
MED27,0.141940034,0.024625523,0.100910231,0.182813753,0.034141379
NTNG2,0,0.016399062,0,0.015770135,0.01217401
SETX,0.23857225,0.249994463,0.340582846,0.16180102,0.18719296
TTF1,0.238897039,0.162001345,0.302542505,0.259756543,0.124181933
DDX31,0.021597555,0.00840202,0.016196719,0.040954854,0.020884937
GTF3C4,0.01183141,0,0.025107559,0.012825446,0
AK8,0,0,0.065198676,0,0
C9orf9,0.009667844,0.011966661,0.010017591,0.012911139,0
TSC1,0.033344497,0.021629127,0.085397405,0.044937155,0.141077599
GFI1B,0,0.012719652,0,0,0.180521119
GTF3C5,0.125814449,0.12353562,0.184400092,0.1290895,0.148948189
RALGDS,0.097300794,0.042431011,0.015836592,0.213469108,0.014756902
GBGT1,0.003916841,1.014575995,0.02374169,0,0.121221624
SURF6,0.234271642,0.047803317,0.287120307,0.095777563,0.11905806
MED22,0.066923272,0.050978389,0.054269596,0.053828909,0.028155977
RPL7A,37.92004801,25.71665816,38.03540415,31.73725865,19.96215834
SURF1,1.313289652,1.075696313,0.501411008,0.776957275,0.974317641
SURF2,0.482377449,0.414568611,0.239193028,0.483829692,0.334463287
SURF4,0.434737821,0.297132111,0.325370935,0.898650229,0.440909233
C9orf96,0.004554275,0.008785069,0,0,0.017129565
REXO4,0.251274753,0.135943079,0.393479625,0.270069996,0.163030456
CACFD1,0.008384605,0.024601921,0.030481375,0,0.030194574
SLC2A6,0.038989529,0.326457392,0.285728797,0.04377976,1.047373439
