gse,cell.types,n.cell.types,title
GSE14419,Macrophage,1,[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array
GSE14465,Neutrophils,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE14479,CD4 T cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE14577,PBMC,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE14630,PBMC,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE14642,PBMC,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE14711,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE14801,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE14816,Immature Dendritic cells,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE14827,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE14895,PBMC,1,[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array
GSE14897,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE14908,CD4 T cells,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE15072,PBMC,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE15174,Mast cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE1518,endothelial,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE15215,Plasmacytoid Dendritic Cells,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE15245,PBMC,1,[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array
GSE15322,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE15389,PBMC,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE15396,PBMC,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE15400,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE15464,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE15490,B cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE15495,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE15499,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE15537,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE15615,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE15645,PBMC,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE15695,Plasma cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE15735,CD4 T cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE15743,NK cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE15777,B cells,1,[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array
GSE15928,PBMC,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE15949,Macrophage,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE16032,PBMC,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE16051,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE16093,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE16098,PBMC,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE16111,fibroblast,1,[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array
GSE16122,Plasma cells,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE16129,PBMC,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE16214,PBMC,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE16226,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE16250,PBMC,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE16354,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE16355,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE16356,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE16357,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE16382,NK cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE16386,Macrophage,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE16416,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE1644,endothelial,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE16455,B cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE16524,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE16547,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE16558,Plasma cells,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE16654,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE16683,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE16712,GC B cells,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE16715,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE16728,PBMC,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE16746,B cells,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE16755,Macrophage,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE16791,Plasma cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE16836,Monocytes,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE16837,Neutrophils,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE16879,Myeloid Dendritic cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE16962,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE17046,fibroblast,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE17061,PBMC,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE17078,endothelial,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE17114,PBMC,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE17119,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE17189,GC B cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE17299,CD8 T cells,1,[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array
GSE17301,CD8 T cells,1,[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array
GSE17302,CD8 T cells,1,[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array
GSE17306,Plasma cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE17312,B cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE17356,NK cells,1,[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array
GSE17372,GC B cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE17407,Plasmacytoid Dendritic Cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE17459,White blood cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE17477,Macrophage,1,[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array
GSE17504,fibroblast,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE17718,CD4 T cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE17777,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE17922,T cells,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE17938,T cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE17939,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE17974,CD4 T cells,1,Affymetrix Human Genome U133 Plus 2.0 Array [individual probe level version]
GSE18017,CD4 T cells,1,Affymetrix Human Genome U133 Plus 2.0 Array [individual probe level version]
GSE18026,B cells,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE18038,fibroblast,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE18090,PBMC,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE18111,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE18113,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE18147,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE18198,T cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE18226,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE18265,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE18291,PBMC,1,[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array
GSE18309,PBMC,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE18313,T cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE18323,PBMC,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE18373,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE18376,B cells,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE1848,Mast cells,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE18497,B cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE18521,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE18565,Monocytes,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE18593,endothelial,1,[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array
GSE18651,fibroblast,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE18723,B cells,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE18791,Dendritic cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE18794,Monocytes,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE18810,Neutrophils,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE18816,Macrophage,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE18864,NK cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE18877,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE18913,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE19098,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE19128,PBMC,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE19143,B cells,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE19147,T cells,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE19240,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE19243,B cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE19301,PBMC,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE19315,Macrophage,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE19475,B cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE19510,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE19529,fibroblast,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE19556,Neutrophils,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE19615,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE19625,Monocytes,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE19627,Monocytes,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE19735,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE19784,Plasma cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE19789,PBMC,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE19816,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE19833,PBMC,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE19882,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE19888,Mast cells,1,[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array
GSE2006,White blood cells,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE20086,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE20124,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE20125,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE20126,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE20151,Neutrophils,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE20198,CD4 T cells,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE20307,NK cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE20484,Macrophage,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE20499,NK cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE20504,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE20508,Monocytes,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE20538,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE20641,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE20666,B cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE20677,PBMC,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE20685,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE20713,CD8 T cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE20745,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE20847,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE20874,NK cells,1,Affymetrix Human Genome U133 Plus 2.0 Array [MBNI v12 Entrez Gene ID CDF]
GSE20978,endothelial,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE20986,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE21037,fibroblast,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE21039,PBMC,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE21050,NK cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE2113,Plasma cells,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE21132,T cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE21243,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE21244,fibroblast,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE2125,Macrophage,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE21251,B cells,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE21252,B cells,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE21262,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE21296,B cells,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE21348,fibroblast,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE21349,Plasma cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE2135,Monocytes,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE21351,Monocytes,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE21521,NK cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE21545,PBMC,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE21547,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE21648,fibroblast,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE21655,fibroblast,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE21723,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE21774,NK cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE21837,PBMC,1,[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array
GSE21891,fibroblast,1,[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array
GSE21899,fibroblast,1,[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array
GSE21943,Monocytes,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE21989,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE22011,fibroblast,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE22025,CD4 T cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE22064,T cells,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE2208,Monocytes,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE22103,Neutrophils,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE22166,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE22183,GC B cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE22224,PBMC,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE22246,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE22250,CD8 T cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE22255,PBMC,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE22282,Myeloid Dendritic cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE2230,CD4 T cells,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE22325,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE22392,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE22463,PBMC,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE22469,fibroblast,1,[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array
GSE22470,GC B cells,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE22499,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE22501,T cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE22522,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE22523,B cells,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE22528,Macrophage,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE22529,B cells,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE22543,Activated Macrophages,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE22552,PBMC,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE22589,Dendritic cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE22632,PBMC,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE22667,PBMC,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE22668,PBMC,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE22688,endothelial,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE22695,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE22759,B cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE22895,B cells,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE22898,B cells,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE22919,NK cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE2299,endothelial,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE23034,fibroblast,1,Affymetrix Human Gene ST 1.0 Custom RefSeq CDF version 12 [CDF: HuGene10stv1_Hs_REFSEQ]
GSE23066,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE23073,Dendritic cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE23183,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE23203,endothelial,1,Affymetrix Human Genome U133 Plus 2.0 Array [Hs133P_Hs_ENTREZG.cdf]
GSE2322,Neutrophils,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE2327,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE23321,CD8 T cells,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [probe set (exon) version]
GSE23332,Tregs,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE23366,Dendritic cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE23399,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE23402,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE23413,fibroblast,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE23416,fibroblast,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE23501,GC B cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE23583,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE23591,B cells,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE23618,Dendritic cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE23687,PBMC,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE23695,NK cells,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE23741,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE23743,B cells,1,[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array
GSE23909,endothelial,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE2396,gamma delta T cells,1,[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array
GSE23968,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE23984,Activated T cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE24044,GC B cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE24093,endothelial,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE24128,Plasma cells,1,[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array
GSE24132,Dendritic cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE24182,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE24183,B cells,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE24434,fibroblast,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE24487,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE2450,endothelial,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE24598,fibroblast,1,[HG-U133A] Affymetrix Human Genome U133A Array
GSE24621,fibroblast,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE24736,Naive B cells,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE24791,NK cells,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE24810,fibroblast,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE24832,fibroblast,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE24834,fibroblast,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE24869,Monocytes,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE24870,Monocytes,1,[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array
GSE24897,Macrophage,1,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE24997,fibroblast,1,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
