Symbol,myeloid.dendritic.cells,macrophages,neutrophils,B.cells,NK.cells,memory.CD4.T.cells
MRPL40,234.8,238.3,2.9,234.2,138.9,88.7
MRPL41,13.7,7.3,5.7,29.6,26.2,22.1
MRPL42,241.7,326.7,29.8,221.5,104.4,248.1
MRPL44,47.1,31.6,12.1,51.0,34.3,53.9
MRPL46,109.0,118.2,9.6,177.1,165.8,181.5
MRPL48,102.1,145.5,11.1,255.4,238.7,208.8
MRPL49,344.5,394.9,262.8,708.1,656.0,491.8
MRPL52,27.4,30.6,62.2,106.1,77.6,70.3
MRPL57,67.0,88.0,70.1,123.2,104.3,182.8
MRPL9,62.3,58.4,1.0,98.1,154.4,121.9
MRPS10,393.7,257.8,84.0,251.2,216.9,171.3
MRPS11,9.9,17.1,3.2,3.7,13.3,25.3
MRPS11P1,11.3,13.1,31.1,24.3,26.8,48.9
MRPS12,2.2,2.5,2.4,2.5,9.2,7.7
MRPS14,63.0,36.9,16.5,148.4,138.3,64.5
MRPS15,85.8,100.9,21.8,96.3,75.2,18.8
MRPS16,90.7,169.0,7.5,104.1,17.2,45.4
MRPS17,195.6,235.9,38.6,118.9,119.2,98.4
MRPS18A,65.9,66.7,54.4,98.1,54.9,107.8
MRPS18B,49.5,99.1,5.9,51.7,38.7,68.2
MRPS18C,8.8,13.8,7.5,32.9,26.6,62.3
MRPS2,49.2,67.2,14.3,77.5,73.7,54.5
MRPS22,487.8,429.1,213.9,489.8,460.1,248.0
MRPS27,419.7,280.6,12.4,564.7,337.0,326.7
MRPS28,225.4,221.2,4.8,87.9,84.9,45.6
MRPS30,50.4,71.2,7.7,66.5,90.0,157.1
MRPS31,52.3,35.4,10.7,161.4,95.5,159.3
MRPS31P5,5.7,4.7,5.1,249.9,141.1,117.2
MRPS33,201.3,269.0,5.0,219.0,126.7,225.0
MRPS34,80.3,140.7,11.1,65.0,73.1,86.9
MRPS35,557.6,360.4,71.2,480.9,410.9,423.4
MRPS7,169.6,262.0,30.7,133.9,98.9,203.3
MRS2,215.1,162.6,6.4,177.2,77.9,102.4
MRTO4,134.1,144.8,7.5,49.3,9.3,41.4
MS4A1,16.8,15.8,13.5,4414.4,72.5,165.8
MS4A12,13.4,6.1,41.3,17.0,28.8,41.3
MS4A2,6.3,1.9,1.4,12.3,21.6,17.6
MS4A3,5.6,6.8,28.9,10.7,3.9,45.6
MS4A4A,842.6,1958.2,0.7,5.1,85.5,1.5
MS4A5,3.7,2.5,4.3,2.9,2.9,6.9
MS4A6A,1607.9,240.8,1181.6,65.3,143.8,24.1
MSANTD2,82.0,35.9,1.4,215.5,164.8,74.2
MSANTD3-TMEFF1,13.5,18.6,1.9,8.7,13.5,17.5
MSC,31.7,57.9,27.3,21.3,21.5,39.3
MSH2,154.5,115.9,21.0,145.0,136.8,172.8
MSH3,33.1,22.2,25.4,44.1,46.7,98.7
MSH4,15.0,10.2,22.7,13.5,26.5,61.5
MSH5,13.1,14.7,4.4,69.5,7.0,8.0
MSH5-SAPCD1,1.2,1.0,2.8,1.5,2.4,7.7
MSH6,1.2,0.5,3.3,10.7,10.7,4.0
MSI1,1.4,2.0,26.6,1.0,5.3,8.8
MSL1,341.4,361.9,3939.7,859.6,1246.3,694.3
MSL2,75.4,101.4,956.6,221.2,231.2,337.3
MSL3,33.5,27.4,120.2,62.6,58.9,142.2
MSLN,0.5,0.3,6.1,1.0,1.6,3.4
MSMB,0.6,0.5,1.5,1.5,2.0,20.3
MSMO1,825.8,655.7,25.2,294.4,215.8,137.8
MSN,861.4,1095.2,1116.0,810.9,1309.5,824.3
MSR1,15.5,34.9,3.5,2.1,2.8,8.0
MSRA,376.4,405.7,384.0,241.5,145.2,163.6
MSRB1,704.3,367.1,7011.3,55.9,172.7,15.4
MSRB2,1.0,16.0,93.9,2.8,37.0,102.0
MST1,13.5,12.5,16.3,69.3,65.7,9.4
MST1L,1.0,1.2,4.4,8.8,0.7,10.6
MST1P2,40.5,57.7,81.1,76.6,96.7,149.3
MST1R,20.5,28.7,9.6,35.7,47.3,119.1
MST4,190.4,187.6,295.5,837.0,1081.0,377.1
MSTN,5.2,1.8,6.7,4.5,10.5,23.9
MSTO1,33.6,10.0,69.0,112.8,85.8,219.9
MSTO2P,33.6,10.0,69.0,112.8,85.8,219.9
MSX1,1.5,15.2,11.9,17.8,27.7,30.7
MSX2,0.6,1.3,2.1,4.5,10.7,20.4
MT1E,194.3,643.2,157.8,61.4,115.7,189.9
MT1F,186.2,398.5,25.3,21.3,19.0,17.2
MT1G,4.9,14.5,32.9,14.1,27.6,13.2
MT1H,571.1,1198.9,242.5,50.4,109.2,201.9
MT1HL1,317.0,1088.7,67.8,38.9,131.6,138.1
MT1M,20.5,1.7,4.0,2.7,2.8,3.2
MT1X,460.3,570.5,124.8,70.2,98.2,206.8
MT2A,809.9,2509.3,715.2,265.4,362.7,688.9
MT3,28.1,32.0,94.3,5.2,39.1,65.1
MT4,4.1,11.6,42.4,12.5,30.1,5.7
MTA1,24.8,28.1,2.0,35.5,34.7,112.3
MTA2,3.5,3.7,3.8,5.6,7.2,12.0
MTAP,7.4,17.4,1.1,0.6,1.9,6.2
MTCH1,2108.9,1896.5,2156.5,1942.1,2024.2,1845.6
MTCH2,486.3,891.7,67.8,342.9,337.3,304.5
MTCL1,91.1,24.8,43.1,130.1,60.8,76.9
MTCP1,11.4,17.3,13.0,20.0,16.1,49.4
MTDH,422.5,394.8,63.8,127.3,172.8,213.8
MTERF1,44.9,22.6,5.7,54.7,28.1,56.2
MTERF3,293.8,186.9,2.8,501.5,265.7,142.4
MTERF4,55.6,56.6,46.4,163.3,98.0,257.8
MTF1,25.3,97.8,200.0,15.6,35.6,65.7
MTF2,87.0,70.6,26.2,57.5,92.7,77.6
MTFR1,52.4,69.7,14.1,68.1,45.2,75.8
MTG1,39.3,45.9,32.1,172.0,159.6,175.9
MTHFD1,957.8,806.6,45.4,536.0,208.4,239.4
MTHFD2,1657.0,1214.1,413.1,525.1,521.2,262.4
MTHFD2L,30.8,37.5,7.7,55.0,26.7,27.2
MTHFR,3.3,2.4,2.6,2.3,6.5,5.9
MTHFS,67.1,213.7,365.0,89.7,141.9,223.1
MTHFSD,34.3,39.4,24.3,62.9,86.4,139.4
MTIF2,639.5,429.5,26.2,437.7,188.1,215.1
MTL5,11.1,17.9,38.2,30.1,40.6,37.9
MTM1,86.6,35.8,44.4,69.5,29.8,9.6
MTMR1,13.2,13.2,28.0,17.0,21.6,7.6
MTMR10,2.6,11.1,70.7,29.0,4.2,95.6
MTMR11,36.6,140.4,41.5,39.4,73.7,98.6
MTMR12,38.7,68.1,144.0,45.3,89.1,171.7
MTMR14,184.0,226.8,250.4,201.1,170.5,251.2
MTMR2,82.6,75.7,4.4,25.4,28.3,34.0
MTMR3,3.4,6.6,33.0,3.2,4.7,6.6
MTMR4,150.7,195.2,263.8,324.4,272.3,200.4
MTMR6,743.8,476.8,542.7,335.8,274.7,113.9
MTMR7,6.1,1.0,5.9,11.3,3.9,22.5
MTMR8,13.2,13.1,12.0,16.5,35.7,31.9
MTMR9,144.0,119.1,45.6,271.3,358.6,223.0
MTNR1A,23.6,6.4,24.4,1.4,3.6,44.2
MTNR1B,4.7,3.5,9.5,6.9,4.8,11.2
MTO1,302.6,187.2,5.6,551.3,315.4,306.5
MTOR,14.1,2.0,27.3,3.5,3.2,4.8
MTPAP,87.1,131.2,9.5,154.2,145.3,175.0
MTR,331.3,232.5,25.2,364.3,284.6,274.5
MTRF1,83.5,87.7,24.4,161.0,109.9,162.9
MTRF1L,8.0,3.5,3.1,13.6,11.1,58.5
MTRR,107.0,62.3,47.5,81.7,75.7,143.9
MTSS1,4.3,5.3,3.0,13.8,8.1,16.3
MTSS1L,1.2,1.5,5.5,1.5,4.1,5.2
MTTP,16.3,1.4,23.0,15.9,36.6,1.8
MTUS1,22.0,40.0,3.2,4.5,4.8,14.2
MTUS2,1.4,0.7,4.2,1.1,4.0,3.0
MTX1,715.2,662.1,1113.7,366.7,295.7,92.8
MTX2,246.3,159.2,30.4,320.7,163.4,109.7
MUC1,1.4,3.9,3.7,1.3,2.2,11.3
MUC13,6.5,6.1,7.8,9.7,17.6,32.7
MUC16,1.8,2.7,3.1,29.2,3.1,13.6
MUC2,5.9,6.6,32.8,26.9,31.3,102.8
MUC3A,49.0,56.4,138.6,58.6,79.9,202.9
MUC3B,8.7,2.9,10.2,13.6,30.5,16.2
MUC4,1.3,1.9,4.5,1.2,3.0,5.8
MUC5AC,2.1,2.2,4.9,2.0,3.9,9.6
MUC5B,1.2,1.2,4.7,2.0,2.2,4.0
MUC6,26.4,11.0,6.6,2.0,4.5,42.2
MUC7,1.1,0.9,16.6,2.4,1.5,3.1
MUC8,4.5,4.3,12.5,4.7,7.4,18.8
MUL1,159.6,173.9,148.6,85.1,113.3,34.5
MUM1,44.3,16.1,8.4,64.3,70.9,68.1
MUS81,105.7,98.8,145.0,170.5,235.0,216.9
MUSK,4.4,4.4,8.3,8.9,13.0,31.6
MUT,120.2,118.9,21.0,174.9,154.0,93.5
MUTYH,75.5,58.3,81.9,357.1,375.9,198.8
MVB12B,1.9,1.2,2.9,1.8,16.1,3.7
MVD,2.3,3.9,6.8,1.0,1.5,9.1
MVK,1.7,3.0,5.0,2.2,2.7,6.1
MVP,190.3,174.5,693.7,146.1,173.8,447.5
MX1,93.3,63.0,2434.0,699.7,351.7,215.2
MX2,171.0,173.2,3590.0,721.6,542.2,684.4
MXD1,2.0,3.3,464.1,1.9,3.3,8.7
MXD3,6.7,5.3,14.6,10.0,11.0,16.2
MXD4,19.9,42.4,5.9,22.0,8.5,96.2
MXI1,968.4,493.1,852.7,401.2,387.6,494.2
MXRA5,17.0,24.6,31.9,24.0,28.2,10.5
MXRA7,1022.5,355.9,457.9,241.2,1663.2,210.6
MXRA8,34.9,62.4,132.1,53.6,91.4,204.9
MYB,5.3,3.4,3.6,4.9,11.4,31.2
MYBBP1A,60.8,67.8,53.2,93.1,60.3,166.6
MYBL1,8.8,13.2,2.9,101.7,2694.1,502.6
MYBL2,16.1,40.0,14.6,32.8,23.4,21.4
MYBPC1,11.2,16.0,19.7,22.1,30.9,36.8
MYBPC2,7.3,0.8,1.5,8.7,1.6,2.7
MYBPC3,15.8,12.6,97.3,32.2,11.2,77.3
MYBPH,7.8,1.7,9.7,2.1,4.7,27.6
MYC,287.5,191.3,6.1,405.4,109.4,1117.0
MYCBP,17.6,22.7,8.4,10.2,41.0,83.8
MYCBP2,140.2,133.1,165.8,125.6,99.7,721.4
MYCL,40.5,8.6,10.8,7.9,10.2,67.9
MYCLP1,20.6,20.3,49.2,37.5,38.1,90.9
MYCN,1.3,1.0,1.7,1.4,2.7,3.9
MYCNOS,4.7,1.6,5.8,4.1,5.3,12.4
MYCT1,7.6,12.9,10.6,6.8,15.0,42.5
MYD88,1108.4,1735.6,5549.5,1039.6,1369.9,542.0
MYEF2,1.0,1.7,12.1,1.7,12.3,45.9
MYF5,0.6,1.9,3.3,6.9,1.1,2.7
MYF6,19.1,4.7,8.0,5.0,6.7,13.3
MYH1,5.8,1.2,1.5,8.8,3.1,5.0
MYH10,2.2,2.3,3.8,2.3,4.3,2.5
MYH11,0.9,1.1,5.1,2.8,1.7,4.8
MYH13,11.4,26.0,7.7,19.7,18.9,35.0
MYH14,0.7,1.1,3.2,1.4,1.6,7.8
MYH15,15.2,17.7,13.9,12.4,15.6,57.0
MYH2,10.7,16.1,12.0,0.2,15.4,17.1
MYH3,11.0,1.5,0.8,32.2,12.7,48.4
MYH4,4.7,6.4,2.0,1.0,10.7,6.1
MYH6,0.5,0.4,0.7,0.5,1.5,2.7
MYH7,0.5,0.4,0.7,0.5,1.5,3.9
MYH7B,4.3,1.5,5.5,12.9,32.3,55.0
MYH8,3.5,1.5,9.8,6.4,6.3,4.9
MYH9,493.5,376.1,2002.0,337.3,294.6,578.3
MYL1,10.9,30.9,25.1,24.5,68.6,99.3
MYL10,21.4,5.8,23.5,8.9,14.2,35.6
MYL12A,1319.9,826.3,1198.5,831.6,699.8,908.5
MYL12B,2398.3,1051.7,2227.4,1274.2,2648.6,700.8
MYL2,19.2,6.9,33.5,32.4,48.2,58.8
MYL3,4.3,2.9,14.6,17.3,27.9,48.4
MYL4,27.6,46.6,65.8,12.1,54.8,71.7
MYL5,33.8,18.5,7.0,39.3,40.7,69.4
MYL6,33.5,42.9,92.7,48.4,66.4,89.3
MYL6B,106.7,162.5,8.8,119.5,53.3,11.9
MYL7,2.8,2.6,6.0,4.0,2.3,9.1
MYL9,93.8,123.3,2.8,1.5,1.3,2.4
MYLIP,39.0,17.8,988.6,50.3,140.8,213.1
MYLK,1.9,4.6,6.8,3.6,3.4,15.5
MYLK3,5.0,1.4,17.6,2.0,3.1,15.6
MYLPF,6.4,4.3,6.2,2.4,6.1,13.9
MYNN,116.9,78.6,73.8,259.0,143.3,101.2
MYO10,7.2,0.8,1.3,4.2,1.5,5.0
MYO15A,29.4,14.0,26.2,37.4,74.7,69.2
MYO15B,32.2,15.2,183.6,238.7,281.5,187.5
MYO16,1.4,1.7,6.2,3.3,4.8,20.3
MYO18A,181.7,71.2,82.0,124.3,159.2,174.5
MYO19,39.3,48.6,44.1,47.6,74.8,120.2
MYO1A,24.8,21.1,83.3,23.8,52.3,17.4
MYO1B,3.0,0.4,1.9,0.6,4.0,3.1
MYO1C,116.1,113.5,230.0,79.0,134.5,279.6
MYO1D,1.3,17.5,1.2,40.0,2.9,1.8
MYO1E,96.2,143.3,6.1,53.5,39.4,6.1
MYO1F,451.1,614.0,4507.5,210.0,1419.7,534.8
MYO3A,0.7,1.7,2.2,1.0,1.6,5.9
MYO5A,4.8,6.2,4.3,6.5,11.4,6.6
MYO5C,55.7,60.2,114.2,86.5,113.2,249.6
MYO6,0.7,23.4,1.1,0.9,1.6,6.3
MYO7A,2.9,3.0,1.9,2.3,2.5,2.3
MYO7B,5.7,0.9,3.5,1.7,2.6,4.2
MYO9A,97.3,117.3,75.5,84.2,98.0,302.2
MYO9B,34.9,38.9,45.7,19.6,20.6,89.5
MYOC,12.9,19.5,12.7,5.8,9.5,40.5
MYOD1,12.5,4.3,9.8,4.3,6.9,18.7
MYOF,22.1,28.8,9.3,7.1,7.6,8.5
MYOG,3.8,11.8,14.7,4.8,10.8,10.2
MYOM1,15.1,9.2,21.5,24.7,29.7,31.0
MYOM2,58.6,46.1,7.9,29.7,225.1,8.9
MYOT,1.2,1.1,1.5,2.3,1.6,18.1
MYOZ1,42.3,79.6,26.2,49.1,56.2,116.8
MYOZ2,0.6,0.4,2.1,0.6,2.0,2.9
MYOZ3,10.2,23.9,55.5,7.8,7.0,57.2
MYRF,1.7,1.4,5.2,0.9,1.1,5.4
MYRIP,5.5,3.9,5.6,2.1,5.6,3.4
MYT1,1.8,2.2,11.7,2.8,3.9,13.0
MYT1L,0.6,0.8,2.1,1.2,1.8,5.3
MYZAP,54.6,74.8,72.0,122.6,116.8,176.7
MZB1,2.7,4.7,7.2,512.3,6.4,7.9
MZF1,8.1,16.8,11.9,8.9,15.1,75.9
MZT2A,126.1,212.5,3.1,468.4,280.0,405.4
MZT2B,64.5,79.5,3.1,124.5,122.8,288.5
N4BP1,103.4,63.7,406.3,93.5,180.3,102.1
N4BP2L1,2.6,0.7,0.6,1.0,2.4,4.7
N4BP2L2,70.1,51.9,130.8,146.2,194.1,243.4
N4BP2L2-IT2,10.3,21.5,23.5,72.5,83.7,137.0
N4BP3,20.9,23.1,48.2,22.7,41.0,66.4
N6AMT1,3.6,2.4,1.5,14.5,2.9,6.3
NAA10,90.8,84.7,55.5,114.9,140.4,104.7
NAA11,16.1,28.5,42.9,25.0,76.2,108.2
NAA15,30.1,61.4,8.7,24.6,17.1,81.3
NAA16,352.8,398.6,70.5,445.0,701.7,355.2
NAA35,36.1,56.5,3.0,29.0,27.2,67.8
NAA40,26.1,40.7,20.8,68.4,108.8,58.0
NAA50,1202.5,944.9,391.4,695.7,464.4,206.1
NAA60,100.1,89.3,188.6,53.0,95.5,83.2
NAAA,90.7,42.6,93.3,58.8,68.9,77.8
NAALAD2,7.1,1.2,3.7,24.5,6.5,3.3
NAALADL1,0.9,2.3,3.3,2.4,2.3,10.9
NAB1,5.9,13.6,12.5,9.9,0.8,36.6
NAB2,4.3,14.5,13.6,2.9,8.3,9.6
NABP1,31.7,60.8,94.4,9.7,17.7,1.9
NABP2,5.6,10.7,5.9,1.4,32.0,22.0
NACA,60.9,62.8,6.4,235.2,189.3,138.2
NACA2,3.3,0.2,0.6,4.2,0.4,27.6
NACAD,3.9,8.1,14.1,4.2,7.0,5.9
NACAP1,541.0,436.1,409.9,728.2,1011.7,864.0
NACC2,143.6,312.9,99.0,12.8,115.7,68.2
NADK,13.2,29.2,74.2,17.9,15.8,51.9
NADSYN1,104.2,56.9,111.8,142.6,166.8,118.2
NAE1,589.3,511.4,19.0,911.4,775.1,726.5
NAG18,0.9,0.8,29.6,8.1,1.2,7.3
NAGA,467.8,109.1,10.4,87.9,144.3,67.4
NAGK,669.0,884.7,166.5,323.1,217.3,275.7
NAGLU,8.7,3.9,1.9,0.9,6.3,4.1
NAGPA,545.6,135.0,3.7,127.4,143.3,107.7
NAIP,109.2,51.8,1095.7,62.0,71.9,89.0
NAMPT,75.7,332.4,7647.2,174.9,226.5,110.1
NANOG,13.8,16.7,2.6,3.4,1.5,5.3
NANS,447.8,403.3,197.3,149.5,97.5,96.9
NAP1L1,347.3,170.9,2.5,339.2,191.8,237.3
NAP1L2,9.3,5.9,4.1,43.2,129.3,120.7
NAP1L3,6.6,6.2,11.5,9.4,112.9,75.4
NAP1L4,59.8,102.2,59.0,188.0,284.0,466.9
NAPA,63.1,85.1,158.7,22.6,57.0,60.6
NAPG,49.4,55.4,72.9,60.7,57.4,140.7
NARF,138.8,88.9,913.7,214.8,261.0,245.5
NARFL,26.6,7.7,16.6,65.5,49.8,58.3
NARS,3662.3,3021.2,151.2,2176.9,1561.1,1241.3
NARS2,90.5,69.6,32.2,109.5,111.8,84.8
NASP,51.9,53.4,93.4,117.3,128.1,135.4
NAT1,518.7,391.9,163.3,314.9,275.6,76.4
NAT10,105.1,169.0,55.2,243.7,283.6,329.2
NAT2,2.8,6.9,25.6,2.9,10.8,16.3
NAT6,6.4,7.6,6.6,49.2,14.2,18.4
NAT8,1.6,2.1,8.5,2.1,9.9,8.0
NAT8B,1.6,2.1,8.5,2.1,3.5,8.0
NAT9,105.1,84.2,33.2,166.6,115.2,192.6
NAV2,12.5,20.8,49.3,22.7,40.1,31.5
NAV3,0.9,2.2,2.5,0.5,2.8,3.3
NBAS,111.9,114.2,5.7,88.4,118.9,227.0
NBEA,24.8,14.5,32.3,94.1,36.1,32.2
NBEAL1,3585.4,3226.4,609.0,8186.2,5853.5,12982.1
NBEAL2,7.4,43.3,402.5,36.9,45.3,101.7
NBL1,2.2,2.4,8.1,2.0,3.9,6.5
NBN,38.8,85.2,319.8,30.6,26.9,24.8
NBPF1,41.0,112.7,474.7,30.2,50.4,472.1
NBPF10,41.0,97.1,474.7,30.2,35.2,472.1
NBPF11,41.0,112.7,474.7,30.2,50.4,472.1
NBPF12,784.9,627.8,3806.4,2964.1,2559.5,3076.3
NBPF14,41.0,97.1,474.7,30.2,35.2,472.1
NBPF15,41.0,112.7,474.7,30.2,50.4,472.1
NBPF19,41.0,112.7,474.7,30.2,50.4,472.1
NBPF20,200.2,337.5,1426.6,930.6,722.2,2202.9
NBPF25P,200.2,337.5,1426.6,930.6,722.2,2202.9
NBPF26,41.0,97.1,474.7,30.2,35.2,472.1
NBPF8,200.2,337.5,1426.6,930.6,722.2,2202.9
NBPF9,56.4,97.1,1426.6,61.2,35.2,1049.1
NBR1,57.1,104.6,213.4,71.7,130.6,230.2
NBR2,11.3,10.4,22.9,23.3,1.7,22.3
NCALD,14.5,27.2,51.3,36.9,541.2,204.1
NCAM1,1.6,2.1,1.7,1.6,4.6,4.8
NCAM2,8.8,10.2,19.5,14.9,26.0,36.8
NCAN,23.9,28.8,73.5,29.6,42.1,122.0
NCAPD2,46.1,55.1,10.8,80.9,144.6,172.3
NCAPD3,60.9,112.4,2.3,151.4,192.8,168.0
NCAPG,7.6,20.4,15.5,24.2,8.3,19.3
NCAPG2,59.9,68.8,33.4,52.4,91.0,163.6
NCAPH,980.5,1457.1,8.6,5.9,4.5,11.5
NCAPH2,4.6,7.4,4.4,15.1,7.8,52.2
NCBP1,9.3,6.7,1.9,6.6,25.7,3.4
NCBP2,109.3,150.8,3.3,62.2,47.5,233.2
NCDN,4.0,5.1,6.2,12.5,9.0,7.2
NCF1,6.9,67.9,2166.7,495.8,8.3,14.9
NCF1B,6.9,67.9,2166.7,495.8,8.3,14.9
NCF1C,6.9,67.9,2166.7,495.8,8.3,14.9
NCF2,3930.6,2806.4,8228.3,155.9,253.1,41.5
NCF4,60.5,142.7,2078.3,149.5,1.2,89.2
NCK1,357.0,571.0,98.2,231.0,249.8,270.9
NCK2,182.6,285.7,699.6,788.6,405.7,732.8
NCKAP1,16.2,49.7,6.1,5.2,38.7,41.4
NCKAP1L,101.8,143.9,134.9,53.4,100.4,324.4
NCKIPSD,13.3,44.7,23.5,59.9,62.7,86.7
NCL,1798.9,1242.8,106.4,1353.5,1121.2,1069.9
NCLN,0.6,7.1,8.2,5.8,7.5,15.3
NCOA1,84.0,92.0,1030.1,83.8,391.2,68.7
NCOA2,8.0,16.9,29.8,10.1,41.8,65.1
NCOA3,3.0,20.2,66.0,34.0,1.5,52.9
NCOA4,2268.6,2734.0,8383.8,1908.7,2218.3,2096.0
NCOA6,261.5,350.4,832.7,532.3,528.9,482.2
NCOR1,126.8,85.1,103.6,117.1,146.5,138.8
NCOR2,1.9,4.3,3.6,1.5,2.1,10.7
NCR1,2.6,3.4,9.3,1.5,12.2,20.2
NCR2,1.4,3.4,5.8,0.9,10.8,14.3
NCR3,4.3,4.1,3.6,81.3,243.6,41.5
NCRNA00185,11.3,1.4,3.7,1.1,1.8,2.2
NCS1,17.0,54.8,12.2,4.7,5.7,18.0
NCSTN,386.4,352.7,592.2,108.6,187.6,127.5
NDC1,212.8,142.1,0.6,88.3,74.3,88.3
NDC80,6.3,46.5,21.8,58.6,59.9,70.5
NDE1,51.7,51.4,854.2,56.0,118.4,290.1
NDEL1,476.6,400.3,2019.7,316.4,344.1,296.5
NDFIP1,446.8,225.0,184.6,82.1,152.1,218.6
NDN,44.1,49.9,21.0,21.5,49.6,36.6
NDNF,21.7,23.1,76.4,10.8,54.9,66.3
NDOR1,29.7,4.1,6.7,8.1,9.3,11.4
NDP,18.6,103.3,54.6,11.2,29.4,92.1
NDRG1,270.9,97.5,438.3,251.8,370.7,324.8
NDRG2,23.0,23.9,22.5,5.2,9.5,15.7
NDRG3,78.4,90.3,161.3,45.1,79.1,187.5
NDRG4,3.2,3.1,8.0,20.2,27.6,28.8
NDST1,4.2,20.5,9.2,13.5,3.1,7.1
NDST2,27.1,23.7,163.6,88.6,73.0,193.7
NDST3,7.7,14.9,38.7,30.6,27.7,71.4
NDST4,16.0,6.3,21.5,20.0,29.9,41.0
NDUFA1,523.1,1234.4,300.7,349.9,471.6,235.0
NDUFA10,180.4,283.7,72.6,301.9,303.1,459.0
NDUFA13,341.1,937.2,24.0,168.4,95.0,502.4
NDUFA2,3.7,14.3,35.4,17.8,71.6,96.4
NDUFA3,349.9,456.4,66.6,314.3,302.7,172.2
NDUFA4,949.3,941.2,68.3,542.5,426.4,390.3
NDUFA4L2,11.2,3.5,22.3,5.0,5.1,48.9
NDUFA5,5.6,1.6,7.0,9.3,26.4,58.9
NDUFA6,168.7,200.1,36.5,221.0,311.4,249.2
NDUFA7,80.1,103.6,3.4,143.1,41.6,8.2
NDUFA8,642.6,745.9,41.3,442.0,287.0,205.7
NDUFA9,394.0,440.3,19.9,502.4,568.8,326.1
NDUFAB1,1357.2,1143.7,88.7,1045.3,1057.9,609.4
NDUFAF1,359.0,423.1,114.0,233.3,167.0,138.3
NDUFAF3,107.7,224.8,11.4,102.5,84.3,111.5
NDUFAF4,292.5,199.1,33.2,275.8,221.9,82.2
NDUFAF5,1.7,1.3,6.1,16.0,2.5,7.9
NDUFAF7,12.9,6.3,21.3,20.2,3.8,18.6
NDUFB1,641.9,739.3,709.8,785.0,557.4,239.3
NDUFB11,382.0,290.8,101.0,316.9,325.7,314.0
NDUFB2,394.5,348.5,19.5,265.5,339.3,248.7
NDUFB2-AS1,9.7,3.3,4.5,17.4,32.9,72.3
NDUFB3,2927.8,1509.5,982.5,349.5,401.1,214.5
NDUFB4,735.6,1187.3,180.4,542.7,446.7,562.8
NDUFB5,1967.7,2102.8,212.9,1119.8,772.0,408.8
NDUFB6,972.8,761.9,695.5,534.1,392.7,223.1
NDUFB7,13.1,13.0,2.2,14.4,11.8,7.8
NDUFB8,61.1,50.0,22.6,122.4,232.1,111.5
NDUFC1,1093.1,754.1,111.4,839.0,593.5,520.8
NDUFC2,1022.5,1342.3,276.4,571.3,888.0,438.7
NDUFC2-KCTD14,3.9,4.2,9.0,4.9,10.5,16.5
NDUFS1,421.1,341.4,58.9,215.6,217.6,80.1
NDUFS2,680.3,749.0,312.4,511.2,549.7,345.2
NDUFS3,328.1,569.4,75.1,377.8,302.0,92.5
NDUFS4,400.3,462.6,32.1,192.5,219.0,128.4
NDUFS5,1981.8,2334.7,61.9,415.0,580.6,905.3
NDUFS6,663.4,656.0,175.2,496.8,485.0,256.1
NDUFS7,235.1,339.4,42.8,181.0,194.8,191.4
NDUFS8,95.0,158.0,1.0,49.5,39.3,79.2
NDUFV1,251.6,277.0,53.5,222.2,325.8,419.3
NDUFV2,932.6,961.9,229.1,594.0,474.3,565.6
NEAT1,1.2,0.7,2.0,0.8,3.1,21.8
NEB,7.4,10.4,35.5,7.1,15.0,42.2
NEBL,1.5,1.1,3.5,14.3,12.8,19.6
NECAB2,2.2,3.0,150.0,4.6,8.0,12.4
NECAB3,68.8,50.2,64.0,53.1,112.9,14.2
NECAP1,105.8,149.5,356.5,189.8,186.4,175.7
NECAP2,466.7,468.4,222.1,431.8,358.9,731.4
NEDD4,14.0,15.4,38.5,10.6,86.4,59.5
NEDD4L,4.2,4.9,18.5,7.0,5.0,46.2
NEDD8,186.9,375.1,157.6,187.8,140.6,164.4
NEDD9,14.5,55.5,234.6,36.1,77.2,85.2
NEFH,105.6,12.7,2.7,4.5,20.4,10.9
NEFL,1.4,4.9,2.4,1.1,1.3,80.1
NEFM,14.0,19.7,1.4,10.5,27.3,13.1
NEIL1,13.3,29.8,96.3,60.2,160.9,70.7
NEIL3,14.2,48.4,21.4,24.5,60.4,65.9
NEK1,1.7,0.9,1.4,1.8,3.8,3.0
NEK11,55.0,52.2,123.0,78.9,88.1,126.7
NEK2,7.3,17.2,6.9,17.8,1.0,18.2
NEK3,17.5,26.5,1.4,21.5,34.0,89.2
NEK4,196.5,132.0,34.8,330.8,217.8,78.7
NEK7,1252.8,797.0,1861.1,1091.5,1570.9,749.5
NEK9,3.1,56.6,20.3,8.6,5.3,148.4
NELFA,51.0,42.8,2.9,61.5,69.3,90.3
NELFB,143.6,173.9,53.5,142.0,269.9,143.4
NELFCD,93.8,169.7,75.1,260.4,294.0,340.5
NELFE,349.8,299.8,162.5,289.1,292.9,220.8
NELL1,2.6,3.7,5.0,5.3,5.9,9.1
NELL2,32.6,35.4,54.9,63.8,249.5,1344.3
NEMF,758.4,440.4,173.5,838.1,587.3,367.8
NENF,12.1,5.8,11.2,23.9,12.7,13.3
NEO1,16.8,25.4,10.5,33.0,126.3,116.4
NES,58.5,104.0,12.1,21.4,31.0,77.2
NET1,248.5,26.8,3.5,61.5,3.0,6.4
NETO2,325.2,124.1,35.5,72.9,17.8,70.7
