Gene Name,tumor-mcf7,cafs-hs,normal_breast,lymphocytes
MTCO1P55,0,0,0,0
MTND2P5,0,0,0,0
MTND1P3,0,0,0,0
MYL6P4,0,0,0,0
PRSS37,0,0,1,0
OR9A3P,0,0,0,0
OR9A1P,0,0,2,0
MGAM,0,141,14,24
OR9N1P,0,0,0,0
OR9A4,0,0,0,0
CLEC5A,0,11,1,0
TAS2R38,0,0,0,0
MGAM2,0,0,0,0
MOXD2P,0,0,0,0
PRSS58,0,0,0,0
TRY2P,0,0,0,0
AC245088.1,0,0,0,0
PRSS3P3,0,0,0,0
TRBV1,0,0,0,0
TRBV2,0,0,0,0
TRBV3-1,0,0,0,0
TRBV4-1,0,0,0,0
TRBV5-1,0,0,0,0
TRBV6-1,0,0,0,0
TRBV7-1,0,0,0,0
TRBV4-2,0,0,0,0
AC245088.3,0,0,0,0
AC245088.2,0,0,0,0
TRBV8-1,0,0,0,0
TRBV5-2,0,0,0,0
TRBV6-4,0,0,0,1
TRBV7-3,1,1,1,0
TRBV8-2,0,0,1,0
TRBV5-3,0,0,2,0
TRBV9,0,1,0,0
TRBV10-1,0,0,0,0
TRBV11-1,0,0,0,0
TRBV12-1,0,0,0,0
TRBV10-2,0,0,0,0
TRBV11-2,0,0,0,0
TRBV12-2,0,0,0,0
TRBV6-5,0,0,0,0
TRBV7-4,0,0,0,0
TRBV5-4,0,0,0,0
TRBV6-6,0,0,0,0
TRBV7-5,0,0,0,0
TRBV5-5,0,0,0,0
TRBV6-7,0,0,0,0
TRBV7-6,0,0,0,0
TRBV5-6,0,0,0,0
TRBV6-8,0,0,0,0
TRBV7-7,0,0,0,0
TRBV5-7,0,0,0,0
TRBV7-9,0,0,0,0
AC244196.3,0,0,0,0
TRBV10-3,0,0,0,0
AC244196.4,0,0,0,0
AC244196.1,0,0,0,0
AC244196.5,0,0,0,0
AC244196.2,0,0,0,0
AC244472.2,0,0,0,0
AC244472.4,0,0,0,0
AC244472.1,0,0,0,0
AC244472.5,0,0,0,0
AC244472.3,0,0,0,0
TRBV19,0,0,0,0
TRBV20-1,0,0,0,0
TRBV21-1,0,0,0,0
TRBV22-1,0,0,0,0
TRBV23-1,0,0,0,0
TRBV24-1,0,0,0,0
MTRNR2L6,0,0,0,0
TRBV25-1,0,0,0,0
TRBVA,0,0,0,0
TRBV26,0,0,0,0
TRBVB,0,0,0,0
TRBV27,0,0,0,0
TRBV28,0,0,0,0
PGBD4P1,0,0,0,0
TRBV29-1,0,0,0,0
PRSS1,2,0,4,1
PRSS2,3,0,2,2
PRSS3P1,0,0,0,0
WBP1LP1,0,0,0,0
AC245427.8,0,0,0,0
AC245427.6,0,0,0,0
AC245427.7,0,0,0,0
AC245427.4,0,0,0,0
AC245427.3,0,0,0,0
AC245427.5,0,0,0,0
AC245427.9,0,0,0,0
AC245427.1,0,0,1,1
TRBJ2-1,0,0,0,0
TRBJ2-2,0,0,3,0
TRBJ2-2P,0,0,0,0
TRBJ2-3,0,0,0,0
TRBJ2-4,0,0,0,0
TRBJ2-5,0,0,0,0
TRBJ2-6,0,0,0,0
TRBJ2-7,0,0,1,0
TRBC2,0,0,52,31
TRBV30,0,0,0,0
EPHB6,31,8,37,28
TRPV6,3,0,5,3
AC245427.2,0,0,0,0
TRPV5,0,0,0,0
C7orf34,0,0,0,0
KEL,1,1,0,0
OR9A2,0,0,0,0
OR9P1P,0,0,0,0
OR6V1,0,0,0,0
OR6W1P,0,0,0,0
PIP,1,0,0,1
TAS2R39,0,0,0,0
AC073342.2,0,0,0,0
TAS2R40,0,0,0,0
AC073342.3,0,0,0,0
GSTK1,2060,1130,2267,1674
AC073342.1,0,0,2,0
TMEM139,22,0,38,30
CASP2,2049,772,2323,1688
RN7SL535P,4,1,5,4
RN7SL481P,3,1,3,1
HINT1P1,2,1,2,0
CLCN1,0,1,0,1
FAM131B,9,51,16,8
AC093673.2,0,0,0,0
AC093673.1,99,86,111,101
ZYX,3029,4973,3898,2989
MIR6892,3,0,2,0
EPHA1,1284,19,1244,913
EPHA1-AS1,0,4,1,5
TAS2R62P,0,0,0,0
TAS2R60,0,0,1,0
TAS2R41,0,0,0,0
OR2R1P,0,0,0,0
OR10AC1,0,11,1,1
AC073264.1,0,0,0,0
PAICSP5,0,0,0,0
CTAGE15,0,1,0,0
RNU6-162P,0,0,0,0
AC073264.2,0,0,0,0
TCAF1P1,64,23,62,42
TCAF2,56,107,68,47
AC073264.4,5,0,1,2
AC073264.3,0,0,0,0
RNU6-267P,0,0,0,0
CTAGE6,0,1,0,0
AC099548.2,0,1,2,3
PAICSP6,0,0,0,0
AC099548.1,0,0,0,0
TCAF2P1,0,0,0,0
TCAF1,1032,471,1155,822
OR2F2,0,0,1,0
OR2F1,0,0,0,0
AC004853.1,0,0,0,0
AC004853.2,0,0,0,0
SLC16A1P1,0,0,0,0
OR6B1,0,0,0,0
OR2A5,0,0,0,0
OR2A25,0,0,0,0
OR2A41P,0,0,0,0
OR2A12,0,0,0,1
OR2A2,0,0,0,0
OR2A15P,0,0,0,0
OR2A14,0,0,0,0
AC091768.1,0,0,0,0
OR2A3P,0,1,0,0
OR2AO1P,0,0,0,0
CTAGE4,3,3,3,1
ARHGEF35,149,21,150,103
AC004889.1,4,5,4,2
OR2A42,0,1,0,0
OR2A20P,6,3,2,0
AC074386.1,0,3,0,0
OR2A7,2,3,4,2
CTAGE8,1,0,1,0
ARHGEF34P,43,17,39,38
OR2A9P,4,1,3,2
OR2A1-AS1,2,0,1,0
OR2A1,1,0,1,0
ARHGEF5,400,162,396,308
NOBOX,0,0,0,0
AC004534.1,0,0,2,1
RNU6ATAC40P,0,0,0,0
TPK1,173,4,173,126
EEF1A1P10,0,0,2,2
RN7SKP174,0,0,0,0
EI24P4,0,0,0,0
AC073310.1,0,0,0,0
RPL7P59,0,1,0,0
AC004911.1,1,0,1,1
AC073055.1,0,0,0,0
AC006007.1,0,0,0,0
AC073308.1,0,0,0,0
CNTNAP2,5,0,8,6
AC006004.1,0,0,0,0
DUTP3,0,0,0,0
RANP2,0,0,0,0
MIR548F4,0,0,0,0
AC005518.1,0,0,0,0
AC005518.2,0,0,0,0
RNU6-1184P,0,0,0,0
RNA5SP249,0,0,0,0
RN7SL456P,0,0,0,0
RN7SL72P,0,0,0,0
AC083849.1,0,0,0,0
AC006974.1,0,0,0,0
AC006974.2,0,0,0,0
AC005229.2,0,0,0,0
C7orf33,0,0,0,0
AC005229.1,0,0,0,1
AC005229.3,0,0,0,0
AC005229.4,99,15,123,54
CUL1,2819,1510,3272,2284
EZH2,2821,435,3221,2268
RNU7-20P,3,0,5,2
RN7SL569P,1,0,0,1
RNY4,0,0,0,0
RNY3,0,0,0,0
RNY1,0,1,0,0
GHET1,43,8,56,33
PDIA4,8047,4796,9243,6866
RNU6-650P,0,0,0,0
COX6B1P1,0,0,0,0
ZNF786,648,74,739,523
ZNF425,240,17,269,199
RN7SL521P,6,0,6,1
ZNF398,848,231,884,690
AC004890.1,9,5,9,3
ZNF282,1514,724,1784,1369
ZNF212,456,191,525,349
ZNF783,808,135,815,592
AC004890.3,7,1,9,7
AC004890.2,143,25,151,109
AC004941.2,0,0,0,0
NPM1P12,1,1,1,0
AC004941.1,0,0,0,1
AC073314.1,0,1,2,1
ZNF777,754,324,801,608
ZNF746,843,306,1014,778
ZNF767P,317,93,295,234
KRBA1,155,140,233,182
ZNF467,1366,39,1378,1106
SSPO,390,3,399,278
ZNF862,484,56,533,327
AC004877.2,8,5,9,9
AC004877.1,1,0,6,0
ATP6V0E2-AS1,43,0,37,38
ATP6V0E2,1415,8,1388,1041
AC093458.1,0,0,0,0
AC093458.2,1,0,0,0
AC092681.3,0,0,0,0
AC092681.1,1,0,2,0
AC092681.2,0,0,0,1
AC092666.1,0,0,0,0
AC092666.2,0,0,0,0
ACTR3C,99,0,91,53
LRRC61,340,0,360,291
ZBED6CL,185,0,204,125
RARRES2,14,0,17,11
AC005586.2,3,0,3,3
AC005586.1,63,3,74,39
REPIN1,5785,186,6562,4648
AC073111.3,0,0,0,0
AC073111.4,0,0,0,0
ZNF775,54,36,94,76
AC073111.1,0,1,4,1
AC073111.5,58,55,117,88
LINC00996,0,0,2,1
GIMAP8,0,0,2,0
AC073111.2,0,0,0,0
STRADBP1,0,0,0,0
GIMAP7,2,0,0,1
ALDH7A1P3,0,0,0,0
GIMAP4,0,0,1,0
AC069304.3,0,0,0,0
AC069304.1,0,0,0,0
GIMAP6,0,0,1,0
AC069304.2,0,0,0,0
GIMAP2,6,5,12,3
GIMAP1,0,0,1,0
GIMAP1-GIMAP5,0,0,0,0
GIMAP5,0,0,0,0
GIMAP3P,0,0,0,0
BET1P1,0,0,0,0
TMEM176B,7,0,3,3
TMEM176A,0,0,0,0
AOC1,21,0,9,5
KCNH2,323,0,504,295
NOS3,11,0,7,15
ATG9B,22,0,23,20
ABCB8,1634,538,1920,1284
AC010973.1,5,2,9,6
ASIC3,118,9,115,88
CDK5,836,181,911,629
SLC4A2,6784,1477,6907,5198
AC010973.2,23,3,30,18
FASTK,2911,855,3028,2233
TMUB1,1872,555,2024,1557
AGAP3,3004,1154,3147,2423
GBX1,0,0,0,0
ASB10,0,0,0,0
IQCA1L,0,0,0,1
ABCF2,2633,1775,3026,2313
CHPF2,1919,1164,2311,1740
MIR671,0,0,0,0
SMARCD3,349,48,500,337
AC021097.1,0,0,0,0
AC005486.1,0,0,0,0
NUB1,889,893,1305,929
WDR86,3,0,2,2
WDR86-AS1,0,0,0,0
AC005996.2,0,0,0,0
CRYGN,0,0,1,0
MIR3907,0,0,0,0
RN7SL76P,0,0,0,0
RHEB,1579,762,1808,1263
AC005996.1,0,0,3,2
PRKAG2,713,717,735,591
AC093583.1,0,0,1,0
PRKAG2-AS1,97,2,84,58
RNU6-604P,0,0,0,0
AC074257.1,0,0,0,0
GALNTL5,0,0,0,0
GALNT11,1243,495,1294,935
AC006017.1,2,0,1,3
YBX1P4,1,0,2,1
KMT2C,3273,854,4000,2759
AC104692.2,0,1,0,0
AC104692.1,0,8,3,5
SEPT7P6,0,3,0,0
FABP5P3,1,0,0,0
CCT8L1P,0,0,0,0
LINC01003,423,9,511,366
AC104843.2,0,0,0,0
RNA5SP250,0,0,0,0
AC104843.1,0,0,0,1
XRCC2,1050,342,1217,860
ATP5F1P3,0,0,0,0
RN7SL845P,0,0,0,1
ACTR3B,285,39,288,243
AC079809.1,0,0,0,0
LINC01287,0,1,1,2
PAXBP1P1,0,0,0,0
DPP6,0,0,1,1
AC005588.1,0,0,0,0
AC006019.3,0,0,0,0
AC006019.1,0,0,0,0
AC006019.2,0,0,0,0
AC073336.1,0,0,0,0
PAXIP1-AS2,67,59,106,74
PAXIP1,1270,341,1352,986
AC093726.1,24,33,32,20
AC093726.2,1,3,5,2
PAXIP1-AS1,284,50,322,218
HTR5A-AS1,0,0,0,0
HTR5A,0,0,0,0
AC093726.3,0,0,0,0
AC092628.2,0,0,0,0
AC092628.1,0,0,0,0
RN7SKP280,0,0,0,0
AC099552.1,0,3,0,0
AC099552.3,0,0,0,0
AC099552.4,0,1,0,1
AC099552.2,0,0,0,0
AC144652.1,197,11,208,162
INSIG1,7377,536,7585,5628
BLACE,0,0,2,0
AC008060.1,0,0,0,0
AC008060.4,0,0,0,0
AC008060.3,0,0,0,0
EN2,123,0,158,96
CNPY1,0,0,0,0
AC009403.2,7,0,11,5
AC008060.2,0,0,0,0
AC009403.1,59,17,74,48
RBM33,1865,970,2410,1664
SHH,1882,1,1962,1412
AC021218.1,5,0,1,3
AC093813.1,0,0,0,0
AC073133.1,2,0,1,0
AC073133.2,5,0,2,4
LINC01006,691,27,781,549
LINC00244,0,0,0,0
AC005534.2,3,0,1,1
RNF32,325,6,363,251
AC005534.1,4,0,8,2
LMBR1,8639,1204,9167,6651
RNU4-31P,0,0,0,0
AC006357.1,0,0,0,0
NOM1,1400,730,1505,1040
MNX1,474,15,519,380
MNX1-AS2,16,0,14,11
MNX1-AS1,140,17,139,102
AC006967.2,0,0,0,0
AC006967.1,0,0,0,0
AC006967.3,0,0,0,0
UBE3C,7107,3601,7721,5645
RPS27AP12,2,0,1,1
AC004898.1,3,1,2,2
AC004975.1,2,1,2,2
AC004975.2,0,0,2,3
DNAJB6,3439,1407,3606,2627
AC006372.3,4,0,4,4
AC006372.1,0,0,0,0
AC006372.2,1,0,3,0
AC006372.4,1,0,0,0
PTPRN2,119,151,138,99
MIR153-2,0,0,0,0
AC005481.1,0,0,0,0
AC006003.1,0,0,0,0
AC011899.2,0,4,0,0
AC011899.3,0,0,0,0
AC011899.1,0,0,0,0
MIR595,0,0,0,0
AC078942.1,2,0,3,2
LINC01022,0,0,0,1
MIR5707,0,0,0,1
THAP5P1,0,0,3,1
NCAPG2,6743,1712,7078,5018
AC019084.1,0,0,0,0
ESYT2,4806,3777,5452,4158
WDR60,634,309,726,474
LINC00689,34,0,33,28
VIPR2,78,1,86,57
PIP5K1P2,0,0,0,3
AL954722.1,0,0,0,0
PLCXD1,816,228,1392,895
GTPBP6,2231,703,2393,1783
LINC00685,6,0,3,6
PPP2R3B,216,106,245,155
AL732314.6,0,0,0,1
AL732314.4,0,0,0,0
FABP5P13,0,0,0,0
KRT18P53,0,0,0,0
SHOX,0,0,0,0
AL672277.1,2,0,0,2
RPL14P5,0,0,0,0
CRLF2,0,0,3,0
CSF2RA,1,0,3,1
MIR3690,0,0,0,0
RNA5SP498,0,0,0,0
IL3RA,16,11,20,16
SLC25A6,11004,6548,12322,9227
LINC00106,23,10,35,28
ASMTL-AS1,41,18,58,31
ASMTL,1565,622,1654,1218
P2RY8,1,0,80,44
AKAP17A,1427,991,1668,1228
ASMT,1,0,1,0
AL683807.1,0,0,0,0
AL683807.2,0,0,0,0
DHRSX,379,140,405,295
DHRSX-IT1,3,3,0,2
ZBED1,874,756,973,719
MIR6089,0,0,0,0
CD99P1,66,38,94,55
LINC00102,1,1,0,1
CD99,2070,1508,2523,1851
XG,53,0,94,69
GYG2,384,0,370,275
GYG2-AS1,0,0,0,0
ARSD,1731,104,1774,1272
ARSD-AS1,0,0,0,0
ARSE,0,0,0,0
ARSH,0,0,1,3
ARSF,0,0,0,0
RN7SL578P,0,0,0,0
AC112653.1,0,0,0,0
LINC01546,0,5,0,0
MXRA5,13,0,34,21
ASS1P4,0,0,0,0
SNORA48B,0,0,0,0
RNU6-114P,0,0,0,0
PRKX,783,374,845,601
RNU6-146P,0,0,0,0
PRKX-AS1,0,0,0,1
AC007685.1,0,0,0,0
BX890604.1,169,143,189,165
FAM239A,6,45,7,7
FAM239B,15,0,18,8
FAM239C,1,0,3,4
BX890604.2,0,0,0,0
AC074035.1,0,0,0,0
MTND6P12,0,0,0,0
MTCYBP12,0,0,0,0
AC112656.1,0,1,0,1
AC110995.1,0,0,0,0
NLGN4X,0,0,1,0
MIR4770,0,0,0,0
AC078991.1,1,0,0,0
VCX3A,0,0,0,1
AC097347.1,2,0,0,0
RPS27AP17,0,0,0,0
PUDP,864,378,932,653
AC073583.1,0,0,0,0
MIR4767,2,4,3,1
STS,282,185,683,396
AC120338.1,0,0,0,0
VCX,0,0,2,1
AC005296.1,0,0,0,0
PNPLA4,128,177,152,130
AC078960.1,1,0,0,0
MIR651,0,0,0,0
VCX2,0,0,0,0
VCX3B,0,0,0,0
ANOS1,46,13,50,42
DRAXINP1,0,0,0,0
FAM9A,0,0,0,0
AC003685.2,0,0,0,0
AC003685.1,0,0,0,0
AC074281.1,0,0,0,0
FAM9B,0,0,3,0
RNA5SP499,0,0,0,0
AC119618.1,0,0,0,0
AC003684.1,0,0,0,0
AC073488.1,0,0,0,0
AC073488.7,0,0,0,0
AC073488.9,0,0,0,0
AC073488.8,0,0,0,0
AC073488.10,0,0,0,0
AC073488.5,0,0,0,0
AC073488.11,0,0,0,0
AC073488.4,0,0,0,0
AC073488.3,0,0,0,0
AC073488.2,0,0,0,0
AC073488.6,0,0,0,0
TBL1X,2483,17,2938,1948
GPR143,149,14,161,131
SHROOM2,1045,115,990,733
EIF5P1,14,5,16,13
HMGN1P33,0,0,0,0
CLDN34,1,0,3,1
WWC3,1707,452,1893,1389
WWC3-AS1,0,0,1,1
CLCN4,42,70,42,33
AC003666.1,0,0,0,0
MID1,56,582,155,141
RNU6-800P,0,0,0,0
AC073529.1,7,7,26,12
HCCS,648,398,741,486
ARHGAP6,0,1,6,1
AC004467.1,0,0,0,0
AMELX,0,0,0,0
MIR548AX,0,0,0,0
AC002366.1,0,0,0,0
AC004554.2,1,0,1,1
AC004554.1,0,0,0,0
MSL3,325,600,483,339
FRMPD4,0,101,12,5
FRMPD4-AS1,0,0,0,0
RPL17P49,0,0,0,0
AC119619.1,0,0,0,0
RN7SKP290,0,0,0,0
PRPS2,1102,1186,1267,960
PSMA6P2,2,0,0,1
MRPL35P4,0,0,0,0
TLR7,0,0,17,4
TLR8-AS1,0,0,0,1
TLR8,0,0,0,0
TMSB4X,18096,4480,18578,13425
FAM9C,0,1,0,0
AC079171.1,0,0,1,0
LINC02154,0,4,1,1
GS1-600G8.3,0,0,0,0
ATXN3L,0,0,0,0
AC004674.1,0,0,0,0
LINC01203,0,0,0,0
AC135371.1,0,0,0,0
GPX1P1,0,253,26,30
EGFL6,0,1,1,0
RPL30P15,0,0,0,0
MIR6086,0,0,0,0
RN7SKP20,0,0,0,0
TCEANC,63,31,83,44
RAB9A,506,506,567,396
TRAPPC2,435,241,481,335
OFD1,800,542,930,698
GPM6B,24,30,44,28
AC003035.2,0,0,0,0
AC003035.1,0,0,0,0
GEMIN8,183,275,235,190
AC002524.1,1,0,0,2
GLRA2,0,0,0,0
NPM1P9,6,0,8,4
FANCB,181,178,206,152
MOSPD2,415,422,467,377
TPT1P14,0,0,0,0
AC112498.1,0,0,0,0
ASB9,43,22,42,45
ASB11,0,0,0,0
PIGA,370,278,450,295
VEGFD,0,2,2,0
PIR,566,337,578,434
BMX,0,2,0,0
ACE2,4,0,3,5
GS1-594A7.3,1,0,0,1
TMEM27,20,8,16,6
AC003669.1,0,0,0,0
CA5BP1,147,112,219,135
CA5B,286,99,331,222
AC112497.1,25,13,24,12
SNORA7,1,0,0,0
INE2,0,0,0,0
ZRSR2,240,192,309,241
AP1S2,284,407,390,295
RNU5F-7P,0,0,0,0
SETP15,0,0,0,0
GRPR,4,1,1,3
AC078993.1,0,1,0,0
MAGEB17,0,0,0,0
RPL6P30,0,0,0,1
AC073909.1,0,0,0,0
RN7SL658P,0,0,0,0
CTPS2,1001,490,1066,819
MIR548AM,0,0,0,0
S100G,0,0,0,0
SYAP1,3512,1995,3710,2846
RNU7-56P,0,0,0,0
TXLNG,1111,1208,1295,992
RPL12P49,0,0,0,0
RBBP7,5133,3113,5852,4225
RNU4-6P,0,0,0,0
AL929302.1,0,0,0,0
REPS2,346,83,378,282
SNORA16,0,0,0,0
CBX1P2,1,0,1,1
CBX1P4,0,0,0,1
NHS,221,301,257,196
MIR4768,0,0,0,0
Z93022.1,0,0,0,0
NHS-AS1,0,0,0,0
Z93242.1,0,0,0,0
SCML1,332,308,367,277
Z93242.2,0,0,0,0
RAI2,30,0,37,31
Z93929.2,0,0,0,0
Z93929.1,0,0,0,0
LINC01456,1,0,3,0
BEND2,0,0,0,0
SCML2,146,54,225,150
TMSB10P2,0,0,0,0
CDKL5,354,253,416,301
GJA6P,0,0,0,0
RS1,0,0,0,0
PPEF1,2,2,2,3
PPEF1-AS1,0,0,0,0
AL096700.1,0,0,1,0
HAUS1P2,1,1,2,1
PHKA2-AS1,4,3,4,3
PHKA2,719,517,862,603
RN7SL48P,0,0,0,0
ADGRG2,26,120,44,31
PDHA1,1655,1206,1934,1419
MAP3K15,5,0,0,1
EIF5P2,0,0,0,0
SH3KBP1,384,2879,1012,768
BCLAF3,200,139,228,161
MAP7D2,5,1,11,6
MIR23C,0,0,0,0
EIF1AX,1212,1867,1524,1149
snoU2-30,1,0,1,0
EIF1AX-AS1,0,4,5,0
RPS6KA3,1509,1402,1834,1378
AL928596.1,0,0,0,0
AL807740.1,0,0,0,0
RN7SKP183,0,0,0,0
AL807742.1,0,0,0,0
BX088723.1,0,0,0,0
RNU6-133P,0,0,0,0
CNKSR2,0,0,1,0
RARRES2P3,0,0,0,0
KLHL34,0,0,0,0
SMPX,0,0,0,0
MBTPS2,669,609,974,639
U73479.1,0,0,0,0
YY2,34,17,25,19
U73023.1,0,0,0,0
SMS,2677,3972,3236,2438
PHEX,29,122,33,33
PHEX-AS1,1,0,0,0
PTCHD1-AS,0,0,0,0
ZNF645,1,0,0,0
AC092832.2,0,0,0,0
METTL15P3,0,0,0,0
RNU6-266P,0,0,0,0
AC092832.1,0,0,0,0
AC004470.1,0,0,0,0
DDX53,0,0,0,0
FAM3C2,26,18,32,21
PDCL2P1,0,0,0,0
PTCHD1,0,0,0,0
AC073910.1,0,0,0,0
PRDX4,1371,1065,1564,1170
ACOT9,446,1233,687,513
AC131011.1,0,1,0,1
SAT1,383,1837,864,641
APOO,213,118,228,144
RPL9P7,0,0,0,0
CXorf58,0,1,1,0
KLHL15,146,257,228,146
EIF2S3,3324,6496,4627,3492
ZFX-AS1,0,2,4,0
ZFX,779,874,1055,737
SUPT20HL2,0,0,0,1
SUPT20HL1,0,0,1,0
AC004552.1,2,1,1,4
PDK3,679,103,678,456
SNRPEP9,0,0,0,0
AC004656.1,331,65,357,255
PCYT1B,1,0,0,1
AC079168.1,0,0,0,0
PCYT1B-AS1,0,0,0,0
AC079168.2,0,0,0,0
POLA1,977,582,1287,889
SCARNA23,0,0,0,0
EEF1B2P3,15,17,23,13
ARX,39,0,45,28
AC002504.1,0,0,0,0
RN7SL91P,0,0,0,0
AC112778.1,0,0,1,0
RPP40P1,0,0,0,0
AC097263.1,25,16,28,15
AC121342.1,0,0,1,1
MAGEB18,0,0,0,0
AC129850.1,0,0,0,0
MAGEB6P1,0,0,0,0
AC005297.1,0,0,0,0
MAGEB6,2,0,1,0
AC005297.2,0,0,0,0
MAGEB5,0,0,0,0
AC005297.3,0,0,0,0
AC073614.1,0,0,0,0
AC079178.2,0,0,0,0
AC079178.1,0,0,0,0
VENTXP1,0,0,0,0
AC005345.1,0,0,0,0
RPL7P58,1,1,0,0
HMGA1P1,0,0,0,0
RNU1-142P,0,0,0,0
AC112493.1,0,0,1,0
AC107419.1,0,0,1,0
AC097262.1,0,0,0,0
PTP4A1P5,0,0,0,0
PPP4R3CP,4,0,1,2
AC006210.1,0,0,0,0
AC006210.2,12,3,6,4
DCAF8L2,0,0,0,1
MAGEB10,0,0,0,0
AC107613.1,0,0,0,0
AC112492.2,0,0,0,0
AC112492.4,0,0,0,0
AC112492.3,0,0,0,0
AC112492.5,0,0,0,0
AC112492.1,0,0,0,0
DCAF8L1,0,0,2,2
MIR6134,0,0,0,0
AC112495.1,0,0,0,0
IL1RAPL1,0,0,2,0
AC002367.1,0,0,0,0
AC003659.1,0,0,0,0
RNA5SP500,0,0,0,0
AL031575.1,0,0,0,0
MIR4666B,0,0,0,0
PIGFP3,0,0,0,0
AC005185.1,0,0,0,0
MAGEB2,0,0,0,0
MAGEB3,0,0,0,0
MAGEB4,0,0,0,0
MAGEB1,0,0,0,0
PLCE1P1,0,0,0,0
NR0B1,0,0,1,1
CXorf21,0,0,8,3
CKS1BP6,0,0,0,0
FTLP2,0,1,0,1
GK,67,267,142,116
GK-IT1,0,0,0,0
AC112496.1,1,9,4,2
GK-AS1,1,6,2,3
AC108359.1,0,0,0,0
TAB3,831,1363,1051,788
TAB3-AS1,0,0,0,0
TAB3-AS2,0,0,0,0
FTHL17,0,0,0,0
DMD,73,364,141,90
RNU6-894P,0,0,0,0
RNA5SP501,0,0,0,0
NPM1P8,0,0,1,0
MIR3915,0,0,0,0
MIR548F5,0,0,0,0
DMD-AS3,0,0,0,0
TBCAP1,5,1,3,4
AL050305.1,0,0,0,0
AL591501.1,1,0,1,1
FAM47A,0,0,0,0
FTH1P14,0,0,0,0
AL592043.1,0,0,0,0
AL592043.2,0,0,0,0
AL592504.1,0,0,0,0
TMEM47,6,101,406,211
AL606662.1,0,0,0,0
AL596245.1,0,0,0,0
FAM47B,0,0,0,0
AL596268.1,0,0,0,0
RNU6-1087P,0,0,0,0
SIAH1P1,0,0,0,0
AL161722.1,0,0,0,0
AL161722.3,0,0,0,0
AL161722.2,0,0,0,0
MAGEB16,0,0,0,0
AL590065.1,0,0,0,0
CFAP47,2,0,7,0
RNU6-641P,0,0,0,0
HMGB1P16,2,0,1,4
AL606516.1,0,0,0,0
RPS15AP40,1,0,1,0
AL592156.1,0,0,0,0
AC006924.1,0,0,0,0
BX842568.4,0,0,0,0
BX842568.2,2,0,1,0
BX842568.3,0,0,0,0
FAM47C,0,0,0,0
FTH1P18,0,0,0,0
BX842568.1,0,0,0,0
MOB1AP2,0,0,0,0
PRRG1,278,231,321,259
AF241726.2,0,0,0,0
AC245096.1,0,0,0,0
FTH1P19,0,0,0,0
FTH1P27,0,0,0,0
FAM47DP,0,1,0,0
LANCL3,7,3,10,9
XK,66,0,135,78
CYBB,6,0,217,87
DYNLT3,1512,302,1578,1179
RNU6-49P,0,0,0,0
AL121578.3,105,0,109,82
AL121578.1,0,0,0,0
HYPM,1,0,1,2
AL121578.2,1,0,0,1
SYTL5,3772,0,3906,2796
MIR548AJ2,0,0,0,0
SRPX,19,1471,530,359
AL606748.1,0,0,1,0
RPGR,111,240,143,121
OTC,0,0,0,0
TDGF1P1,0,0,0,0
AF241726.1,0,0,0,0
FTLP16,0,0,0,0
UBTFL11,0,0,0,0
TSPAN7,1,1,6,2
RNU7-7P,0,0,0,0
AF241728.1,0,2,1,1
MID1IP1,877,1033,1288,989
MID1IP1-AS1,12,7,12,15
RNU6-591P,0,0,0,0
AC108879.1,0,0,1,0
LINC01281,0,0,0,0
LINC01282,0,0,0,0
AC091808.1,0,0,0,0
MIR3937,0,0,0,0
RN7SL732P,0,0,0,0
GAPDHP1,36,59,54,46
AC091810.1,0,0,0,0
AL592164.1,0,0,0,0
MIR1587,0,0,0,0
RPS11P7,1,0,0,0
AC092198.1,1,0,1,0
BCOR,1289,585,1531,1062
AC091806.1,0,1,0,0
AC091807.1,0,0,0,1
AC092473.1,0,0,0,0
RNU7-164P,0,0,0,0
ATP6AP2,2385,1848,3018,2150
MPC1L,0,0,0,2
CXorf38,520,355,652,428
MED14,1592,1498,1930,1410
MED14OS,9,5,12,11
AC092474.3,0,0,0,0
AC092474.1,0,0,0,0
AC092474.2,0,0,0,0
MKRN4P,0,0,0,0
SDCBPP3,1,2,1,1
AC092268.1,0,0,0,0
RPS2P55,6,4,5,1
CLIC4P3,1,1,1,0
USP9X,3891,3736,4870,3490
AL109797.1,7,0,2,4
RNA5SP502,0,0,0,0
AL391647.1,0,0,0,0
DDX3X,12820,7924,14632,10802
RN7SL15P,1,0,1,0
NYX,0,0,1,1
Z93015.1,0,0,0,0
CASK,1367,456,1481,1022
CASK-AS1,1,1,1,0
RNU6-1321P,0,0,0,0
AL627402.1,3,2,4,2
RN7SL144P,0,0,0,0
GPR34,0,0,0,2
GPR82,0,0,0,1
AL353691.1,0,0,0,0
AL353691.2,1,0,0,0
RNU6-202P,0,0,0,0
AL133329.1,0,0,0,0
ATP5G2P4,0,1,3,0
RNU6-630P,0,0,0,0
Z92545.1,0,0,0,0
RNU6-1124P,0,0,0,0
Z93403.1,0,0,0,0
AL023875.1,0,0,0,0
PPP1R2P9,0,0,0,0
AL451086.1,0,0,0,0
PINCR,0,0,0,2
IMPDH1P4,0,0,1,0
NANOGP10,0,0,0,0
MAOA,93,5925,649,747
MAOB,169,0,175,99
NDP,0,0,0,0
NDP-AS1,0,0,0,0
AL034370.1,1,0,2,1
EFHC2,3,0,5,6
TATDN2P1,0,0,0,0
