"","Cell","Batch","Group","ExpLibSize","sizeFactor"
"Cell1606","Cell1606","Batch1","Group3",96156.137844438,0.495932011679115
"Cell1607","Cell1607","Batch1","Group1",192175.947098572,0.996658171690732
"Cell1608","Cell1608","Batch1","Group3",55117.4909437996,0.285611901302457
"Cell1609","Cell1609","Batch1","Group3",373614.09699098,1.91700090919583
"Cell1610","Cell1610","Batch1","Group3",128609.864583773,0.663048203767477
"Cell1611","Cell1611","Batch1","Group3",179322.826104294,0.92501857531008
"Cell1612","Cell1612","Batch1","Group3",39756.7559691747,0.207110294325712
"Cell1613","Cell1613","Batch1","Group3",100096.654348582,0.515787604558365
"Cell1614","Cell1614","Batch1","Group3",164553.499518256,0.84212919094318
"Cell1615","Cell1615","Batch1","Group3",248850.232188248,1.27389060128327
"Cell1616","Cell1616","Batch1","Group1",168680.513971487,0.866562886843811
"Cell1617","Cell1617","Batch1","Group2",541395.497033124,2.78163996398346
"Cell1618","Cell1618","Batch1","Group3",94064.8547331484,0.486117381831029
"Cell1619","Cell1619","Batch1","Group2",149820.015361992,0.772958683832486
"Cell1620","Cell1620","Batch1","Group2",143382.616491833,0.738489168836669
"Cell1621","Cell1621","Batch1","Group3",203968.517684827,1.04128696024523
"Cell1622","Cell1622","Batch1","Group2",275188.509908525,1.41032835919239
"Cell1623","Cell1623","Batch1","Group2",775936.467341857,4.00233197937108
"Cell1624","Cell1624","Batch1","Group3",83170.7007262748,0.428834510767991
"Cell1625","Cell1625","Batch1","Group2",116914.09284542,0.603774629480534
"Cell1626","Cell1626","Batch1","Group1",39967.2349089959,0.204836674622958
"Cell1627","Cell1627","Batch1","Group3",131367.3083785,0.675954339138989
"Cell1628","Cell1628","Batch1","Group2",279658.834993933,1.42923232391551
"Cell1629","Cell1629","Batch1","Group1",100863.353617441,0.521445934135353
"Cell1630","Cell1630","Batch1","Group2",155094.509595826,0.796744243799754
"Cell1631","Cell1631","Batch1","Group3",142784.180691039,0.731956370143237
"Cell1632","Cell1632","Batch1","Group1",215362.899514584,1.09328186512178
"Cell1633","Cell1633","Batch1","Group1",308113.090921117,1.56842723150943
"Cell1634","Cell1634","Batch1","Group2",115405.936807719,0.592818045845093
"Cell1635","Cell1635","Batch1","Group3",96690.6164583186,0.493879581223462
"Cell1636","Cell1636","Batch1","Group3",165726.503710456,0.855791484903617
"Cell1637","Cell1637","Batch1","Group3",132838.782159896,0.677353489725299
"Cell1638","Cell1638","Batch1","Group1",381484.82007657,1.96090954671326
"Cell1639","Cell1639","Batch1","Group3",254138.003516603,1.29421429233661
"Cell1640","Cell1640","Batch1","Group1",200158.719962402,1.02956907408489
"Cell1641","Cell1641","Batch1","Group1",176240.105662184,0.911844955267656
"Cell1642","Cell1642","Batch1","Group3",175418.753431791,0.90146963639785
"Cell1643","Cell1643","Batch1","Group3",283108.972814122,1.45012699186254
"Cell1644","Cell1644","Batch1","Group3",136577.799341366,0.698628808934775
"Cell1645","Cell1645","Batch1","Group2",109016.467763637,0.563734231819373
"Cell1646","Cell1646","Batch1","Group3",84693.7858953358,0.429436351277543
"Cell1647","Cell1647","Batch1","Group1",459884.434258828,2.3456913897564
"Cell1648","Cell1648","Batch1","Group1",157035.996793939,0.816841601670021
"Cell1649","Cell1649","Batch1","Group3",151635.771580637,0.780741458968835
"Cell1650","Cell1650","Batch1","Group2",132168.196848912,0.680393555888936
"Cell1651","Cell1651","Batch1","Group3",186496.855231351,0.957821455048676
"Cell1652","Cell1652","Batch1","Group3",302051.260670854,1.55249131784624
"Cell1653","Cell1653","Batch1","Group1",223627.845083489,1.14656789792907
"Cell1654","Cell1654","Batch1","Group2",45094.8205314561,0.23049977122259
"Cell1655","Cell1655","Batch1","Group2",133053.212959062,0.678978973494688
"Cell1656","Cell1656","Batch1","Group3",142661.560444987,0.739034426050451
"Cell1657","Cell1657","Batch1","Group1",815648.715216102,4.18764741695343
"Cell1658","Cell1658","Batch1","Group1",65611.3828761772,0.335456640939745
"Cell1659","Cell1659","Batch1","Group2",490108.635312972,2.51535383015441
"Cell1660","Cell1660","Batch1","Group3",227103.23553273,1.17479267464628
"Cell1661","Cell1661","Batch1","Group1",239171.9681585,1.23630386108413
"Cell1662","Cell1662","Batch1","Group1",127006.126775721,0.652755187873337
"Cell1663","Cell1663","Batch1","Group3",209777.322713366,1.07448592305422
"Cell1664","Cell1664","Batch1","Group1",226871.823725693,1.15976209371541
"Cell1665","Cell1665","Batch1","Group3",100744.831643082,0.517912050117725
"Cell1666","Cell1666","Batch1","Group3",121934.894149365,0.627853393798609
"Cell1667","Cell1667","Batch1","Group1",81390.4691466966,0.415666034661545
"Cell1668","Cell1668","Batch1","Group3",312003.219034217,1.59061817132318
"Cell1669","Cell1669","Batch1","Group3",92020.5407682691,0.476945743980329
"Cell1670","Cell1670","Batch1","Group3",658301.063457623,3.40413337649187
"Cell1671","Cell1671","Batch1","Group1",48377.5599399638,0.251126954498702
"Cell1672","Cell1672","Batch1","Group3",177868.373347455,0.915728626931861
"Cell1673","Cell1673","Batch1","Group1",368804.644877676,1.90478406124551
"Cell1674","Cell1674","Batch1","Group3",351796.944834301,1.81783096745514
"Cell1675","Cell1675","Batch1","Group1",518819.226088128,2.68180131056549
"Cell1676","Cell1676","Batch1","Group1",272554.720420273,1.41248366836763
"Cell1677","Cell1677","Batch1","Group2",221361.770115399,1.14367186197285
"Cell1678","Cell1678","Batch1","Group1",355947.607761932,1.84373582904579
"Cell1679","Cell1679","Batch1","Group1",55338.7519556839,0.282170608132452
"Cell1680","Cell1680","Batch1","Group2",153867.809534227,0.787629189244823
"Cell1681","Cell1681","Batch1","Group3",179376.802230145,0.932400123440061
"Cell1682","Cell1682","Batch1","Group2",121838.472243161,0.628419226756308
"Cell1683","Cell1683","Batch1","Group3",524408.635903971,2.68864274541767
"Cell1684","Cell1684","Batch1","Group2",79142.9906648835,0.406751593609799
"Cell1685","Cell1685","Batch1","Group2",190909.940475039,0.981607015015943
"Cell1686","Cell1686","Batch1","Group3",131114.936483476,0.674354575049495
"Cell1687","Cell1687","Batch1","Group3",305920.77358756,1.5661484678707
"Cell1688","Cell1688","Batch1","Group3",394945.25690518,2.02698854830052
"Cell1689","Cell1689","Batch1","Group2",206160.296855776,1.0601806370964
"Cell1690","Cell1690","Batch1","Group2",229224.629025276,1.17343467554781
"Cell1691","Cell1691","Batch1","Group3",158210.89989888,0.810432257440087
"Cell1692","Cell1692","Batch1","Group2",337330.992312246,1.74196819963566
"Cell1693","Cell1693","Batch1","Group2",156081.656312755,0.798621780432118
"Cell1694","Cell1694","Batch1","Group3",221843.872666539,1.1414959770537
"Cell1695","Cell1695","Batch1","Group3",128067.98056795,0.665090346351172
"Cell1696","Cell1696","Batch1","Group2",41956.4249767684,0.215638940179027
"Cell1697","Cell1697","Batch1","Group2",181920.028863008,0.935579075875132
"Cell1698","Cell1698","Batch1","Group1",166592.345022196,0.848677421444549
"Cell1699","Cell1699","Batch1","Group3",207389.270021143,1.07613198256752
"Cell1700","Cell1700","Batch1","Group3",222825.603115249,1.14311117295113
"Cell1701","Cell1701","Batch1","Group3",191927.154584478,0.994528582195393
"Cell1702","Cell1702","Batch1","Group2",212383.391535479,1.09115741956242
"Cell1703","Cell1703","Batch1","Group2",197322.671978762,1.00615902144409
"Cell1704","Cell1704","Batch1","Group2",45923.0344616567,0.235504820930235
"Cell1705","Cell1705","Batch1","Group3",92235.7718719903,0.47677085015704
"Cell1706","Cell1706","Batch1","Group2",86419.3687381052,0.44254310015224
"Cell1707","Cell1707","Batch1","Group2",38806.0478467035,0.205541393852092
"Cell1708","Cell1708","Batch1","Group2",86641.1076918043,0.450145837529321
"Cell1709","Cell1709","Batch1","Group3",203154.510488331,1.04123552088544
"Cell1710","Cell1710","Batch1","Group2",116880.589299195,0.600899169268228
"Cell1711","Cell1711","Batch1","Group3",170510.670725314,0.883491580150965
"Cell1712","Cell1712","Batch1","Group3",267978.909987214,1.37974765979676
"Cell1713","Cell1713","Batch1","Group2",142563.358455551,0.732203279070233
"Cell1714","Cell1714","Batch1","Group3",843569.123246665,4.29680688236549
"Cell1715","Cell1715","Batch1","Group1",174535.786420152,0.898645615545335
"Cell1716","Cell1716","Batch1","Group1",363785.078272475,1.87706339025425
"Cell1717","Cell1717","Batch1","Group3",277830.466577771,1.43128475437117
"Cell1718","Cell1718","Batch1","Group3",74085.1631203185,0.381875519214966
"Cell1719","Cell1719","Batch1","Group1",227196.69647685,1.16438134822463
"Cell1720","Cell1720","Batch1","Group2",134270.904856634,0.691005495813778
"Cell1721","Cell1721","Batch1","Group3",247356.835958722,1.27127748180589
"Cell1722","Cell1722","Batch1","Group3",173549.689064232,0.890101537884083
"Cell1723","Cell1723","Batch1","Group1",87753.0513572571,0.452280570960639
"Cell1724","Cell1724","Batch1","Group1",88290.8950795332,0.451431821524091
"Cell1725","Cell1725","Batch1","Group3",81815.3410599427,0.417008601952085
"Cell1726","Cell1726","Batch1","Group1",135503.858556376,0.691910828546096
"Cell1727","Cell1727","Batch1","Group1",150754.477526095,0.77226939641129
"Cell1728","Cell1728","Batch1","Group1",205631.711106252,1.05453259539136
"Cell1729","Cell1729","Batch1","Group3",185962.308216882,0.948922445804867
"Cell1730","Cell1730","Batch1","Group3",401993.677778602,2.0624765626202
"Cell1731","Cell1731","Batch1","Group2",198982.097894423,1.01914745979127
"Cell1732","Cell1732","Batch1","Group1",230940.666265322,1.1860013111447
"Cell1733","Cell1733","Batch1","Group2",117890.752904418,0.605189211874781
"Cell1734","Cell1734","Batch1","Group2",249579.050659353,1.28349432975621
"Cell1735","Cell1735","Batch1","Group1",42398.2203111242,0.220505103615237
"Cell1736","Cell1736","Batch1","Group1",150841.94077199,0.779949292828056
"Cell1737","Cell1737","Batch1","Group3",104942.2173345,0.543441404381901
"Cell1738","Cell1738","Batch1","Group3",206837.287754665,1.06660541313427
"Cell1739","Cell1739","Batch1","Group3",525684.100295574,2.71254661591246
"Cell1740","Cell1740","Batch1","Group3",39581.9882552664,0.205129878973766
"Cell1741","Cell1741","Batch1","Group1",335312.164129237,1.71678348908208
"Cell1742","Cell1742","Batch1","Group3",123037.284860836,0.626881189898563
"Cell1743","Cell1743","Batch1","Group3",165535.122588286,0.845848256656055
"Cell1744","Cell1744","Batch1","Group3",279037.068249283,1.43387215416864
"Cell1745","Cell1745","Batch1","Group1",540872.268085677,2.79506049295288
"Cell1746","Cell1746","Batch1","Group2",151419.509801608,0.793873927523427
"Cell1747","Cell1747","Batch1","Group2",114740.91223123,0.594392090254691
"Cell1748","Cell1748","Batch1","Group3",277488.148462586,1.43508612305971
"Cell1749","Cell1749","Batch1","Group2",169594.041781248,0.855745189479805
"Cell1750","Cell1750","Batch1","Group2",61806.173863655,0.31831190232147
"Cell1751","Cell1751","Batch1","Group1",156194.119796473,0.794573502816582
"Cell1752","Cell1752","Batch1","Group1",370610.930728989,1.90581799237731
"Cell1753","Cell1753","Batch1","Group3",112019.763716705,0.578697941582517
"Cell1754","Cell1754","Batch1","Group2",924951.605583323,4.76467357934275
"Cell1755","Cell1755","Batch1","Group3",103802.652716517,0.5340485772841
"Cell1756","Cell1756","Batch1","Group3",51361.9108368605,0.263961074766508
"Cell1757","Cell1757","Batch1","Group2",484595.089258762,2.50100224877278
"Cell1758","Cell1758","Batch1","Group2",104557.59045174,0.53684687845672
"Cell1759","Cell1759","Batch1","Group2",255170.462152934,1.31576738408896
"Cell1760","Cell1760","Batch1","Group3",188409.478535266,0.964194791726756
"Cell1761","Cell1761","Batch1","Group2",116320.985865966,0.593939423888532
"Cell1762","Cell1762","Batch1","Group1",220452.926588826,1.12247884573904
"Cell1763","Cell1763","Batch1","Group3",252085.477699114,1.28800041767388
"Cell1764","Cell1764","Batch1","Group1",281424.259629274,1.45726163106552
"Cell1765","Cell1765","Batch1","Group2",89299.6039853139,0.457666271930736
"Cell1766","Cell1766","Batch1","Group3",100263.386194666,0.509542866279761
"Cell1767","Cell1767","Batch1","Group1",69279.0807183482,0.358537481677879
"Cell1768","Cell1768","Batch1","Group2",162107.088738257,0.835822725432827
"Cell1769","Cell1769","Batch1","Group2",184277.965805515,0.955064305363889
"Cell1770","Cell1770","Batch1","Group3",77219.7352587884,0.39801719031732
"Cell1771","Cell1771","Batch1","Group3",91075.8417060317,0.46782554548942
"Cell1772","Cell1772","Batch1","Group1",154551.409943812,0.797191766229934
"Cell1773","Cell1773","Batch1","Group1",544273.923731823,2.80507573630415
"Cell1774","Cell1774","Batch1","Group2",69779.6595962111,0.363439652665942
"Cell1775","Cell1775","Batch1","Group3",306640.896772401,1.56517626397065
"Cell1776","Cell1776","Batch1","Group3",290232.181233489,1.49736889989441
"Cell1777","Cell1777","Batch1","Group2",177969.600193095,0.913197810430154
"Cell1778","Cell1778","Batch1","Group2",102340.472203646,0.523282319279885
"Cell1779","Cell1779","Batch1","Group3",490147.653727951,2.50855354679007
"Cell1780","Cell1780","Batch1","Group1",120319.906433762,0.616768211763691
"Cell1781","Cell1781","Batch1","Group3",66635.4890472977,0.347323701243484
"Cell1782","Cell1782","Batch1","Group3",91384.675739642,0.466585856918461
"Cell1783","Cell1783","Batch1","Group3",211971.307647929,1.07418757476743
"Cell1784","Cell1784","Batch1","Group2",454730.649911758,2.34293424007162
"Cell1785","Cell1785","Batch1","Group3",580072.019123056,2.96301514660584
"Cell1786","Cell1786","Batch1","Group1",103130.45869494,0.530499261458535
"Cell1787","Cell1787","Batch1","Group1",234943.773081942,1.20683425185998
"Cell1788","Cell1788","Batch1","Group2",181677.909619399,0.927657414467348
"Cell1789","Cell1789","Batch1","Group2",214615.772822511,1.10136813248089
"Cell1790","Cell1790","Batch1","Group2",112874.756036635,0.583440650555229
"Cell1791","Cell1791","Batch1","Group3",126249.233977543,0.655013375768153
"Cell1792","Cell1792","Batch1","Group2",197244.61884739,1.01657549180173
"Cell1793","Cell1793","Batch1","Group2",168226.555272183,0.868229522101033
"Cell1794","Cell1794","Batch1","Group3",150350.736211911,0.776415408810428
"Cell1795","Cell1795","Batch1","Group2",305415.586548271,1.56927598094598
"Cell1796","Cell1796","Batch1","Group1",344574.075141337,1.77802204691304
"Cell1797","Cell1797","Batch1","Group1",104495.336198304,0.535566038397929
"Cell1798","Cell1798","Batch1","Group2",78742.4748789444,0.406715586057945
"Cell1799","Cell1799","Batch1","Group3",87943.8679584808,0.452486328399802
"Cell1800","Cell1800","Batch1","Group1",47399.5503110514,0.243904868384073
"Cell1801","Cell1801","Batch1","Group1",129778.016898088,0.670728100184244
"Cell1802","Cell1802","Batch1","Group3",115391.909882858,0.595343718410821
"Cell1803","Cell1803","Batch1","Group3",87897.0437924967,0.452810396366484
"Cell1804","Cell1804","Batch1","Group3",202457.846419092,1.03659054669633
"Cell1805","Cell1805","Batch1","Group2",152670.97088986,0.782871048464174
"Cell1806","Cell1806","Batch1","Group2",131819.846425007,0.675265051717792
"Cell1807","Cell1807","Batch1","Group2",219040.860158685,1.12781825128532
"Cell1808","Cell1808","Batch1","Group2",166391.678129184,0.862638063691773
"Cell1809","Cell1809","Batch1","Group3",132355.617372066,0.684791621151049
"Cell1810","Cell1810","Batch1","Group3",127585.686810366,0.657652214925421
"Cell1811","Cell1811","Batch1","Group3",235966.428172812,1.20809966011083
"Cell1812","Cell1812","Batch1","Group2",274879.236228669,1.40296224287035
"Cell1813","Cell1813","Batch1","Group2",142402.671504901,0.722995633667679
"Cell1814","Cell1814","Batch1","Group2",158994.532080314,0.812479543959761
"Cell1815","Cell1815","Batch1","Group3",176873.8388625,0.894463595594343
"Cell1816","Cell1816","Batch1","Group2",119646.068616788,0.615199311290071
"Cell1817","Cell1817","Batch1","Group2",277625.527477301,1.43381557087287
"Cell1818","Cell1818","Batch1","Group1",139676.3417645,0.718803325844729
"Cell1819","Cell1819","Batch1","Group1",101152.669706178,0.515988218061549
"Cell1820","Cell1820","Batch1","Group3",273007.279448569,1.39916601811779
"Cell1821","Cell1821","Batch1","Group1",214134.118989898,1.09531371983351
"Cell1822","Cell1822","Batch1","Group1",183149.950326676,0.935949439265626
"Cell1823","Cell1823","Batch1","Group3",218450.75635232,1.11904269650501
"Cell1824","Cell1824","Batch1","Group3",101806.233927044,0.520998411705173
"Cell1825","Cell1825","Batch1","Group2",458673.740699332,2.33596420681996
"Cell1826","Cell1826","Batch1","Group1",225809.920526353,1.15444326391304
"Cell1827","Cell1827","Batch1","Group3",162455.938218338,0.83121890273155
"Cell1828","Cell1828","Batch1","Group2",135265.322082313,0.694781144822423
"Cell1829","Cell1829","Batch1","Group2",139486.304718732,0.721956558599905
"Cell1830","Cell1830","Batch1","Group1",289569.361221135,1.47991552511739
"Cell1831","Cell1831","Batch1","Group1",127772.303252704,0.655419746710501
"Cell1832","Cell1832","Batch1","Group3",107255.504400583,0.550560611776948
"Cell1833","Cell1833","Batch1","Group1",284285.461929407,1.46570283000719
"Cell1834","Cell1834","Batch1","Group1",112703.812388032,0.576995298773442
"Cell1835","Cell1835","Batch1","Group2",290049.115476335,1.49080523758511
"Cell1836","Cell1836","Batch1","Group3",156532.404952388,0.810360242336379
"Cell1837","Cell1837","Batch1","Group3",398115.275340625,2.03588241360835
"Cell1838","Cell1838","Batch1","Group3",280101.167945426,1.44488532109986
"Cell1839","Cell1839","Batch1","Group1",163865.623933299,0.849310125569976
"Cell1840","Cell1840","Batch1","Group3",76572.9530565943,0.391432952264098
"Cell1841","Cell1841","Batch1","Group3",60116.8059669109,0.312206050314302
"Cell1842","Cell1842","Batch1","Group1",93620.6212001875,0.481966225495912
"Cell1843","Cell1843","Batch1","Group1",180542.908680988,0.927569967555704
"Cell1844","Cell1844","Batch1","Group1",210466.098210319,1.08199606958368
"Cell1845","Cell1845","Batch1","Group1",101795.800110018,0.525123848360395
"Cell1846","Cell1846","Batch1","Group3",257775.901932949,1.32391023474384
"Cell1847","Cell1847","Batch1","Group3",89618.1740010308,0.454991425221614
"Cell1848","Cell1848","Batch1","Group3",212319.658814382,1.09327157724982
"Cell1849","Cell1849","Batch1","Group2",65450.6825325842,0.332709779126916
"Cell1850","Cell1850","Batch1","Group2",165348.228215362,0.842941932827874
"Cell1851","Cell1851","Batch1","Group2",180203.089371186,0.930466003511926
"Cell1852","Cell1852","Batch1","Group1",93098.8123677614,0.475381987442689
"Cell1853","Cell1853","Batch1","Group2",133880.309744318,0.688922201742251
"Cell1854","Cell1854","Batch1","Group1",320082.933118636,1.65085880557419
"Cell1855","Cell1855","Batch1","Group2",96851.8810481206,0.494980383522985
"Cell1856","Cell1856","Batch1","Group3",94090.8497903984,0.485140033995004
"Cell1857","Cell1857","Batch1","Group1",299602.461491925,1.5376973579704
"Cell1858","Cell1858","Batch1","Group3",205470.782716115,1.05687823019783
"Cell1859","Cell1859","Batch1","Group2",142591.997782706,0.726709555444575
"Cell1860","Cell1860","Batch1","Group1",131831.726866222,0.680527298224392
"Cell1861","Cell1861","Batch1","Group2",140291.785598823,0.727383411057835
"Cell1862","Cell1862","Batch1","Group1",311393.141555668,1.62330274053426
"Cell1863","Cell1863","Batch1","Group2",245769.996492841,1.25290334248862
"Cell1864","Cell1864","Batch1","Group2",219674.294564206,1.13237577856279
"Cell1865","Cell1865","Batch1","Group2",142514.706528108,0.741472651704536
"Cell1866","Cell1866","Batch1","Group2",76710.3785210509,0.395172593720889
"Cell1867","Cell1867","Batch1","Group3",233601.602218086,1.1959856908801
"Cell1868","Cell1868","Batch1","Group1",294092.781410768,1.51302189707875
"Cell1869","Cell1869","Batch1","Group3",75125.5230483213,0.384601805283879
"Cell1870","Cell1870","Batch1","Group3",71899.2182575231,0.371582503320826
"Cell1871","Cell1871","Batch1","Group1",93480.9945886143,0.473653624953718
"Cell1872","Cell1872","Batch1","Group1",197437.616863597,1.01141612401471
"Cell1873","Cell1873","Batch1","Group2",135962.878540919,0.694379917816055
"Cell1874","Cell1874","Batch1","Group2",56034.0697821671,0.287237385071846
"Cell1875","Cell1875","Batch1","Group3",167000.331741307,0.846877043851871
"Cell1876","Cell1876","Batch1","Group3",172292.533354245,0.89028671957933
"Cell1877","Cell1877","Batch1","Group2",60465.7341114561,0.313517753988968
"Cell1878","Cell1878","Batch1","Group2",68145.3695130679,0.348846306293291
"Cell1879","Cell1879","Batch1","Group1",225090.716247102,1.15814689781798
"Cell1880","Cell1880","Batch1","Group2",381222.050108846,1.95448477067539
"Cell1881","Cell1881","Batch1","Group3",53758.7983337004,0.275817847198288
"Cell1882","Cell1882","Batch1","Group3",115803.783365212,0.593383878802792
"Cell1883","Cell1883","Batch1","Group3",276360.957961281,1.42404209251262
"Cell1884","Cell1884","Batch1","Group2",168416.865910347,0.864839668290819
"Cell1885","Cell1885","Batch1","Group2",93924.9504385437,0.48354026990551
"Cell1886","Cell1886","Batch1","Group2",132522.24983271,0.682291668265216
"Cell1887","Cell1887","Batch1","Group3",114952.186442627,0.587442632746954
"Cell1888","Cell1888","Batch1","Group1",143002.295392332,0.742192802741607
"Cell1889","Cell1889","Batch1","Group1",60166.9171264415,0.305781274276431
"Cell1890","Cell1890","Batch1","Group1",209263.026035597,1.08500527213144
"Cell1891","Cell1891","Batch1","Group1",127463.665456849,0.66095976575997
"Cell1892","Cell1892","Batch1","Group1",109537.40365068,0.568106577401591
"Cell1893","Cell1893","Batch1","Group2",263809.769969018,1.35585407717393
"Cell1894","Cell1894","Batch1","Group3",309283.247718548,1.61582860155665
"Cell1895","Cell1895","Batch1","Group1",35201.6253415373,0.181776409628741
"Cell1896","Cell1896","Batch1","Group1",64573.9507958718,0.330662492607242
"Cell1897","Cell1897","Batch1","Group3",144745.866838776,0.739595115072171
"Cell1898","Cell1898","Batch1","Group2",82320.8292038507,0.418649517529412
"Cell1899","Cell1899","Batch1","Group3",97011.4163555831,0.502274484741321
"Cell1900","Cell1900","Batch1","Group1",117600.942586426,0.602550372717513
"Cell1901","Cell1901","Batch1","Group1",133934.281739221,0.688340936976615
"Cell1902","Cell1902","Batch1","Group2",656334.162673117,3.38027065748492
"Cell1903","Cell1903","Batch1","Group2",61718.5152319524,0.318846871663295
"Cell1904","Cell1904","Batch1","Group2",88993.2024815286,0.460227952048318
"Cell1905","Cell1905","Batch1","Group3",97910.5254255898,0.505551171959995
"Cell1906","Cell1906","Batch1","Group1",339629.54801651,1.7514999130049
"Cell1907","Cell1907","Batch1","Group3",35376.2749360834,0.184543847185486
"Cell1908","Cell1908","Batch1","Group2",163508.462724606,0.839171427755208
"Cell1909","Cell1909","Batch1","Group2",117366.529986693,0.599613185273458
"Cell1910","Cell1910","Batch1","Group3",234242.531431568,1.19447851763822
"Cell1911","Cell1911","Batch1","Group2",331637.093012651,1.69704106279437
"Cell1912","Cell1912","Batch1","Group3",343041.659538112,1.76635560011248
"Cell1913","Cell1913","Batch1","Group2",100040.349693344,0.518935693377562
"Cell1914","Cell1914","Batch1","Group3",172784.911840026,0.878435091083529
"Cell1915","Cell1915","Batch1","Group3",143899.100406046,0.739878031551021
"Cell1916","Cell1916","Batch1","Group2",62740.7911066664,0.32469038293553
"Cell1917","Cell1917","Batch1","Group1",72342.5084237559,0.36921114883447
"Cell1918","Cell1918","Batch1","Group3",253164.232726851,1.311086402348
"Cell1919","Cell1919","Batch1","Group3",128421.656052344,0.658562691593719
"Cell1920","Cell1920","Batch1","Group1",80238.0349090262,0.413438710382603
"Cell1921","Cell1921","Batch1","Group2",193955.128366087,1.0033041369757
"Cell1922","Cell1922","Batch1","Group2",190887.558351587,0.990953546689932
"Cell1923","Cell1923","Batch1","Group2",152647.312863042,0.78535556954207
"Cell1924","Cell1924","Batch1","Group1",217293.305582238,1.11201093602161
"Cell1925","Cell1925","Batch1","Group3",196835.50617217,1.01797464238804
"Cell1926","Cell1926","Batch1","Group3",159904.573448507,0.827962791256792
"Cell1927","Cell1927","Batch1","Group3",123833.771263455,0.639684446550494
"Cell1928","Cell1928","Batch1","Group2",145946.933367958,0.753391151368065
"Cell1929","Cell1929","Batch1","Group2",116452.929161872,0.600297328758676
"Cell1930","Cell1930","Batch1","Group2",199597.028542004,1.0289260820875
"Cell1931","Cell1931","Batch1","Group1",185600.749259893,0.955774168529002
"Cell1932","Cell1932","Batch1","Group3",95741.6200471577,0.492665612332399
"Cell1933","Cell1933","Batch1","Group2",548017.96832663,2.79995752000497
"Cell1934","Cell1934","Batch1","Group1",84791.7070046351,0.437244846093787
"Cell1935","Cell1935","Batch1","Group3",115953.725530369,0.597751080449031
"Cell1936","Cell1936","Batch1","Group2",78760.4805868833,0.402003740701108
"Cell1937","Cell1937","Batch1","Group3",198329.514852168,1.01906001287963
"Cell1938","Cell1938","Batch1","Group3",137847.864952455,0.707265477443651
"Cell1939","Cell1939","Batch1","Group1",110925.252781209,0.569289682676779
"Cell1940","Cell1940","Batch1","Group2",109314.466647564,0.558086190114342
"Cell1941","Cell1941","Batch1","Group2",81462.3704652487,0.417162920031457
"Cell1942","Cell1942","Batch1","Group3",275066.115301088,1.41458239424709
"Cell1943","Cell1943","Batch1","Group2",125340.660895282,0.64434999648352
"Cell1944","Cell1944","Batch1","Group3",162937.748866343,0.842720743580774
"Cell1945","Cell1945","Batch1","Group2",183327.146280325,0.942106730632585
"Cell1946","Cell1946","Batch1","Group1",210215.771579515,1.08066379016509
"Cell1947","Cell1947","Batch1","Group1",67092.5723637133,0.345353573763496
"Cell1948","Cell1948","Batch1","Group3",145315.987164226,0.745793557926963
"Cell1949","Cell1949","Batch1","Group2",160713.281127049,0.823734475881988
"Cell1950","Cell1950","Batch1","Group2",280632.235566217,1.42887224839698
"Cell1951","Cell1951","Batch1","Group2",128831.245683908,0.66677755735231
"Cell1952","Cell1952","Batch1","Group1",256788.430560267,1.31630235343078
"Cell1953","Cell1953","Batch1","Group1",58046.95100849,0.302386276530238
"Cell1954","Cell1954","Batch1","Group3",297544.810088258,1.5031506839349
"Cell1955","Cell1955","Batch1","Group3",91137.3074468129,0.4727482922214
"Cell1956","Cell1956","Batch1","Group3",263769.421427255,1.3570423263851
"Cell1957","Cell1957","Batch1","Group1",49856.2430354494,0.255489012208962
"Cell1958","Cell1958","Batch1","Group2",228296.486955131,1.17348097097162
"Cell1959","Cell1959","Batch1","Group3",140502.472285229,0.717779682584892
"Cell1960","Cell1960","Batch1","Group1",142040.685538895,0.727172509682692
"Cell1961","Cell1961","Batch1","Group3",141283.248585284,0.722445232517917
"Cell1962","Cell1962","Batch1","Group3",265545.414060331,1.36347224635895
"Cell1963","Cell1963","Batch1","Group1",220867.188407316,1.13369777010941
"Cell1964","Cell1964","Batch1","Group1",217235.608443931,1.12186157342155
"Cell1965","Cell1965","Batch1","Group1",207336.407623278,1.07238205323877
"Cell1966","Cell1966","Batch1","Group3",334704.852498873,1.70767872239911
"Cell1967","Cell1967","Batch1","Group1",260970.834669909,1.34131731409705
"Cell1968","Cell1968","Batch1","Group2",176187.857916499,0.91120710720625
"Cell1969","Cell1969","Batch1","Group2",263714.34888591,1.35759787147084
"Cell1970","Cell1970","Batch1","Group3",121367.672281251,0.628578688771659
"Cell1971","Cell1971","Batch1","Group2",124233.533757842,0.64669563128998
"Cell1972","Cell1972","Batch1","Group3",141827.580823616,0.73238846076548
"Cell1973","Cell1973","Batch1","Group2",93361.9139023063,0.479111341027522
"Cell1974","Cell1974","Batch1","Group3",116607.837661286,0.600708843637002
"Cell1975","Cell1975","Batch1","Group2",102511.715785706,0.528271937179593
"Cell1976","Cell1976","Batch1","Group1",153478.062900869,0.784393653513982
"Cell1977","Cell1977","Batch1","Group2",446974.351843496,2.30882994453032
"Cell1978","Cell1978","Batch1","Group2",219496.683927527,1.12936657601503
"Cell1979","Cell1979","Batch1","Group3",256083.438890534,1.31759862529751
"Cell1980","Cell1980","Batch1","Group1",269170.644672498,1.38530311065417
